原词,大类,小类
喝茶,2,1
聊天,4,1
赏景,4,1
放空,5,2
当地人,5,2
闲散,5,2
轻松,5,2
情侣约会,4,1
老人孩子,5,2
畅聊谈天,4,1
生活味,5,2
咖啡馆,2,1
茶楼,2,1
寺庙,2,1
店家nice,5,2
人气不错,5,2
羊血汤,3,4
历史沉淀,3,2
民风质朴,5,2
人文胜迹,3,2
宁静祥和,5,2
独特风情,3,3
地道美食,3,4
张一品羊肉,3,4
河道漫步,4,1
古桥风光,3,2
花鸟画家,3,3
江南刺绣,3,4
精美艺术,3,3
望仙桥,3,2
古趣盎然,3,2
黑白对比,3,2
倒影成趣,3,1
清明蚕花节,3,4
热闹非凡,5,2
晴天光影,3,1
老街区原汁原味,3,2
保护得体,5,1
小窗,3,2
江南慢生活,5,2
慢,5,2
偏爱,5,3
重要码头,2,3
文化,3,3
商业老街,2,1
文艺小众,5,2
古镇风情,3,2
美味诱惑,3,4
古院,3,2
氛围感,5,2
人文景点,3,2
三世二品坊,3,2
Diyi楼茶园,2,1
洪福桥,3,2
千秋桥,3,2
新场历史文化陈列馆,2,1
康家宅,3,2
烟雨长廊,3,2
新场水桥,3,2
一期一会书吧,2,1
四库书房,2,1
竹编坊,2,1
江南Diyi楼茶园,2,1
奚家厅药斑布坊,2,1
缶+文创空间,2,1
康家班土布馆,2,1
小半·有光杂货铺,2,1
古装体验馆,2,1
妆容妆发造型,5,2
拍摄,4,1
明清古宅风貌,3,2
临河而居,3,2
烟火味,5,2
林家铺子拍摄地,3,2
清代画家沈铨,3,3
南宋右丞相吴潜故居,3,2
文化历史,3,3
旧城复兴,3,2
水乡复兴,3,2
木质楼阁,3,2
雕花木窗,3,2
暖光,5,2
垂柳,3,1
平静河面,3,1
岁月的故事,5,3
鸟鸣,3,1
水流,3,1
邻里的寒暄,5,2
香茗,2,1
天气舒服,5,2
逛逛吃吃,4,1
不大,5,2
五六千步,4,1
生活气息浓郁,5,2
当地居民,5,1
商业气息不浓,5,1
美食小吃,3,4
当地特色,3,4
雪饺,3,4
麦圆饼,3,4
定胜糕,3,4
玲阿娘,3,4
甜咸口,3,4
豆沙馅,3,4
冬笋鲜肉,3,4
香脆,3,4
甜咸,3,4
米糕,3,4
肉馅儿,3,4
热乎糯叽,3,4
甜咸均可尝,3,4
打包邮寄,2,3
原味,5,2
豆沙,3,4
核桃芝麻,3,4
煎青团,3,4
盒装,3,4
家人,5,3
特色点心,3,4
打包,2,3
邮寄,2,3
泛舟,4,1
荡漾,3,1
《千里江山图》,3,3
白墙,3,2
运河,3,1
古寺,3,2
银杏,3,1
春色,3,1
寂寥,5,2
宋风,3,2
雾森,3,1
仙阁,3,2
油纸伞,3,3
清平乐,3,3
百丈长廊,2,2
紫藤瀑,3,1
花海,3,1
南宋银杏,3,1
朱墙飞檐,3,2
只此青绿,3,2
关王庙,3,2
水上关帝庙,3,2
夕阳剪影,3,1
武侠片,5,3
濮商会馆,2,1
江浙财团,3,3
天青色等烟雨,5,3
三花喵喵屋,2,1
撸猫,4,1
尾巴挂巷子,3,2
梅泾剧场,2,1
非遗演出,3,3
珍宝馆,2,1
翔云观,3,3
提灯,4,1
灯光秀,4,1
非遗手工茶糕,3,4
著名传统早点,3,4
历史悠久,3,2
选料考究,3,4
味道鲜美,3,4
杭嘉湖水乡平原,3,1
梨花,3,1
光影竹韵,3,2
碧波,3,1
茶香,3,4
风铃,3,2
古人的浪漫,5,3
春和景明,3,1
水,3,1
橹声,4,1
春日,3,1
好好生活节,4,1
定升桥,3,2
蚕花仙子,3,3
龙形田,3,1
花田市集,2,1
油菜花海,3,1
后街酒家,2,1
野火饭,3,4
小火车,2,3
稻草人,3,1
树屋,2,1
童趣,5,3
花伴咖啡屋,2,1
早来春茶馆,2,1
桥里桥茶楼,2,1
灵水居,2,1
春意读书会,4,1
戏剧表演,4,1
蓝调时刻,5,2
暖锅夜酒,3,4
钟情酒馆,2,1
春满夜集,4,1
水上市集,2,3
早茶客,2,1
草木染坊,2,1
蓝印花布,3,4
木心美术馆,2,1
绘画作品,3,3
堤上度假酒店,2,1
传统糕点,3,4
新鲜好吃,5,2
创新口味,3,4
糯叽叽,3,4
咸香油润,3,4
流心桂花糕,3,4
麦香血糯米糕,3,4
爆浆酸奶紫米糕,3,4
蛋黄肉松翡翠条头糕,3,4
海盐芝士脆脆团,3,4
芋泥和紫薯馅,3,4
子孙糕,3,4
步步高升,3,3
70年代装修风格,3,2
干净,5,2
正宗,5,3
宝藏甜品,3,4
早茶文化,3,4
酱油粢米饭,3,4
油条夹猪油膏,3,4
肉糕,3,4
连城烧麦,3,4
辣油馄饨,3,4
独特性,5,3
推陈出新,5,1
价值挖掘,5,1
打卡体验,4,1
晒圈,5,3
观古迹,3,2
入民俗,3,3
尝美食,4,1
体验,5,2
演唱会,4,1
电影展,4,1
新颖项目,4,1
时令美食,3,4
尝鲜,3,4
蚕花姑娘表演,4,1
花轿大巡游,4,1
蚕娘祈福礼,3,3
水上撒蚕花,4,1
灵动,5,2
停车方便,5,1
手工作坊,2,1
特色美食,3,4
地道江南味道,3,4
古镇历史,3,2
砖,3,2
万安桥,3,2
温柔,5,3
千里江山图,3,2
潄芳禅园,3,2
宋风雾森仙阁,3,2
百丈长廊紫藤瀑,3,1
非遗文化,3,3
歌曲,5,3
舞蹈,4,1
国风,3,3
传统文化,3,3
中式糕点,3,4
早茶,2,1
河岸小茶馆,2,1
创新,5,1
新鲜,5,2
芋泥,3,4
紫薯馅,3,4
寓意,3,3
东风饭店,2,1
70年代,5,2
装修风格,3,2
坚守,5,3
糕点铺,2,1
麦记牛奶公司,2,1
玲阿姨梅花糕,3,4
红丰早饭一条街,3,4
秋天,3,1
傍河而居,3,2
依桥而市,3,2
水乡文化,3,3
大运河诗路文化数字体验馆,2,1
资华筠舞蹈艺术馆,2,1
陆仙楼,2,1
沈铨故居童润夫纪念馆,2,1
民间艺术馆,2,1
江南蚕文化馆,3,3
坐船攻略,4,1
红汤,3,4
老食客,5,2
特色茶糕,3,4
古镇慢生活,5,2
旧房子,3,2
斑驳白墙,3,2
枯萎植物,3,1
甜口羊肉面,3,4
老宅,3,2
进士坊,3,2
吟仙亭,2,1
凉亭,2,1
诗句,3,3
阴阳鱼,3,3
福,3,3
禄,3,3
寿,3,4
林家铺子,2,1
茅盾,3,3
太平桥,3,2
单孔石桥,3,2
石狮,3,2
楹联,3,2
开街仪式,4,1
表演活动,4,1
非遗打铁花,3,3
夜晚放花灯,4,1
许愿,3,3
古代名人,3,3
杨万里,3,3
沈铨,3,3
节目单,2,1
桑田蚕花,3,4
国色生香,3,2
丝绸文化,3,3
发源地,3,3
传承地,3,3
年轻人,5,2
创意舞台,2,1
汉服走秀,4,1
非遗技艺,3,3
沉浸式体验,4,1
蚕桑工艺,3,3
古风庙会,3,3
集章打卡,4,1
古风新玩法,4,1
清明假期,4,1
华服,3,3
春之韵味,5,2
慢时光,5,2
道教传说,3,3
婚俗石阶,3,3
电影故事,3,3
老街烟火,5,2
吴侬软语,3,3
诗意早餐,3,4
百年老店,3,4
央视认证,5,1
夜景机位,4,1
红墙光影,3,2
灯笼阵,3,2
石板巷陌,3,2
交通便利,5,1
住宿推荐,2,3
运河边,3,1
推窗见景,3,2
夜枕流水,3,1
诗词,3,3
柔情江南,5,2
大运河,3,1
诗路,5,3
历史文化资源,3,3
文化旅游潜力,5,1
猪油,3,4
喷香,3,4
蚕花姑娘,3,4
桑田古巷,3,2
桑蚕文化,3,3
诗意灵韵,5,2
佛家,3,3
心态调节,5,2
深入思考,5,3
解脱情绪,5,3
幸运,5,3
自然之力,3,1
硕大无朋,5,2
青绿河道,3,1
游人驻足,4,1
东栏一株雪,3,2
人生清明,5,3
中心位置,2,2
传统手工作坊,2,1
星光集市,2,3
暖光灯光,2,3
社交,4,1
小憩圈,2,2
搭建,2,1
场地,2,2
楝树花,3,1
吹风,4,1
晃悠,4,1
下午,5,2
老巷,3,2
明清宅居,3,2
寺院,2,1
江南人,5,2
枕水而居,3,1
河,3,1
杨万里的足迹,3,3
扑黄蝶,4,1
宋朝,3,3
明清时期,3,2
乡下小面馆,2,1
小米辣,3,4
灵魂,5,3
河边老街,3,2
K歌,4,1
果园摘水果,4,1
青砖古瓦马头墙,3,2
新市老街,3,2
千年古镇魅力,3,5
惬意放松,5,2
古镇错落有致,3,2
别有风情,5,2
江南七大古镇,3,5
老式河埠,3,1
骑楼长廊,2,2
影视取景地,3,3
茶馆,2,1
白茶,3,4
莫干黄芽,3,4
芽麦圆子,3,4
慎大糕点,3,4
公共交通便利,5,1
祈求美好祝愿,3,3
养蚕大丰收,3,4
传统活动,4,1
苏轼诗,3,3
一树如雪,3,1
繁花,3,1
凭栏而立,5,2
神仙吃法,3,4
天天更新,5,1
生活诗意,5,2
岁月故事,5,3
邻里寒暄,5,2
茶叶舒展,3,4
慵懒惬意,5,2
变好,5,1
青苔,3,1
古风,3,2
表演,4,1
屋檐秀气,3,2
历史迹象,3,2
初秋微凉,5,2
1700年历史,3,2
人家两岸柳阴边,3,1
杨万里描绘,3,3
新市船运,2,3
古宅门口,3,2
仿古摇橹船,2,3
另一时空,5,3
刚出炉梅花糕,3,4
滋滋热气,5,2
新市甜蜜,3,4
古镇新咖啡,2,1
不一样味道,3,4
推开窗,5,2
斑斓河道,3,1
千年记忆,5,3
一眼万年,5,3
每一次呼吸,5,2
每一次凝视,5,3
京杭大运河重现,3,1
链接历史与现代,5,2
愉悦游览,5,2
重温摇橹船记忆,4,1
天气不冷不热,5,2
古镇不大,5,1
原始,3,2
料多,3,4
肥肉,3,4
辣,3,4
猪肝拌面,3,4
咸,3,4
大红门,3,2
菜好吃,5,2
环境好,5,2
老板娘美又热情,5,2
羊肉,3,4
菠菜鱼圆汤,3,4
摆渡船,2,3
风景不一样,5,2
德清新市古镇假日酒店,2,1
环境美丽,5,2
适合小孩子玩,5,2
实践基地,2,1
新茶,3,4
岁月滤镜,5,3
青年力,5,2
茶器,2,3
文创,3,4
国潮茶会,2,1
传统新表达,3,3
治愈内心,5,3
美好瞬间,5,3
非凡体验,5,3
身临其境,5,2
开心出游,5,2
悠闲,5,2
江南烟火,5,2
小舟,2,3
渔歌,3,3
青石桥,3,2
湖光山色,3,1
柳影,3,1
远古,3,1
沉醉,5,3
1200多年历史,3,2
临河而建,3,2
安静淳朴,5,2
方言,3,3
真实江南,5,2
物价便宜,5,1
阿玲梅花糕,3,4
富贵小吃店,3,4
小摊折扇,2,3
饮食问题,3,4
整体规划,5,1
绿化密度,3,1
灯塔,2,1
烟囱,3,2
小姐姐,5,3
治愈,5,3
笑,5,3
杜鹃花丛,3,1
摄影,4,1
湖笔文化,3,3
制作技艺,3,4
笔工传承,3,3
社会习俗,3,3
书画文化,3,3
湖笔厂,2,1
年代感,5,2
生产车间,2,1
善琏老街,3,2
乡村安静,5,2
文艺,5,2
创意,5,2
祈求美好,3,3
传统习俗,3,3
古桥遗梦,3,2
新市酱羊肉,3,4
粢米饭圆,3,4
肉馅螺丝,3,4
老月妹牛肉面,3,4
阿南煲店,3,4
萝卜丝油墩子,3,4
人流量少,5,1
古镇老屋,3,2
手艺人,3,3
纯手工,3,4
木编工艺,3,4
龟壳绘画,3,4
老式理发店,2,1
商业模式,5,1
古老作物,3,1
纺织品原料,3,4
苎麻,3,4
C位出道,5,3
诗经,3,3
浸麻,3,4
洗麻,4,1
棉织物,3,4
浏阳夏布,3,4
质地精细,5,2
颜色洁白,3,2
丝绸,3,4
中国独有的浪漫,5,3
老一辈,5,2
种桑养蚕,3,4
蚕宝宝,3,4
吐丝结茧,3,3
丝绸文明,3,3
人与自然的和谐共生,3,1
云门舞集,3,3
麻质服装,3,4
原始的生命力,5,3
麻桑织物,3,4
制作过程,3,4
传统服饰文化,3,3
大自然的馈赠,3,1
文艺坐标,5,2
大学生创新创业基地,2,1
大学生实践基地,2,1
古镇C位选址,3,2
青年力爆棚,5,2
文创周边,2,3
特色摊位,2,3
人生,5,3
如意,5,3
称心,5,3
心态,5,2
调节,5,2
高度,5,2
思考,5,2
解脱,5,3
情绪,5,3
活动,4,1
效果,5,1
打铁花项目,4,1
成就感,5,3
天然场景,3,1
文旅剧本杀,4,1
独特建筑风格,3,2
古朴街道,3,2
历史氛围,5,2
居民互动,5,1
成功案例,5,1
年轻游客,5,2
打卡圣地,5,2
知名度提升,5,1
新活力,5,1
个性化,5,1
角色扮演,4,1
深度参与,4,1
文化融合,3,3
多元主题,3,3
游戏乐趣,5,3
底蕴了解,5,2
可能性增加,5,1
逼真环境,5,2
全方位感受,5,2
古镇魅力,5,2
发展经验,5,1
未来讨论,5,2
春日文艺游,4,1
满春夜集,4,1
情景戏剧,4,1
烟火慢生活,5,2
手作,4,1
小食,3,4
读书会,2,1
暖锅,3,4
夜酒,4,1
春季特调,3,4
浪漫玩法,4,1
人流量较少,5,1
古建韵味,3,2
河边风景,3,1
核心区域,2,2
打铁花,3,3
国庆,4,1
古镇游,4,1
好拍,5,2
避开人潮,5,2
江南烟雨,3,1
宝藏古镇,5,3
沿河街道,2,2
老茶楼,2,1
拍照出片,4,1
锦凤羊肉,3,4
玲阿娘美食,3,4
烧羊肉,3,4
阿德土菜馆,2,1
游客中心,2,1
长寿桥,3,2
小破船,2,3
主打菜,3,4
甲鱼煲,3,4
老板古怪,5,2
不喜欢生意太多,5,1
古义,3,2
甜蜜,5,2
千年以前记忆,5,3
历史与现代,3,2
建筑游览,4,1
摇橹船记忆,4,1
古镇市集,2,1
快闪演出,4,1
古风集章,4,1
高校国风社团,3,3
年轻灵魂,5,3
春日之约,4,1
路人粉,5,3
惊艳,5,3
红烧,3,4
碱面,3,4
早酒,3,4
白炽灯,2,3
人声嘈杂,5,2
光面,3,2
酥鸭面,3,4
鸭肉,3,4
阴雨绵绵,5,2
德清早晨,5,2
幸福,5,3
游客极少,5,1
近千年历史,3,2
丝绸之镇,3,3
沿河漫步,4,1
没有人挤人,5,2
师俭堂,3,2
全国文保,3,2
禹迹桥,3,2
宝塔街,3,2
当地人在里面生活,5,2
河边喝茶,2,2
清冷,5,2
仁里坊,3,2
宝塔,3,2
三轮车,2,3
四碗茶楼,2,1
熏豆绿茶,3,4
停车免费,2,3
夏日阳光,3,1
江南秘境,3,5
建筑群,3,2
千年的过往,5,3
苏州古镇,3,2
砖瓦,3,2
慈云寺塔,3,2
震泽的灵魂,5,3
摄影爱好者,4,1
百年老宅,3,2
一步一景,3,2
传统美食,3,4
震泽三绝,3,4
海棠糕,3,4
柴米多农场,2,1
农耕文化,3,3
柴米多咖啡馆,2,1
田园风光,3,1
城市喧嚣,5,2
停车古镇,2,3
茶楼价格实惠,2,1
临河喝茶,2,2
童年的回忆,5,3
人均五十,5,1
巨龙,3,1
昂扬,5,3
盘飞,4,1
天王,3,3
怒目而视,5,3
脚踩小gui,4,1
三大面墙,3,2
五百罗汉,3,3
姿态各异,3,2
活灵活现,5,3
泥塑,3,4
彩绘,3,2
玄奘,3,3
活佛,3,3
济公,3,3
哪吒,3,3
腿巨巨巨长,5,2
罗汉,3,3
三头六臂,3,3
吹拉弹唱,4,1
掏耳朵,4,1
搓澡,4,1
从不同角度看,5,2
感觉他们好像活了,5,3
有意思,5,3
玩耍,4,1
湖边,3,1
亲朋好友,5,2
聊聊天,4,1
晒晒太阳,4,1
落日,3,1
慢慢悠悠,5,2
回家,4,1
二千多年历史,3,2
蚕丝之乡,3,3
极为低调,5,2
悠闲周末时光,5,2
文昌阁,3,2
阿婆圆子,3,4
萝卜丝团子,3,4
仁昌顺,3,4
桂花糕,3,4
铜锣鸡腿,3,4
腌制入味,3,4
焦香酥脆,3,4
肉质鲜嫩多汁,3,4
四碗茶,3,4
待帝茶,2,1
水铺鸡蛋,3,4
熏豆茶,3,4
绿茶,3,4
瓜子,3,4
花生,3,4
果条干,3,4
不适合推推车,5,1
清晨,5,2
适合拍照,5,2
太湖雪蚕桑文化园,3,3
蔚为大观,3,2
叠石起势,3,2
落雨为水,3,1
藤蔓缠绕,3,2
青苔密布,3,1
郁郁葱葱,3,1
门洞廊桥,3,2
半亭,3,2
山,3,1
林,3,1
亭台楼阁,3,2
廊腰缦回,3,2
因地制宜,5,2
方寸之间,5,2
龙飞凤舞,3,3
细微处,5,2
见乾坤,3,3
中华根惊鸿一瞥,3,2
丝绸工厂店,2,1
纺织厂,2,1
买丝绸,4,1
产地,3,4
宝,3,4
眼花缭乱,5,2
配饰,2,3
华佳工厂店,2,1
锄经园,3,2
游客喧嚣,5,2
绿意盎然,3,1
藤蔓交错,3,2
纸墙斑驳,3,2
苔花如米,3,1
幽静天地,5,2
休闲,2,1
看看,4,1
喝喝茶,2,1
古桥流水,3,1
漫步,4,1
邂逅,5,3
感受,5,2
江南小镇,3,2
走,4,1
停,2,3
想,5,3
不被人群,5,2
裹挟,5,2
老房子,3,2
塔,3,2
地方不大,5,1
造型优美别致,3,2
墙面,3,2
南浔古镇,3,5
圆拱门,3,2
玉兰,3,1
含苞待放,3,1
凌霄藤,3,1
花开,3,1
春夏秋,3,1
三塔,3,2
三桥,3,2
无人机,2,3
桥上日出,3,1
维修,2,3
本帮菜馆,2,1
爆满,5,1
材料,3,2
自己家做的,3,4
便宜,5,1
真材实料,3,4
白切肥肠,3,4
duang,5,3
烩三鲜,3,4
自家炸,3,4
排骨,3,4
香,3,2
节俭,5,3
太平天国运动,3,3
官儒商,3,3
美德,5,3
社会动荡,5,2
自救救人,4,1
四面厅,2,1
内耗,5,2
家运,5,2
爱与福泽,5,3
修行,3,3
彼岸,3,1
平面图,2,3
照片,5,1
骀宕,5,2
优秀,5,2
慷慨友善,5,2
清朝嘉庆六年,3,2
河埠行栈商铺街道厅堂内宅花园下房,3,2
江南民居古建筑群,3,2
半亩,2,2
沿壁回廊假山半亭花卉树木,3,2
布局巧妙,3,2
保存完好,3,2
清末古建,3,2
前后六进,3,2
建筑面积,2,1
房屋,3,2
各类雕刻,3,2
千年蚕桑文化,3,3
自然的课堂,5,2
户外越野,4,1
柴火饭,3,4
露营,4,1
采摘,4,1
村上美食,3,4
田园滋味,3,4
頔塘河,3,1
江南水乡大宅门,3,2
师俭门,3,2
宝塔老街,3,2
阿婆团子店,2,1
菜花头团子,3,4
重阳糕,3,4
黑豆腐干,3,4
浜兜咖啡,2,1
临河而坐,2,2
老严卤菜馆,2,1
酱鸭面,3,4
博阳开元名庭酒店,2,1
西坡民宿,2,1
水乡的柔情,5,3
古镇内,3,2
本地的人,5,2
砖雕门楼,3,2
小众冷门,5,1
江村经济,3,3
2000余年历史,3,3
吴头越尾,3,3
物华天宝人杰地灵,5,3
晚清工商绅士,3,3
坐行经商,5,1
河埠行栈,2,1
店铺街道,2,1
厅堂内宅,2,1
花园下房,2,1
布局精巧,3,2
功能齐全,2,3
街中建宅,3,2
宅内含街,3,2
街从宅中过,3,2
雕刻艺术丰富,3,2
防潮工艺先进,3,2
江南最小之一园林,3,2
回廊假山,3,2
花卉树木,3,1
门楼,3,2
砖雕,3,2
建筑木雕,3,2
雕刻,3,2
木雕花篮,3,2
精美月梁木雕,3,2
雕梁画栋,3,2
福禄寿喜,3,3
孔明迎主,3,3
刘备招亲,3,3
状元及第,3,3
龙纹云纹,3,2
凤纹,3,2
修复,3,2
东阳的木雕工匠,3,3
原木雕,3,2
梅兰竹菊四君子,3,3
漆雕,3,2
刊刻,3,3
雕花门窗,3,2
袖珍花园,3,1
游人少,5,2
园林构成要素,3,2
自然,3,1
文旅哲学,3,3
反焦虑,5,2
大隐隐于市,5,2
浪漫主义,5,3
依河而建,3,2
阿婆菜团子,3,4
聚顺号黑豆干,3,4
甜,3,4
王极海棠糕,3,4
猪油块,3,4
仁昌顺的桂花糕,3,4
看日落,4,1
周庄平替,5,1
頔塘河畔,3,1
廊棚带,3,2
旗袍,3,4
雕花窗,3,2
光影魔术,4,1
仁昌顺定胜糕,3,4
非遗手艺,3,3
老严卤鸭馆,3,4
老灶台,2,1
四碗茶铺,2,1
水潽蛋,3,4
梅子黄时雨,3,1
青雾,3,1
慈云塔影,3,2
木椽,3,2
马头墙,3,2
怒目,5,3
小gui,4,1
光照,3,1
游客最少,5,1
鲜有游客,5,1
古塔暮钟,3,2
炊烟袅袅,5,2
河边遛弯闲谈,4,1
美丽,5,2
飘摇中的安心,5,3
花店,2,1
高温,5,2
给吃的,3,4
大米饭,3,4
热都馊了,5,2
慈云塔,3,2
飞檐勾月,3,2
禅塔,3,2
遥遥对望,3,2
三国赤乌年间,3,3
六面五层砖木楼阁式,3,2
江南名镇,3,5
亭廊楼阁,3,2
园林元素,3,2
血脉,5,3
崇尚俭朴,5,2
学识修养,5,3
人生追求,5,3
隐谧,5,2
mini江南水乡,3,1
塘河,3,1
永安桥,3,2
薄雾,3,1
晨光,3,1
梦幻,5,3
报恩塔,3,2
塔影,3,2
积水,3,1
灯火,5,2
老建筑,3,2
千灯浦,3,1
华灯初上,5,2
三脚架,2,3
慢门,5,2
光斑,3,1
点缀,3,2
构图,5,2
留白,3,2
暗部细节,5,2
色温,5,2
对比度,5,2
心情,5,3
美好时光,5,3
古镇入口,2,1
四碗茶茶楼,2,1
吃茶,2,1
周末,4,1
小镇生活,5,2
水边,3,1
水潽鸡蛋,3,4
饭糍茶,3,4
新女婿,3,4
贵宾,2,1
熏青豆,3,4
非物质文化遗产,3,3
沿河而坐,2,2
店老板,2,1
茶点,3,4
朴素,5,2
恬淡,5,2
慢慢消磨,5,2
古镇街角,3,2
油墩儿,3,4
仁安轩,2,1
蛋黄馄炖,3,4
老严面馆,2,1
师检堂,2,1
白木香,3,2
阿婆团子,3,4
拿铁,2,1
低调优雅,5,2
古镇生活,5,2
古镇元素,3,2
震泽民居,3,2
矩阵排列,2,1
形式感,5,2
剪影画面,5,2
矩形透视空间,2,2
万花筒,3,4
新中式格,3,2
锦鲤跃龙门,3,1
福气,5,3
震泽万花,3,2
生机蓬勃,5,2
欣欣向荣,5,2
生生不息,5,3
江南美景,3,1
经典民居结构,3,2
木雕,3,2
石雕,3,2
小,3,2
适合自驾游,5,1
四晚茶楼,2,1
咸味,3,4
值回票价,5,1
油墩,3,4
萝卜丝糕,3,4
鳝丝面,3,4
蛋黄混沌,3,4
丝业重镇,3,4
南浔,3,5
人文历史,3,3
蚕丝,3,4
洋经加工,3,4
宋咸淳年间,3,3
明正统年间,3,2
三国时期,3,3
师剑堂,2,1
清道光十八年,3,2
礼部郎中,3,3
清同治年间,3,2
丝经,3,4
米粮业务,2,1
江南民居,3,2
更楼,3,2
瞭望台,2,1
更夫,4,1
巡更守夜,4,1
米行,2,1
清康熙五十四年,3,2
清乾隆三十六年,3,2
仁安坊,2,1
丝业公学,2,1
震泽丝业公会,3,3
震泽江丰农工银行,2,1
民营商业银行,2,1
施氏家族,3,3
震泽中学,2,1
育英学校,2,1
清澈,3,1
中年少女,5,3
暴鸣,3,1
好看,5,2
自恋,5,3
太湖别称,3,1
蚕丝文化发源地,3,3
暮春,3,1
小镇,3,2
偶遇,5,3
沿河而建,3,2
清同治三年,3,2
大宅子,3,2
士绅徐氏,3,3
江南园林,3,2
宅院,3,2
方正的厅堂,3,2
高悬的匾额,3,2
整齐的桌椅,2,2
小院子,2,2
花园,3,1
窄长,3,1
精心设计,5,1
别有洞天,3,2
长廊,2,2
假山,3,1
街,3,2
咖啡,2,1
文创店铺,2,1
月季,3,1
鲜花盛开,3,1
国家重点文物,3,2
寺庙规模,3,2
特别,5,3
河中央,3,1
小岛,3,1
驳岸路,3,1
临河,3,1
阳伞,2,3
品茗赏景,2,1
消磨时光,5,2
旅游旺季,5,1
中国太湖农家菜文化展览馆,2,1
江苏省农机具博物馆,2,1
临河茶座,2,2
糕饼店,2,1
鲜肉油墩,3,4
百年宅院,3,2
修旧如旧,3,2
江南建筑,3,2
风韵,3,2
手工感,5,2
白色肌理乳胶漆,3,2
水磨石,3,2
复古花砖,3,2
古朴雕花窗,3,2
摩登,5,2
活跃,5,2
通透,5,2
别致风景,3,1
时间韵味,5,2
木质家具,2,3
低矮厚重,3,2
沙发椅,2,3
花色刺绣靠枕,2,3
复古泳池,2,3
铁艺软装,2,3
老石板,3,2
时尚与历史交融,5,2
牌坊,3,2
匠心雕刻,3,3
精美图案,3,2
记忆,5,3
廊檐,3,2
高低过道,2,2
交错,3,1
细节,5,2
松弛惬意,5,2
丰富,5,2
细腻,5,2
古与新,5,2
浪漫,5,2
度假空间,2,2
江南画卷,3,2
黄金光线,3,1
水墨江南,3,2
細雨,3,1
蕉葉,2,1
檐角,3,2
紅燈,3,2
歲月,5,3
苔痕,3,2
低调温婉,5,2
小家碧玉,3,2
江南水乡景致,3,1
太湖,3,1
水陆交通,2,3
物华天宝,5,3
人杰地灵,3,5
依水而建,3,2
流动的水墨画,3,1
青瓦白墙,3,2
下榻,2,1
不二之选,5,3
中式美学,3,2
步行可达,5,1
方便,5,1
园小而地狭,3,2
无水,3,1
月洞门,3,2
仙岛,3,1
亭廊,2,2
厅阁,3,2
悠远深邃,5,2
向天借地,3,3
妙趣无穷,5,3
幽静,5,2
宋时期,3,2
佛教建筑,3,2
清朝,3,2
私人园林,3,2
住宅融合,3,2
百年历史,3,2
舌尖上的中国3,3,4
麦芽塌饼,3,4
苏式味道,3,4
评弹,3,4
酱鸭红汤面,3,4
烧鸭面,3,4
嘉业藏书楼,3,2
刘氏梯号,3,2
广惠宫,3,2
宜园,3,2
东园,3,2
百间楼,3,2
古镇韵味,5,2
丝业,3,3
民俗生活,3,3
安宁,5,2
茶客,2,1
老面馆,3,4
食客,3,4
谈笑风生,5,2
面色恬淡,5,2
江苏省农具博物馆,2,1
面,3,4
分量足,3,4
泳良糕点,3,4
枣泥糕,3,4
袜底酥,3,4
水泼鸡蛋清茶,3,4
室内游乐场,2,1
游乐公园,2,1
身心放松,5,2
夜宿,4,1
开元名庭,2,1
隐匿,5,2
纯正当地人生活场景,5,2
古塔古桥,3,2
茶香四溢,3,4
悠闲品茶,2,1
河边凉亭,2,2
微笑,5,3
平和,5,2
本真,5,2
低调内敛,5,2
清秀,3,2
孤寂,5,3
保护性文物,3,2
古镇人少,5,1
古桥塔影,3,2
极适合,5,2
古风摄影,4,1
商业化程度低,5,1
错峰出行,5,1
西坡,2,1
惬意假期,5,2
河水,3,1
柔情,5,2
商业化程度最低,5,1
群山,3,1
古神殿,3,2
审美,5,2
浙江省内ZUI美古庙,3,2
满殿神佛,3,3
压迫感,5,2
满天神兽,3,3
怪诞诡艳,5,3
山海经,3,3
冷门古镇,5,1
节假日,4,1
冷门旅行地,5,1
始建于南宋,3,2
保存度,3,2
花费便宜,5,1
汉服照,4,1
隐秘故事,5,3
江水,3,1
蛇状,3,1
乌龟,3,1
龟蛇锁江,3,2
石砖雕刻,3,2
三代人,5,3
青石,3,2
洪水,3,1
石头,3,1
木构,3,2
历史的魅力,5,3
庙宇,2,1
力量感,5,2
鲜活,5,2
麦芽,3,4
龙山,3,2
苍翠,3,1
万物同春,3,3
翠号,2,3
苍晓拱山,3,2
山灵水秀,3,1
700多年历史,3,2
传统村落,3,2
未被商业化,5,1
徽派马头墙,3,2
雕花木门,3,2
珠峰山,3,1
明代木雕砖刻,3,2
匠人智慧,3,3
八卦形池塘,3,1
蓝天,3,1
双龙戏珠,3,2
溪流,3,1
灵气,3,2
生活慢,5,2
老匠人,3,3
竹条编织,3,4
草帽,3,4
竹篮,2,3
非遗研学课程,3,3
传统手艺,3,3
民俗展览馆,2,1
凉床漆具,2,3
旧时光回忆,5,3
阿叶猪肠,3,4
徐记烤饼,3,4
富硒大米,3,4
竹筒饭,3,4
村民自编竹凳,2,3
双湖,3,1
琥珀色,3,2
风过竹林,3,1
沙沙声,3,1
泽随,3,2
都市人,5,2
逃离浮躁,5,2
理想乌托邦,5,2
