目标词,匹配词,相似度,是否匹配
不耐烦,5,0.771,TRUE
豆浆,3,0.808,TRUE
加糖,3,0.792,TRUE
原味豆浆,3,0.836,TRUE
提示,5,0.85,TRUE
拍照片,4,0.988,TRUE
工牌,2,0.773,TRUE
餐饮的负责人,2,0.801,TRUE
其他服务人员,2,0.55,FALSE
小礼品,2,0.819,TRUE
礼貌温和,5,0.702,FALSE
低姿态,5,0.724,TRUE
气场弱,5,0.805,TRUE
好欺负,5,0.822,TRUE
好说话,5,0.827,TRUE
难缠没礼貌的人,5,0.619,FALSE
恭恭敬敬,5,0.822,TRUE
踩,4,0.81,TRUE
温和礼貌的人,5,0.727,TRUE
拔刀向弱者,5,0.679,FALSE
歌后,3,0.746,TRUE
乌镇戏剧节,4,0.776,TRUE
寻歌,4,0.836,TRUE
漫游,4,0.741,TRUE
浪漫值,5,0.707,FALSE
拉满,5,0.971,TRUE
诗意世界,5,0.893,TRUE
缘定三生,3,0.761,TRUE
人在画中游,5,0.704,FALSE
乌镇老邮局,3,0.781,TRUE
古老浪漫,5,0.705,FALSE
文字的力量,5,0.715,FALSE
夕阳塔影,3,0.895,TRUE
邵明书院,2,0.81,TRUE
书香墨韵,3,0.86,TRUE
梦里的江南,5,0.829,TRUE
制作工艺,3,0.943,TRUE
照片,5,0.778,TRUE
体验,4,0.718,FALSE
艺术作品,3,0.966,TRUE
简约风格,3,0.8,TRUE
美学理念,3,0.785,TRUE
故居,3,0.901,TRUE
立志书院,2,0.912,TRUE
成长历程,5,0.68,FALSE
革命经历,3,0.701,FALSE
文学成就,3,0.735,TRUE
古镇美景,3,0.925,TRUE
人间烟火气,5,1,TRUE
河边茶馆,2,0.818,TRUE
茶香,3,0.957,TRUE
江南古建筑,3,0.842,TRUE
昭明太子,3,0.952,TRUE
讲堂,2,0.866,TRUE
图书馆,2,0.837,TRUE
书画馆,2,0.837,TRUE
文化气息,5,0.884,TRUE
标志性建筑,3,0.884,TRUE
高耸入云,3,0.848,TRUE
船影,3,0.872,TRUE
并蒂莲,3,0.954,TRUE
元宝湖畔,3,0.942,TRUE
建筑风格,3,0.873,TRUE
拍照效果,5,0.864,TRUE
旧时光,5,1,TRUE
溜达,4,0.834,TRUE
西栅服务中心,2,0.583,FALSE
水剧场,2,0.796,TRUE
矛盾纪念馆,2,0.733,TRUE
叙昌酱园,2,0.942,TRUE
西栅服务中心出口,2,0.609,FALSE
展览,2,1,TRUE
旗袍汉服,3,0.82,TRUE
平底鞋,2,0.562,FALSE
桂花乌米饭,3,0.874,TRUE
乌梅茶,3,0.917,TRUE
青团,3,0.891,TRUE
乌镇胎菊,3,0.921,TRUE
豆腐花,3,0.727,TRUE
美,5,0.947,TRUE
游玩路线,4,0.72,FALSE
拍摄时间,4,0.863,TRUE
天青色,3,0.857,TRUE
烟雨,3,0.915,TRUE
灯笼铺,2,0.974,TRUE
日月剧场,2,0.894,TRUE
龙行田,3,0.974,TRUE
鹊桥亭,3,0.907,TRUE
水上集市早餐客,4,0.511,FALSE
诗田广场,2,0.877,TRUE
桥里桥茶铺,2,0.784,TRUE
茶艺街,2,0.725,TRUE
西栅主街,2,0.829,TRUE
乌米饭,3,0.868,TRUE
玉兔糕,3,0.924,TRUE
野菜馄饨,3,0.739,TRUE
拌馄饨,3,0.892,TRUE
羊杂面,3,0.83,TRUE
美术馆,2,0.919,TRUE
精神指向,5,0.861,TRUE
学术空间,2,0.619,FALSE
真的很美,5,0.716,FALSE
推荐,5,0.723,TRUE
景区与居民区融合,3,0.722,TRUE
文旅,3,0.821,TRUE
出路,4,0.765,TRUE
创造,5,0.776,TRUE
价值,5,0.646,FALSE
深邃,5,0.758,TRUE
精神宇宙,5,0.74,TRUE
文学手稿,3,0.729,TRUE
展品,2,0.972,TRUE
情感,5,0.672,FALSE
随性,5,0.842,TRUE
哲思,5,0.818,TRUE
线条,3,0.813,TRUE
中国传统水墨,3,0.784,TRUE
西方现代艺术,3,0.714,FALSE
张力,5,0.903,TRUE
东西方文化,3,0.943,TRUE
理解,5,0.852,TRUE
融合,5,0.607,FALSE
旅程,4,0.73,TRUE
欣赏,5,0.915,TRUE
反思,5,0.843,TRUE
艺术追求,5,0.835,TRUE
烟花四月,5,0.788,TRUE
千年水乡,3,0.855,TRUE
独特魅力,5,0.786,TRUE
诗意江南风光,3,0.928,TRUE
精彩纷呈传统民俗,3,0.858,TRUE
民俗狂欢,4,0.773,TRUE
蚕花圣会,3,0.949,TRUE
巡游,4,0.695,FALSE
热闹非凡,5,0.783,TRUE
沉浸式体验,4,0.692,FALSE
轧蚕花祈福仪式,3,0.889,TRUE
踏白船竞渡,4,0.79,TRUE
水上竞技,4,0.793,TRUE
乌青水龙会,3,0.942,TRUE
清末消防器械,2,0.559,FALSE
救火演练,4,0.674,FALSE
杠杆式水泵喷水,2,0.726,TRUE
古代智慧,3,0.761,TRUE
十样杂耍,3,0.607,FALSE
打花棍,4,0.799,TRUE
非遗表演,3,0.969,TRUE
通安桥畔,3,0.958,TRUE
高台晃管,4,0.762,TRUE
西栅草木本色染坊,3,0.713,FALSE
老匠人,3,0.9,TRUE
刻版刮浆染色,3,0.727,TRUE
夹缬工艺,3,0.857,TRUE
对称图案,3,0.756,TRUE
田园农夫,4,0.687,FALSE
乌春市集,2,0.88,TRUE
当季蔬菜,3,0.658,FALSE
传统土灶,2,0.833,TRUE
食物最本真美味,5,0.803,TRUE
亲子家庭,5,0.963,TRUE
风车DIY,4,0.845,TRUE
纸鸢绘制,4,0.715,FALSE
农耕乐趣,4,0.612,FALSE
磨豆腐,3,0.855,TRUE
肖邦之心主题展,3,0.784,TRUE
音乐家创作历程,3,0.605,FALSE
文学下午茶,2,0.748,TRUE
学者讲述,4,0.687,FALSE
木心与乌镇渊源,3,0.883,TRUE
住宿西栅,2,0.78,TRUE
安渡坊码头,2,0.768,TRUE
无人打扰石板路,3,0.508,FALSE
晨雾中水阁,3,0.731,TRUE
北栅丝厂,2,0.645,FALSE
工业风艺术秘境,3,0.732,TRUE
乌镇当代艺术邀请展,3,0.762,TRUE
废弃厂房,2,0.513,FALSE
艺术魅力,3,0.908,TRUE
老车间改造咖啡馆,2,0.713,FALSE
特色咖啡,2,0.954,TRUE
东栅夜巡,4,0.705,FALSE
更夫,3,0.928,TRUE
铜锣巡街,4,0.794,TRUE
修真观,3,0.863,TRUE
百年变迁,3,0.862,TRUE
平安福木牌,3,0.817,TRUE
景色出众,5,0.703,FALSE
乌镇老街,3,0.891,TRUE
国乐戏院,2,0.91,TRUE
露天电影放映,4,0.76,TRUE
水上戏台,2,0.727,TRUE
永平糕点铺,3,0.945,TRUE
桂花方糕,3,0.967,TRUE
彩虹糕,3,0.791,TRUE
米糕,3,1,TRUE
妆造,3,0.938,TRUE
中国最美茶馆,2,0.686,FALSE
左下角跟团纯玩,4,0.651,FALSE
绿色,3,0.726,TRUE
油润,3,0.831,TRUE
深入人心,5,0.789,TRUE
纯粹,5,0.878,TRUE
色泽,3,0.913,TRUE
久久难忘,5,0.732,TRUE
相片,5,0.767,TRUE
行摄,4,0.865,TRUE
江南地带,3,0.942,TRUE
雨水,3,0.834,TRUE
不同感觉,5,0.637,FALSE
推荐时节,5,0.643,FALSE
日出时间,3,0.772,TRUE
光亮,3,0.934,TRUE
太阳,3,0.926,TRUE
极为宁静,5,0.806,TRUE
美好感觉,5,0.806,TRUE
窄窄的街道,3,0.809,TRUE
高高的石桥,3,0.907,TRUE
无人机拍摄,4,0.568,FALSE
延绵的河流,3,0.914,TRUE
避开人群,5,0.642,FALSE
溪山好,3,0.837,TRUE
湖水,3,0.943,TRUE
蓝天白云,3,0.776,TRUE
白墙黛瓦飞檐斗拱,3,0.882,TRUE
好逛又好拍,5,0.84,TRUE
龙腾水秀烟花,3,0.785,TRUE
中国式派对,4,0.756,TRUE
千年窑火颂风华,3,0.81,TRUE
摇橹船游湖,4,0.866,TRUE
云上的小火车,4,0.573,FALSE
社火广场,2,0.762,TRUE
龙腾水秀,3,0.831,TRUE
青山旷野,3,0.881,TRUE
仪式感,5,0.843,TRUE
车水马龙,5,0.794,TRUE
喧嚣,5,0.817,TRUE
桨声,4,0.803,TRUE
青石板路,3,0.932,TRUE
脚步声,5,0.774,TRUE
巷子,3,1,TRUE
风,3,0.952,TRUE
原生态,3,0.829,TRUE
河边洗衣,4,0.729,TRUE
阿婆,3,0.928,TRUE
晒蓝印花布,3,0.729,TRUE
作坊,2,0.866,TRUE
翰林第,3,0.921,TRUE
逢源双桥,3,0.924,TRUE
街头斗诗,4,0.86,TRUE
临河茶馆,2,0.821,TRUE
菊花茶,3,0.928,TRUE
评弹,3,0.758,TRUE
三鲜馅,3,0.702,FALSE
熏豆茶,3,0.901,TRUE
汉服拍照,4,0.756,TRUE
慢下来,5,0.901,TRUE
心境,5,0.874,TRUE
茶馆发呆,2,0.792,TRUE
摇船师傅,4,0.805,TRUE
唠嗑,4,0.839,TRUE
屋檐滴落的雨,3,0.831,TRUE
戏剧院,2,0.956,TRUE
南北栅,3,0.798,TRUE
居民区,2,0.884,TRUE
大巴,2,0.903,TRUE
租车,2,0.581,FALSE
火车站,2,0.694,FALSE
客运站,2,0.749,TRUE
打车,5,1,TRUE
游客中心,2,0.701,FALSE
游客开放,2,0.717,FALSE
拥挤,5,0.715,FALSE
物价,5,0.595,FALSE
一个饼,3,0.888,TRUE
免费表演,2,0.572,FALSE
妆造店,2,0.771,TRUE
清冷风,5,0.898,TRUE
青色,3,0.718,FALSE
还原,5,0.889,TRUE
文化缺失,5,0.84,TRUE
臭水沟,3,0.753,TRUE
春日美景,3,0.921,TRUE
带娃,5,0.774,TRUE
不累,5,0.729,TRUE
南湖,3,0.902,TRUE
教堂,2,0.827,TRUE
住,2,0.741,TRUE
龙井山,3,0.966,TRUE
采茶,4,0.929,TRUE
赏景,4,0.841,TRUE
路线图,2,0.787,TRUE
答疑,5,0.77,TRUE
江南风光,3,0.884,TRUE
传统民俗,3,0.914,TRUE
轧蚕花,3,0.955,TRUE
祈福仪式,3,0.792,TRUE
杠杆式水泵,2,0.726,TRUE
刻版刮浆,3,0.768,TRUE
染色,3,0.853,TRUE
肖邦之心,3,0.903,TRUE
主题展,2,0.902,TRUE
水阁,3,0.8,TRUE
工业风,3,0.767,TRUE
夜巡,4,0.736,TRUE
春意,3,0.912,TRUE
春景,3,0.938,TRUE
船桨,2,0.887,TRUE
弧线,3,0.82,TRUE
河景,3,0.971,TRUE
阳光,3,0.942,TRUE
波光粼粼,3,0.816,TRUE
碎金,3,0.893,TRUE
香茗,2,0.877,TRUE
金色花海,3,0.824,TRUE
大地,3,0.748,TRUE
花浪,3,0.728,TRUE
梅花窗景,3,0.909,TRUE
祥和,5,0.92,TRUE
绿植,3,0.755,TRUE
屋檐,3,0.83,TRUE
窗棂,3,0.91,TRUE
非遗扎染,3,0.842,TRUE
田园市集,2,0.916,TRUE
夜集,4,0.734,TRUE
春酿,3,0.927,TRUE
园林春色,3,0.857,TRUE
早来春茶馆,2,0.704,FALSE
影视片段,4,0.679,FALSE
观后调研,5,0.747,TRUE
书迷,5,0.622,FALSE
剧迷,5,0.895,TRUE
美中不足,5,0.73,TRUE
当代美术馆,2,0.863,TRUE
那不勒斯老城区,3,0.81,TRUE
弗罗伦萨,3,0.821,TRUE
意式风情,3,0.916,TRUE
文学属性,3,0.726,TRUE
老房子,3,0.998,TRUE
布展,2,0.87,TRUE
文学,3,0.808,TRUE
影视,3,0.892,TRUE
表达,5,0.886,TRUE
观影展,4,0.793,TRUE
水墨春光,3,0.838,TRUE
晚风,5,0.92,TRUE
水汽,3,0.879,TRUE
诗与远方,5,0.871,TRUE
互动演艺,4,0.653,FALSE
日月广场,2,0.677,FALSE
升莲广场,2,0.827,TRUE
乌镇杂耍趣游艺,4,0.852,TRUE
码头乐队,2,0.68,FALSE
巡游嘉年华,4,0.621,FALSE
河畔电影夜,4,0.791,TRUE
咖啡风物轻食,2,0.909,TRUE
精酿,3,0.88,TRUE
春风,3,1,TRUE
春日读书会,4,0.68,FALSE
文化盛宴,3,0.844,TRUE
乌镇影像展,3,0.728,TRUE
临河窗户,2,0.771,TRUE
河边,3,1,TRUE
小船,2,0.912,TRUE
卫生间,2,0.569,FALSE
公共休息设施,2,0.662,FALSE
出发前,4,0.714,FALSE
不抱期望,5,0.772,TRUE
好玩,5,0.805,TRUE
偶遇,4,0.86,TRUE
表演,4,0.775,TRUE
漂浮歌后,4,0.784,TRUE
震撼,5,0.778,TRUE
私家花园,2,0.733,TRUE
荷花池,3,0.864,TRUE
假山,3,0.95,TRUE
亭台楼阁,3,0.851,TRUE
精致,5,1,TRUE
嘉业堂藏书楼,3,0.815,TRUE
古朴典雅,3,1,TRUE
中西合璧,3,0.564,FALSE
婉约,5,0.957,TRUE
华丽,5,0.924,TRUE
水面上,3,0.955,TRUE
穿越,4,0.745,TRUE
薄雾,3,0.819,TRUE
明清建筑群,3,0.865,TRUE
浔蹄,3,0.892,TRUE
特色卤蹄,3,0.849,TRUE
软糯入味,3,0.926,TRUE
绣花锦菜,3,0.884,TRUE
清爽可口,3,0.866,TRUE
传统糕点,3,1,TRUE
寓意吉祥,3,0.794,TRUE
临水民宿,2,0.843,TRUE
江南水乡生活,5,1,TRUE
温柔时光,5,0.812,TRUE
染布,3,0.787,TRUE
人潮擁擠,5,0.717,FALSE
大片,3,0.928,TRUE
人像模式,4,0.766,TRUE
錄影,4,0.775,TRUE
微風,5,0.757,TRUE
快門,4,0.769,TRUE
山水,3,1,TRUE
墨染,3,1,TRUE
青砖,3,0.871,TRUE
商家,2,0.707,FALSE
商品同质化,5,0.733,TRUE
油墨画,3,0.762,TRUE
公交,2,0.659,FALSE
观光车,2,0.822,TRUE
时间充裕,5,0.747,TRUE
私人商家,2,0.577,FALSE
踩雷,5,0.802,TRUE
自由拍照,4,0.85,TRUE
服务,2,0.611,FALSE
舒适度,5,0.967,TRUE
完美,5,0.88,TRUE
江南美景,3,0.907,TRUE
交通出行,5,0.829,TRUE
造型准备,4,0.741,TRUE
古装,3,0.912,TRUE
古镇美人,3,0.91,TRUE
绿意盎然,3,0.76,TRUE
静谧雅致,5,0.845,TRUE
月山麻糍坊,2,0.768,TRUE
枕水度假酒店,2,0.751,TRUE
商务休闲,2,0.658,FALSE
古色古香,3,1,TRUE
宜园精品酒店,2,0.723,TRUE
伊甸园铂金酒店,2,0.705,FALSE
子夜酒店,2,0.656,FALSE
经济型,5,0.642,FALSE
艺术大师,3,0.874,TRUE
水乡文化,3,0.825,TRUE
文艺范,5,0.873,TRUE
传统染布工艺,3,0.761,TRUE
古代,3,0.895,TRUE
互联网国际会展中心,2,0.583,FALSE
建筑,3,0.838,TRUE
屋顶花园,2,0.72,FALSE
江南特色,3,0.963,TRUE
桂花酒酿丸子,3,0.909,TRUE
船头粽,3,0.919,TRUE
葱包桧,3,0.752,TRUE
特色菜肴,3,0.948,TRUE
一日游,4,0.721,TRUE
二日游,4,0.757,TRUE
三日游,4,0.573,FALSE
闭馆,2,0.69,FALSE
游览车,2,0.676,FALSE
空气,3,1,TRUE
清新,5,0.839,TRUE
阴天,5,0.901,TRUE
千年小镇,3,0.96,TRUE
美丽,5,0.858,TRUE
魅力,5,0.844,TRUE
庭院,3,0.734,TRUE
夜间停车,2,0.874,TRUE
船票,2,0.727,TRUE
红糖发糕,3,0.928,TRUE
酱鸭店,3,0.923,TRUE
古镇鸭腿,3,0.772,TRUE
通济酱粽店,3,0.862,TRUE
大肉粽,3,0.857,TRUE
桥里桥烧饼铺,2,0.776,TRUE
永平粉团铺,3,0.882,TRUE
芹菜猪肉春卷,3,0.835,TRUE
乌镇鸡煲,3,0.858,TRUE
葱爆鳝片,3,0.79,TRUE
茅老太臭豆腐,3,0.75,TRUE
拍照技巧,5,0.9,TRUE
街道,3,0.991,TRUE
雨季,3,0.868,TRUE
黛青色调,3,0.898,TRUE
白色,3,0.703,FALSE
墨绿,3,0.932,TRUE
青灰,3,0.964,TRUE
黑色,3,0.736,TRUE
莫兰迪色调,3,0.91,TRUE
折扇,3,0.916,TRUE
经典拍摄地点,2,0.752,TRUE
桥里桥茶馆,2,0.782,TRUE
蓝布区,3,0.905,TRUE
竹林区,3,0.888,TRUE
乌镇簸箕,3,0.919,TRUE
桥上,3,0.963,TRUE
毛毛雨,3,0.862,TRUE
游客不多,5,1,TRUE
酒坊,2,0.897,TRUE
吹笛的小哥,4,0.817,TRUE
自由行程,4,0.733,TRUE
逛一圈,4,0.853,TRUE
找小伙伴,4,0.672,FALSE
一起逛gai,4,0.73,TRUE
吃饭,2,0.79,TRUE
枕水江南,3,0.808,TRUE
烟火慢时光,5,0.757,TRUE
水墨画卷,3,0.753,TRUE
文学气息,5,0.727,TRUE
木质结构老宅,3,0.849,TRUE
明清古床,3,0.805,TRUE
扎染DIY,3,0.927,TRUE
道地江南味,3,0.968,TRUE
酱爆螺蛳,3,0.95,TRUE
慢递明信片,3,0.73,TRUE
运河日落,3,0.785,TRUE
摇橹船夜游,4,0.797,TRUE
推窗即景,3,0.971,TRUE
西栅深度游,4,0.742,TRUE
文艺体验,5,0.8,TRUE
清晨薄雾,3,0.765,TRUE
晨光蓝布,3,0.87,TRUE
祈福牌,3,0.875,TRUE
现代设计,3,0.899,TRUE
吴妈妈馄饨,3,0.819,TRUE
手作体验,4,0.689,FALSE
扎染围巾,3,0.694,FALSE
蓝印花布文创,3,0.742,TRUE
邮局旁店铺,2,0.663,FALSE
大圆弧瀑布,3,0.795,TRUE
游览车票,2,0.661,FALSE
修建,2,0.858,TRUE
围挡,2,0.853,TRUE
割裂感,5,0.738,TRUE
免费寄存行李,2,0.568,FALSE
早市,4,0.906,TRUE
免费公交车,2,0.561,FALSE
烟火情,5,0.968,TRUE
岁月柔情,5,0.818,TRUE
历史文化,3,1,TRUE
光景,5,0.832,TRUE
最美,5,0.805,TRUE
风情,3,0.959,TRUE
特色乌篷船,2,0.949,TRUE
民土风情,3,0.914,TRUE
夕阳西下,3,0.881,TRUE
美不胜收,5,0.787,TRUE
古韵风,3,0.952,TRUE
江湖感,5,0.821,TRUE
年代感,5,0.919,TRUE
宝藏,5,0.847,TRUE
文化创意,3,0.932,TRUE
仙侠世界,3,0.849,TRUE
打铁花,3,0.811,TRUE
瓷都之乡,3,0.874,TRUE
艺术内涵,3,0.946,TRUE
古老村落,3,0.903,TRUE
晒秋人家,3,0.948,TRUE
生机,5,0.953,TRUE
徽派建筑,3,0.837,TRUE
古老文明,3,0.889,TRUE
淳朴民风,5,0.892,TRUE
古村镇,3,0.919,TRUE
桥影,3,0.961,TRUE
行人,4,0.811,TRUE
好逛,5,0.936,TRUE
刘氏梯号,3,0.869,TRUE
乌镇定胜糕,3,0.919,TRUE
南浔浔蹄,3,0.891,TRUE
状元楼双浇面,3,0.663,FALSE
青水白墙灰屋檐,3,0.758,TRUE
江南水乡风韵,3,0.941,TRUE
淡青色汉服,3,0.828,TRUE
景行桥,3,0.965,TRUE
吴妈馄饨店,2,0.932,TRUE
桂花糕,3,0.974,TRUE
商业化规范+精致,5,0.668,FALSE
没约上,5,0.792,TRUE
现场单点,2,0.816,TRUE
吃不完,5,0.895,TRUE
很饱,5,0.697,FALSE
主打,5,0.955,TRUE
自然景观,3,0.902,TRUE
文化名人,3,0.777,TRUE
明清古建筑群,3,0.922,TRUE
现代化设施,2,0.706,FALSE
人文景观,3,0.791,TRUE
古代小镇,3,0.928,TRUE
特色餐厅,2,0.905,TRUE
就餐消费,2,0.814,TRUE
风格多样,3,0.839,TRUE
游人歇息,2,0.822,TRUE
河水清绿,3,0.674,FALSE
微风拂面,5,0.785,TRUE
柳枝轻舞,3,0.826,TRUE
时间静止,5,0.843,TRUE
江南水乡韵味,3,1,TRUE
高塔,3,0.919,TRUE
古街,3,0.934,TRUE
围炉煮茶,2,0.873,TRUE
温馨酒店,2,0.676,FALSE
农家风景,3,0.841,TRUE
地道美食,3,1,TRUE
温泉私汤,2,0.755,TRUE
古镇沉浸式剧本杀,4,0.708,FALSE
游玩体验,5,0.834,TRUE
住宿客人,2,0.757,TRUE
出发时间,4,0.785,TRUE
服务中心,2,0.537,FALSE
下午,4,0.808,TRUE
人流量,5,0.813,TRUE
贝多芬特展,3,0.828,TRUE
江南婚俗展馆,2,0.712,FALSE
徐昌酩画院,2,0.915,TRUE
体验项目,4,0.58,FALSE
灵水居花园,2,0.764,TRUE
画室DIY,2,0.714,FALSE
射箭馆,2,0.816,TRUE
乌镇特色饮品,3,0.793,TRUE
评书场,2,0.701,FALSE
杂耍表演,4,0.695,FALSE
运河边,3,0.954,TRUE
集市,2,0.804,TRUE
活动时间表,4,0.638,FALSE
错峰坐船,4,0.823,TRUE
游船码头,2,0.865,TRUE
购票点,2,0.674,FALSE
如意桥码头,2,0.868,TRUE
排队,4,0.733,TRUE
错峰吃饭,4,0.787,TRUE
餐馆,2,0.9,TRUE
用餐服务,2,0.786,TRUE
餐饮统一管理,2,0.736,TRUE
质量和口味,3,0.864,TRUE
夜晚,5,0.973,TRUE
住在景区里,5,0.671,FALSE
看到,5,0.842,TRUE
素一不二扎染,3,0.833,TRUE
好好看,5,0.806,TRUE
实惠,5,0.703,FALSE
布料,3,0.698,FALSE
舒服,5,0.939,TRUE
嬢嬢,5,0.93,TRUE
热情,5,0.849,TRUE
好爱,5,0.89,TRUE
长街宴,3,0.756,TRUE
细雨绵绵,3,0.944,TRUE
乌陶作坊,2,0.89,TRUE
国乐剧院,2,0.93,TRUE
关帝庙,3,0.984,TRUE
益大丝号,3,0.943,TRUE
诗画梦境,5,0.865,TRUE
岁月沉淀,5,0.906,TRUE
诗韵,3,0.958,TRUE
江南水镇,3,0.931,TRUE
绝美,5,0.878,TRUE
青蛇汉服写真,4,0.619,FALSE
雨幕,3,0.898,TRUE
细雨,3,0.912,TRUE
暮色,3,0.905,TRUE
水墨残影,3,0.831,TRUE
烟雨江南,3,1,TRUE
古树,3,0.881,TRUE
登高望远,4,0.748,TRUE
风光,3,0.955,TRUE
没火,5,0.761,TRUE
江南浪漫,5,0.806,TRUE
落日黄昏,3,0.95,TRUE
水影斑驳,3,0.884,TRUE
华灯初上,5,0.88,TRUE
时尚,5,0.711,FALSE
古银杏,3,0.863,TRUE
壮观,5,0.88,TRUE
福善塔,3,1,TRUE
进塔参观,4,0.723,TRUE
电梯,2,1,TRUE
视野,5,0.719,FALSE
寺湾街,2,0.794,TRUE
花灯,3,0.91,TRUE
福善塔同框,3,0.96,TRUE
漱芳禅园,2,0.942,TRUE
四面环水,3,0.883,TRUE
茶园戏楼,2,0.762,TRUE
北更楼,3,1,TRUE
楼顶,2,0.85,TRUE
紫薇花,3,0.85,TRUE
新中式,3,0.815,TRUE
铃兰咖啡,2,0.984,TRUE
幸福感,5,0.888,TRUE
闲逛,4,0.882,TRUE
蟹黄面,3,0.817,TRUE
原住民,3,0.799,TRUE
小店,2,0.794,TRUE
商业氛围,5,0.788,TRUE
临水而居,3,0.904,TRUE
快乐,5,0.96,TRUE
古街小巷,3,0.946,TRUE
神秘,5,0.888,TRUE
摇动的船橹,4,0.952,TRUE
波动的粼光,3,0.861,TRUE
空有无所依的小鱼,5,0.675,FALSE
夕阳,3,0.95,TRUE
微红,3,0.723,TRUE
船夫,4,0.842,TRUE
菜品味道,3,0.923,TRUE
老字号,3,0.849,TRUE
土菜馆,2,0.86,TRUE
赞,5,0.909,TRUE
点评,5,0.826,TRUE
老字号餐厅,2,0.844,TRUE
差评,5,0.776,TRUE
土著朋友,5,0.666,FALSE
回头客,5,0.894,TRUE
锅气满满,5,0.715,FALSE
分量十足,5,0.741,TRUE
店员大姨,2,0.771,TRUE
热情好客,5,0.848,TRUE
功夫笋尖,3,0.91,TRUE
脆爽可口,3,0.942,TRUE
新鲜,5,0.723,TRUE
五花肉,3,0.914,TRUE
无敌下饭,3,0.803,TRUE
浓油赤酱,3,0.913,TRUE
鸭肉紧实,3,0.924,TRUE
鲜嫩,3,0.889,TRUE
不柴不腻,3,0.778,TRUE
咸香入味,3,0.955,TRUE
甜品,3,0.908,TRUE
预制菜,3,0.885,TRUE
酸菜鱼,3,0.923,TRUE
鱼片,3,0.95,TRUE
新鲜滑嫩,3,0.884,TRUE
鲜美入味,3,0.955,TRUE
酸溜溜,3,0.86,TRUE
配菜丰富,3,0.9,TRUE
土豆粉,3,0.854,TRUE
戏剧节,4,0.791,TRUE
搭子,4,0.945,TRUE
游玩攻略,4,0.726,TRUE
诗词的平仄,3,0.808,TRUE
春天好好生活节,4,0.733,TRUE
水上集市早茶客,4,0.816,TRUE
锦记糕点,3,0.968,TRUE
石板缝,3,0.762,TRUE
厕所,2,0.603,FALSE
民宿炒蛋,3,0.607,FALSE
晚霞,3,0.924,TRUE
春满夜集,4,1,TRUE
特调,2,0.92,TRUE
月明,3,0.916,TRUE
梦里,5,0.862,TRUE
烟火,5,0.983,TRUE
古城,3,0.903,TRUE
灰瓦,3,0.904,TRUE
风与月,5,0.881,TRUE
乌瓦白墙,3,0.946,TRUE
画船听雨眠,4,0.73,TRUE
议江南,5,0.956,TRUE
傩舞,3,0.975,TRUE
火舞,4,0.822,TRUE
竹鼠热浪乐园小镇夜景,3,0.822,TRUE
小丑表演,4,0.6,FALSE
狂欢派对,4,0.915,TRUE
热闹巡游,4,0.721,TRUE
情绪价值,5,0.63,FALSE
宫崎骏漫画,3,0.841,TRUE
童话火车,2,0.582,FALSE
赛博朋克,3,0.936,TRUE
白墙黛瓦绿石青阶,3,0.869,TRUE
水乡生活画卷,5,0.927,TRUE
傩舞火把舞,3,0.791,TRUE
火裙舞,4,0.758,TRUE
火壶有凤来仪,3,0.748,TRUE
空中飞人,4,0.689,FALSE
户外livehouse,2,0.717,FALSE
窑火狂欢,4,0.818,TRUE
开龙窑仪式,3,0.806,TRUE
寻味窑工宴,3,0.803,TRUE
薪火窑光巡游,4,0.696,FALSE
鱼头花灯,3,0.826,TRUE
风水池,3,0.84,TRUE
湖畔栈桥,3,0.873,TRUE
紫砂塔,3,0.806,TRUE
龙窑,3,0.835,TRUE
茗岭街,2,0.887,TRUE
窑湖三宝紫砂糕,3,0.758,TRUE
窑湖竹笋汤,3,0.818,TRUE
蜜汁炖猪蹄,3,0.829,TRUE
宜兴乌米饭,3,0.846,TRUE
和桥团子,3,0.896,TRUE
古镇文化,3,0.904,TRUE
恬适,5,0.935,TRUE
景区入口,2,0.735,TRUE
引导不规范,5,0.65,FALSE
工作人员态度,5,0.586,FALSE
商业化严重,5,0.663,FALSE
春雨,3,1,TRUE
江南氛围,5,0.934,TRUE
宫崎骏,3,0.918,TRUE
花伴旅咖,2,0.723,TRUE
玉兰花,3,0.938,TRUE
海棠花,3,1,TRUE
馄饨,3,0.904,TRUE
水乡氛围,5,0.869,TRUE
画,3,0.955,TRUE
乡野气息,5,0.802,TRUE
美食派对,3,0.766,TRUE
咖啡市集,2,0.901,TRUE
人家,3,1,TRUE
心灵,5,0.79,TRUE
归宿,5,0.867,TRUE
思绪,5,0.893,TRUE
夜,4,0.716,FALSE
诗篇,5,0.947,TRUE
旅人,4,0.806,TRUE
茶食文化,3,0.94,TRUE
江南水墨,3,0.967,TRUE
百年传承,3,0.881,TRUE
非遗,3,0.863,TRUE
城市的喧嚣,5,0.852,TRUE
现蒸糕点,3,0.947,TRUE
江南的晚风,5,0.827,TRUE
一壶茶,2,0.944,TRUE
一笼糕点,3,0.914,TRUE
中国水墨画气息,3,0.807,TRUE
石像,3,0.685,FALSE
老屋,3,0.958,TRUE
文人墨客,3,1,TRUE
故乡,5,0.925,TRUE
交通重镇,3,0.769,TRUE
吴越古镇,3,0.939,TRUE
地方文化,3,0.964,TRUE
完整保留,5,0.746,TRUE
高品质服务,5,0.582,FALSE
恬淡气质,5,0.944,TRUE
