评论,打分,积极评价要素词汇_1,积极评价要素词汇_2,积极评价要素词汇_3,积极评价要素词汇_4,积极评价要素词汇_5,积极评价要素词汇_6,积极评价要素词汇_7,积极评价要素词汇_8,积极评价要素词汇_9,积极评价要素词汇_10,积极评价要素词汇_11,积极评价要素词汇_12,积极评价要素词汇_13,积极评价要素词汇_14,积极评价要素词汇_15,积极评价要素词汇_16,积极评价要素词汇_17,积极评价要素词汇_18,积极评价要素词汇_19,积极评价要素词汇_20,积极评价要素词汇_21,积极评价要素词汇_22,积极评价要素词汇_23,积极评价要素词汇_24,积极评价要素词汇_25,积极评价要素词汇_26,积极评价要素词汇_27,积极评价要素词汇_28,积极评价要素词汇_29,积极评价要素词汇_30,积极评价要素词汇_31
没有想到在苏州吴江区还藏着一个古朴的小镇--震泽朴素宁静恬淡惬意我想把一切关于岁月静好的名词都送给它时光在这里就是用来慢慢消磨的总结了来震泽古镇一定要做的10件小事你们快来打卡呀.??一定要去古镇街角的仁昌顺吃一颗油墩儿??一定要尝一尝古镇才有的定胜糕??一定要去震泽四碗茶楼喝一碗本地特色的四碗茶??一定要去仁安轩吃一碗蛋黄馄炖??一定要去老严面馆吃一碗酱鸭面??一定要去师检堂看一看那一百年约定的白木香??一定要去吃一颗阿婆团子??一定要去浜兜咖啡喝一杯每日鲜语牛奶打造的拿铁??一定要穿旗袍在古街上走一走拍拍照??一定要去西坡民宿住一晚感受低调优雅的古镇生活.??古镇门票免费??开放时间全天   小景点 08:00-17:00??地址苏州市吴江区震新南路1333号??交通震泽位于苏州吴江区自驾直接导航即可抵达苏州火车站乘坐轨交4号线同里方向松陵大道站下乘坐吴江震泽专线也可从苏州打车或拼车前往大约60公里左右,10,"古朴, 朴素, 宁静, 恬淡, 惬意, 岁月静好, 慢慢消磨, 古镇街角, 仁昌顺, 油墩儿, 定胜糕, 四碗茶楼, 四碗茶, 仁安轩, 蛋黄馄炖, 老严面馆, 酱鸭面, 师检堂, 白木香, 阿婆团子, 浜兜咖啡, 拿铁, 古街, 旗袍, 西坡民宿, 低调优雅, 古镇生活, 门票免费, 全天开放",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24年震泽参赛作品[拔草R]设计灵感[私信R]设计围绕大赛""丝致""主题将震泽古镇元素揉入其中致以震泽震泽古镇民居富有特色以白墙呈矩阵排列形式感强在图形设计中提炼震泽民居的剪影画面通过丝绸围绕形成矩形的透视空间有如万花筒的绚丽并运用新中式格融入古镇场景有锦鲤跃龙门的福气有震泽万花的生机蓬勃欣欣向荣生生不息[火R]关于震泽古镇真的找了好多图片希望有机会一去太太太美了小桥流水北方人还是很想再去感受一下江南美景的咱就是这次也是加入了经典的民居结构[彩虹R]和大家一起分享有好的设计想法也可以互相交流[气球R]禁止直接盗用当作业参加请自重欢迎交流学习",9,"震泽古镇, 古镇元素, 震泽民居, 特色, 白墙, 矩阵排列, 形式感, 剪影画面, 丝绸, 矩形透视空间, 万花筒, 新中式格, 锦鲤跃龙门, 福气, 震泽万花, 生机蓬勃, 欣欣向荣, 生生不息, 小桥流水, 江南美景, 经典民居结构",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
师俭堂的建筑部分最值得看的就是门楼的砖雕和建筑木雕建筑内共有244幅雕刻其中砖雕27幅石雕4幅木雕213幅图[一R][二R]牛腿木雕图[三R]四面厅里的木雕花篮第三进门楼的精美月梁木雕雕梁画栋的具象化图[六R]福禄寿喜图[七R]孔明迎主 也有人说是刘备招亲但是站在船头的人拿着羽扇一看就是诸葛亮图[八R]状元及第图[九R]月梁两端的龙纹云纹图[一R][零R]梁之间的凤纹当然这些都是修复过的根据残留的轮廓还原雕刻内容和当年营建时一样修复也是东阳的木雕工匠完成仔细看里面还有未经修复过的原木雕人物面部都在特殊年代被凿去图[一R][三R]梅兰竹菊四君子漆雕由清代竹刻名家金之骏刊刻图[一R][四R][一R][五R] 雕花门窗,9,"门楼,砖雕,建筑木雕,雕刻,木雕,石雕,雕梁画栋,孔明迎主,刘备招亲,状元及第,龙纹云纹,凤纹,修复,东阳的木雕工匠,原木雕,漆雕,金之骏,刊刻,雕花门窗",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在天目里和和创园的柴米多餐厅吃过好几次云南菜每次去都会想着什么时候有机会去一趟云南当得知柴米多在苏州震泽的农场距离杭州只有1.5小时车程而且农场里有民宿供销社咖啡馆稻田果园和家属一拍即合决定带上宝宝去柴米多农场过周末-柴米多扎根土地主张生态种植不定期举办土地生产活动让大家能够更好地去了解体验自然生产生活相关的一切农场的民宿??带有院子一楼是餐厅和供销社可以品尝柴米多经典的云南菜看到很多云南的在地农产品民宿房间干净极简高层高加上天窗房间的采光和光影都很棒-稻田咖啡馆?在民宿马路对面的长条船型白色建筑里坐在咖啡馆的落地窗前65亩稻田风光一览无遗正值稻田丰收季一望无际的黄色稻田让人心情都开阔许多稻田里还有拍照打卡装置加上白色房屋水杉林傍晚时分在稻田里走走是理想的乡下生活咖啡馆出品的稻米咖啡我很喜欢一份咖啡里有稻米冰淇淋米乳浓缩把稻米和咖啡结合是很有创意的吃法-另外咖啡馆边上就是自然教育中心更像是多功能阅览室展示了农业知识不定期举办展览还有各类书籍可以翻阅-农场10月开始有??稻田收割体验适合国庆来安排一日游喝稻米咖啡体验割稻谷在餐厅吃云南菜在稻田里拍照秋天体验值拉满-分享一下我们一家三口的2天1夜行程D1柴米多民宿-柴米多稻田咖啡馆-柴米多餐厅D2:众安桥村民宿所在的村落-震泽老严卤菜馆-震泽古镇,1,"柴米多, 云南菜, 苏州震泽, 农场, 民宿, 供销社, 咖啡馆, 稻田, 果园, 生态种植, 土地生产活动, 自然生产生活, 房间, 干净极简, 天窗, 采光, 光影, 稻田咖啡馆, 落地窗, 黄色稻田, 打卡装置, 白色房屋, 水杉林, 稻米咖啡, 稻米冰淇淋, 米乳浓缩, 自然教育中心, 多功能阅览室, 农业知识, 展览, 书籍, 稻田收割体验, 国庆, 一日游, 众安桥村, 老严卤菜馆, 震泽古镇",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"震泽古镇位于苏州市吴江区西南部与浙江省毗邻古称吴头越尾是一个拥有二千年历史的江南古镇也是我国五大蚕桑古镇之一震泽是太湖的古称因此震泽古镇也是江南古镇中唯一一个与太湖同名的古镇与诸多迂回曲折的江南古镇不同宽阔的頔塘河穿镇而过两岸白墙黛瓦的建筑沿河铺开没有常见的小桥流水人家的场景反而多了几分扑面而来的简约大气?基础信息??地址江苏省苏州市吴江区宝塔街10号?时间全天景点营业时间:8:4517:00??古镇门票免费??景点门票联票70慈云禅寺师俭堂文昌阁中国太湖农家菜文化展览馆江苏省农具博物馆??交通高铁到苏州站然后坐地铁??4号线到松陵大道1A出口转吴江震泽专线?景点介绍:1?慈云寺坐落在震泽镇宝塔街上是一座建于宋咸淳年间公元1265-1274年)的古刹后寺庙多次被毁唯塔独存寺中的慈云寺塔始建于三国赤乌年间为全国第七批重点文物保护单位是一座砖身木檐楼阁式的塔传说是孙尚香为寄托思夫之情所建颇具传奇色彩慈云寺塔虽历经沧桑仍翼角轻举玲珑挺秀塔的外观为六面五层由回廊塔壁塔心组成谓之慈云夕照为震泽八景之最2?禹迹桥康熙五十四年为纪念大禹治水功绩而建位于宝塔街东横跨頔塘河与慈云寺相邻禹迹桥为单孔石拱桥宽4.30米长43.50米桥面刻有各类吉祥图案东西两面分别刻有对联禹迹桥与不远处的慈云寺塔互为借景形成拱桥塔影落日夕照的景观3?师俭堂建于清同治三年(1864),位于宝塔街西段坐北朝南三面临水可前门上轿后门下船,水陆称便,为典型的江南水乡大宅门师俭堂面阔五间六进穿堂式高墙深宅集河埠行栈商铺街道厅堂内宅花园下房于一体,街中建宅,宅内含街是一座反映晚清工商绅士坐行经商时代特点和地方特色的代表性建筑2006年被列为全国第六批重点文物保护单位?美食推荐1?仁昌顺始创于清同治三年百年老字号这里最有名的定胜糕其色泽淡红,松软香糯带甜甜的豆沙味曾出现在舌尖上的中国第三季中2? 四碗茶楼这里的四碗茶一套仅需38元待帝茶水潽鸡蛋熏豆茶和清茶这四碗茶先甜后咸再淡每一碗都独具滋味3?老严卤菜馆这里的酱鸭面最经典搭配当地的黑豆干还可以边吃边听苏州评弹惬意极了",1,"震泽古镇,二千年历史,五大蚕桑古镇,頔塘河,白墙黛瓦,简约大气,慈云寺,宋咸淳年间,慈云寺塔,三国赤乌年间,全国第七批重点文物保护单位,砖身木檐楼阁式,孙尚香,禹迹桥,康熙五十四年,大禹治水,单孔石拱桥,吉祥图案,师俭堂,清同治三年,江南水乡大宅门,高墙深宅,晚清工商绅士,仁昌顺,定胜糕,舌尖上的中国第三季,四碗茶楼,四碗茶,甜,咸,淡,老严卤菜馆,酱鸭面,黑豆干,苏州评弹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在师俭堂里的锄经园因为地处震泽而远离了游客喧嚣绿意盎然藤蔓交错纸墙斑驳苔花如米所呈现出的一方幽静天地足够我发呆一整天,10,"师俭堂,锄经园,震泽,游客喧嚣,绿意盎然,藤蔓交错,纸墙斑驳,苔花如米,幽静天地",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
震泽是一个非常非常小的镇子靠近乌镇和南浔但是离各个高铁站不太近适合自驾游主要景点都集中在宝塔街从街口的仁昌顺走到街尾的慈云寺塔只需要5分钟如果考虑在震泽住一晚的话可以在四晚茶楼吃早点四碗茶是震泽的特色了熏豆茶是最特别的一款里面加了豌豆胡萝卜柚子皮茶叶和白芝麻是咸味的茶汤师俭堂是震泽古镇的重头戏30元门票在大夏天可以包场袖珍花园值回票价拍照出片二楼没必要可以不上去地板很旧吱呀吱呀吓人蚊子有??,7,"小,靠近乌镇和南浔,适合自驾游,宝塔街,仁昌顺,慈云寺塔,四晚茶楼,熏豆茶,咸味,师俭堂,30元门票,袖珍花园,值回票价,拍照出片",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厌倦了人潮涌动的热门古镇???那就让心灵启程前往一个不为人知的秘境吧震泽古镇你的避世之选-??坐标苏州吴江区震泽镇无门票入镇??交通公交781路至石墩浜桥或7501/7502直达师俭堂便捷直达古镇深处-??必游亮点?慈云寺塔&禹迹桥古韵悠悠最佳拍照CP定格你的古风美照?师俭堂穿越百年感受古宅的深邃与故事仿佛时光倒流?宝塔街美食天堂从经典小吃到地道糕点满足你对美食的所有幻想?古桥流水漫步古镇不要错过那些横跨水面的古桥它们见证了古镇的悠悠岁月每一步都踏着历史的回响-?特色茶饮四碗茶?特色小吃海棠糕定胜糕油墩萝卜丝糕?特色美食酱鸭面鳝丝面蛋黄混沌快来感受古镇的宁静与美好留下难忘的回忆,9,"震泽古镇,苏州吴江区震泽镇,慈云寺塔,禹迹桥,师俭堂,宝塔街,古桥流水,四碗茶,海棠糕,定胜糕,油墩,萝卜丝糕,酱鸭面,鳝丝面,蛋黄混沌",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
震泽古镇是开放的只有少数景点需要门票和周庄同里相比没有了那些道闸让人感觉这里更像是生活区那些景点反而是点缀其实景区的开发也只针对东半部分从慈云寺走到师俭堂几乎就算逛完了但我需要介绍的是如果你有时间可以往深再走走那些巷子里还有许多故事-1?? 第一站得从禹迹桥和慈云寺塔开始这是震泽的标志东侧还有座原址重建的文昌阁能登楼慈云寺塔前面有详细介绍过也能登塔有比较好的视野塔刹占比大外观翼角轻举玲珑挺秀拱桥塔影值得守候到日落2?? 第二站必然是师俭堂前面也有详述过3?? 第三站庆余堂虽然没有开放但廊枋的雕花挺精细的这属于走在小巷里的小惊喜4?? 第四站震泽虹桥震泽三大名桥之一桥心石雕有回旋水纹桥楹石龙门石也都有各种雕刻还有桥联算是标准的苏州石桥但他原来并不在这个位置是易地迁建的北侧还有一个丝业公学旧址民国建筑震泽就以丝业出名的5?? 第五站王锡阐墓王锡阐是明末清初天文学家暨数学家曾独立发明计算金星水星陵日的方法后来震泽还出过几位有位的天文领域的行家这算是震泽最引以为豪的人物了隔壁的中学也有许多天文相关的小品或建筑6?? 第六站尊经阁原来是图书馆藏书楼的现在建筑感觉有些奇怪其实原来是二层的重修后改为三层正常情况下这里不对外开放7?? 第七站震泽耶稣老教堂没有开放8?? 致德堂从清末建到民初其实也就历时三年楼厅里有花篮式步柱看点不少但现在已封住了______???????????? ??????????????????位置江苏苏州市吴江区 震泽古镇??门票?时长半天???停车禹迹路停车场免费车位多七牛行路深度探访古建筑古城遗址石窟石刻关注我?? 每天给你分享小众人文景点及路线安排,1,"开放,生活区,禹迹桥,慈云寺塔,震泽标志,文昌阁,登楼,慈云寺塔,视野,塔刹,外观,翼角,玲珑挺秀,拱桥塔影,日落,师俭堂,庆余堂,雕花,小巷,小惊喜,震泽虹桥,桥心石雕,回旋水纹,桥楹石,龙门石,雕刻,桥联,苏州石桥,易地迁建,丝业公学旧址,民国建筑,丝业,王锡阐墓,王锡阐,天文学家,数学家,发明,金星水星陵日,天文领域,震泽中学,天文相关,尊经阁,图书馆藏书楼,重修,三层,耶稣老教堂,致德堂,花篮式步柱,清末,民初",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
丝业重镇震泽古镇虽然属于苏州吴江区其实于浙江湖州的南浔更紧密相依古镇不大景点也不多但人文历史还是比较深厚19世纪后期到20世纪初震泽的蚕丝洋经加工和贸易拓展至海外市场达到顶峰P1-P2 震泽古镇慈云禅寺创建于宋咸淳年间公元1265-1274年 原名广济寺明正统年间1436-1449年重建并赐名慈云禅寺慈云寺塔相传建于三国时期P3-P7 师剑堂原主人徐汝福生于清道光十八年1838年官至礼部郎中他是明代徐旷的十四世孙在清同治年间不仅担任官职还从事商业活动经营的丝经和米粮业务师剑堂是集河埠行栈商铺街道厅堂内宅花园下房等于一体的江南民居古建筑群建筑面积3534.10平方米大小房屋150余间建筑很有特色砖雕石雕木雕共有244幅雕刻收费参观P8师俭堂更楼瞭望台更楼是内宅的看守在师剑堂东北角贴墙而建更夫巡更守夜前可俯瞰全宅防卫严密更楼上拍慈云寺塔P9-P10徐汝福经营的米行米行有码头连頔塘河P11震泽古镇与运河相连的頔塘河P12禹迹桥?禹迹桥始建于清康熙五十四年1715年P13文昌阁建于清乾隆三十六年1771年1840年重修登阁西望宝塔古寺老街荻塘河尽收眼底P14宝塔街仁安坊P15丝业公学旧址震泽丝业公学不仅是震泽丝业公会为业内子弟就学而建的学校也是震泽丝业公会的重要活动场所见证了震泽丝业的发展P16震泽江丰农工银行1919年开业是苏州吴江最早出现的民营商业银行由震泽名门施氏家族开设首任董事长施肇曾施氏家族出了很多名人其中有中国红十字会事业奠基人施则敬和中国第一任驻美公使施肇基1923年施肇曾和施肇基兄弟在家乡震泽创设震泽中学育英学校,7,"震泽, 古镇, 丝业重镇, 吴江区, 浙江湖州, 南浔, 人文历史, 蚕丝, 洋经加工, 贸易拓展, 海外市场, 慈云禅寺, 宋咸淳年间, 广济寺, 明正统年间, 慈云禅寺, 慈云寺塔, 三国时期, 师剑堂, 徐汝福, 清道光十八年, 礼部郎中, 徐旷, 清同治年间, 商业活动, 丝经, 米粮业务, 江南民居, 古建筑群, 砖雕, 石雕, 木雕, 更楼, 瞭望台, 更夫, 巡更守夜, 米行, 頔塘河, 运河, 禹迹桥, 清康熙五十四年, 文昌阁, 清乾隆三十六年, 宝塔街, 仁安坊, 丝业公学, 震泽丝业公会, 震泽江丰农工银行, 民营商业银行, 施氏家族, 施肇曾, 施肇基, 震泽中学, 育英学校",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"震译古镇,位于江苏省苏州市吴江区西南部,与浙江省毗邻古称吴头越尾是吴江的西大门震泽镇是一个拥有二千多年历史的江南名镇,也是我国著名的蚕丝之乡",6,"震泽古镇,二千多年历史,江南名镇,蚕丝之乡",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
摄影by@切片化验室此时一名清澈愚蠢的中年少女发出暴鸣太好看了衣服真的嘎嘎出片自恋的我嗷嗷叫,8,"清澈,愚蠢,中年少女,暴鸣,好看,衣服,出片,自恋",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在苏州众多的古镇中震泽并不算太出名但它却是唯一与太湖别称同名的江南古镇是蚕丝文化发源地.暮春的一个下午带着家人与这座小镇来了一次偶遇在完全没有做功课的前提下直接冲了过去发现古镇不大却挺有意思.两条老街沿河而建河北岸的叫宝塔街才没走几步就是师俭堂了P3-P7)这是一座始建于清同治三年1864的大宅子当地士绅徐氏一家曾在此居住和经商江南园林和宅院逛了不少刚进去并无太多吸引我的地方与众多大宅子相似方正的厅堂高悬的匾额整齐的桌椅反倒是拐入一个小院子让我眼前一亮花园又窄又长的一条经过精心设计竟然有一种别有洞天的感觉长廊假山亭台楼阁一应俱全着实令人称奇.出了大宅往前走街上有各类美食咖啡文创的店铺有不少人家都种着月季鲜花盛开还蛮漂亮的P9)宝塔街尽头便是慈云禅寺了P10-P12)寺中的宝塔为国家重点文物寺庙的规模也不小只是我们去的时候没什么人可以尽情静心地逛.翻过禹迹桥左转往前百来米是文昌阁P13)与其他地方相比这里的有点特别建在河中央的一座小岛上不知何意折返后往前走这条位于河南岸的叫驳岸路沿街的店家几乎是家家户户都经营着茶馆P15)临河一侧支起阳伞三三两两的客人坐落其间品茗赏景聊天好不惬意我甚至猜测这里的大部分茶客都是本地人午后来这里找老朋友喝个茶谈个天也是消磨时光的最佳方式.Tips1停车在古镇的周边有好几个停车场最近的一个就在师俭堂后面而且不收费但旅游旺季如何不太清楚2门票师俭堂和文昌阁要凭票进入师俭堂30元文昌阁8元老人小孩可享受减免优惠另外驳岸街靠近禹迹桥那边有一家中国太湖农家菜文化展览馆和江苏省农机具博物馆好像也需要买票因对这些无感没去也没关注其他地方都可以随便逛均不需要门票3美食临河的茶座都不贵看了一眼在人均二三十左右老街入口处有一家叫仁昌顺的糕饼店我们买了一个刚出炉的鲜肉油墩吃味道还行与江南其他地方的口感相似,8,"震泽,太湖别称,江南古镇,蚕丝文化发源地,暮春,家人,小镇,偶遇,老街,沿河而建,宝塔街,师俭堂,清同治三年,大宅子,士绅徐氏,江南园林,宅院,方正的厅堂,高悬的匾额,整齐的桌椅,小院子,花园,窄长,精心设计,别有洞天,长廊,假山,亭台楼阁,街,美食,咖啡,文创店铺,月季,鲜花盛开,慈云禅寺,宝塔,国家重点文物,寺庙规模,禹迹桥,文昌阁,特别,河中央,小岛,驳岸路,茶馆,临河,阳伞,客人,品茗赏景,聊天,本地人,消磨时光,停车场,不收费,旅游旺季,门票,减免优惠,中国太湖农家菜文化展览馆,江苏省农机具博物馆,临河茶座,人均二三十,仁昌顺,糕饼店,鲜肉油墩",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
如果觉得周庄人山人海太过拥挤那不妨到距离它不远的锦溪古镇走一走这是一个拥有两千多年历史的江南水乡还有中国民间博物馆之乡的美誉诸多名胜古迹人文景观和明清建筑特别是这里的36座古桥放眼整个江南都不多见-??锦溪古镇??适合自驾上海出发约1小时苏州城区出发约40分钟??高铁至昆山南站打车约25分钟或乘公交133路前往昆山汽车站可乘公交130路??古镇游览免费但是参观莲池禅院张省美术馆及各民间博物馆需门票-?锦溪古桥这里有36座桥72只窑的美誉每座古桥都有其独特造型和历史很具观赏性比如始建于南宋的十眼桥里和桥普庆桥节寿桥红木桥具庆桥等等-?民间博物馆古镇的民间博物馆非常多紫砂馆中原文化馆砖瓦馆古董馆名人馆张省美术馆等等-?莲池禅院始建于南宋临湖寺前还有一片荷塘夏日非常的漂亮秋冬也是别样的风景-?陈妃水冢在湖中央四面环水据说是南宋皇帝赵构的宠妃陈妃的墓地远望别有一种神秘而宁静的美-?文昌阁临水而建也是古镇的文化地标-??锦溪古镇的特色美食很多奥灶面袜底酥海棠糕锦溪鱼干等等,1,"锦溪古镇,江南水乡,民间博物馆之乡,名胜古迹,人文景观,明清建筑,古桥,自驾,上海,苏州,昆山南站,公交,免费游览,莲池禅院,张省美术馆,民间博物馆,紫砂馆,中原文化馆,砖瓦馆,古董馆,名人馆,十眼桥,里和桥,普庆桥,节寿桥,红木桥,陈妃水冢,南宋,赵构,宠妃,神秘,宁静,文昌阁,临水,文化地标,特色美食,奥灶面,袜底酥,海棠糕,锦溪鱼干",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
走过山林湖泊沙漠大海如今来到这座姑苏古镇??西坡震泽度假民宿位于江苏省苏州市吴江区宝塔街44号开业于2021年??民宿仅由7间房组成分布在古宅内建筑的基底是一座历史悠久的百年宅院设计上依然保持着修旧如旧的手法赋予这一座座明清院落建筑的新生在此同时且又保持旧时居民的生活动线三座院落串联且具有亲密感白墙黛瓦墙面又带着一丝时间的肌理保留了江南建筑的风韵和宅院的古朴也完美融入2000余年的震泽古镇室内墙面采用了手工感白色肌理乳胶漆地面除了常用的水磨石外部分区域还增加铺设了蓝橙相见的复古花砖搭配古朴雕花窗碰撞出了摩登且活跃的气氛格局布置十分通透各个区域的窗都有不同的别致风景充满时间韵味的古建筑阳光下的长廊复古花砖砌成的泳池再加上大量的木质家具运用营造了古色古香的入住氛围低矮厚重的沙发椅搭配着花色刺绣靠枕再次将震泽的特色融入其中中心院落内的复古泳池极为夺目复古花砖泳池与铁艺软装的搭配在老石板的地面上打造一个时尚与历史交融的空间泳池对面保留了一百多年前的牌坊匠心雕刻的精美图案是时间留给我们的记忆廊檐高低过道交错一步一景皆是一副画正是这样的细节让客人感受到松弛惬意的氛围丰富与细腻古与新创造浪漫且又舒适的度假空间??设计团队@西坡设计 CIPO DESIGN软装方案@西坡设计 CIPO DESIGN摄影团队@萳茜与南西,10,"古镇原貌,百年宅院,修旧如旧,江南建筑,风韵,古朴,手工感,白色肌理乳胶漆,水磨石,复古花砖,古朴雕花窗,摩登,活跃,通透,别致风景,时间韵味,阳光,长廊,木质家具,古色古香,低矮厚重,沙发椅,花色刺绣靠枕,特色,复古泳池,铁艺软装,老石板,时尚与历史交融,牌坊,匠心雕刻,精美图案,记忆,廊檐,高低过道,交错,一步一景,细节,松弛惬意,丰富,细腻,古与新,浪漫,舒适,度假空间",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上个月底去了趟苏州行程全权由吴江的朋友负责都是他们去过的地方跟着走就行了行程安排Day1????常州出发吴江市区吃中饭??长漾里入住体验做米糕漆扇子??柴米多CHIMIDO稻田咖啡馆喝下午茶??江村饭店吃晚饭??震泽古镇走走河边喝茶Day2????村子里转转看看稻田??可以去参观一下太湖雪蚕桑园这里离湖州很近我们出发去了南浔古镇逛小莲庄吃午饭喝咖啡坐摇撸船??长漾里?集民宿餐饮文化体验研学手工作坊为一体的乡村体验地?小朋友体验了做米糕漆扇自己做的米糕特别好吃?我们住的是双喜的双床房价格400+性价比还可以??柴米多CHIMIDO稻田咖啡馆?面朝稻田现在去能看到一片金黄的稻田了户外也有很多景观位在这看落日应该也很不错?这里属于柴米多自然教育中心的一部分有一面墙的书架放了很多书籍和绘本可以免费借阅??江村饭店靠近太湖雪蚕桑园环境不错上菜速度也很快口味中规中矩吧??震泽古镇?免费开放夜景有点黑很多店都关门了人也不多?买了老太太的黑豆腐干说是比较正宗又咸又甜早上搭粥不错仁昌顺的定胜糕卖完了没有尝到?路过河边茶楼看到有很多大爷大妈喝茶聊天我们也加入了点了一杯熏豆茶第一次喝到咸口的茶有点喝不下??南浔古镇?免费开放部分景点需购票这里面推荐小莲庄人少景美?中午吃的南浔印象餐厅就在南门口环境味道都还可以?摇撸船可以体验下有4个码头南门进来离小莲庄码头最近但人比较多我们从张静江码头上船人要少一些,1,"长漾里,柴米多CHIMIDO稻田咖啡馆,江村饭店,震泽古镇,南浔古镇,小莲庄,摇撸船",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
遇见最美江南记录8个苏州古镇的诗意瞬间作为一个摄影爱好者我走遍了苏州的8大古镇今天分享一些私藏的拍摄机位和时间点让你也能拍出充满诗意的江南画卷~??甪直古镇最佳拍摄点永安桥清晨5:30-7:00河面升起薄雾站在桥的西侧拍摄能捕捉到晨光穿透雾气的梦幻场景我最爱在这个时候用50mm定焦低角度构图让粼粼波光和老房子的倒影相互辉映??震泽古镇必打卡报恩塔黄昏时分的塔影倒映在水中特别震撼小技巧是用广角镜头构图时让塔身略微偏离画面中心保留更多水面倒影会让画面更有层次感??木渎古镇绝佳机位山塘街雨后的石板路最上相我一般会选择雨后的傍晚用35mm定焦对准石板路上的积水拍摄倒映出的灯火和老建筑特别有意境??千灯古镇私藏时段夜幕初降古镇最迷人的时刻是华灯初上尤其是千灯浦边推荐使用三脚架慢门拍摄水中倒影让河面的灯火形成梦幻的光斑拍摄小贴士早晚黄金光线时段必须把握雨天反而是拍摄的好时机注意保留建筑的完整性可以用当地居民作为画面点缀构图时善用倒影和留白后期建议适当提升暗部细节控制好色温不要过度偏冷画面对比度适中更有韵味?,10,"古镇,诗意,江南画卷,永安桥,薄雾,晨光,梦幻,报恩塔,塔影,震撼,山塘街,石板路,意境,千灯浦,华灯初上,梦幻,光斑,黄金光线,雨天,倒影,留白,暗部细节,色温,对比度",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水墨江南輕染細雨蕉葉微顫檐角紅燈初上歲月苔痕靜看,9,"水墨江南,細雨,蕉葉,檐角,紅燈,歲月,苔痕",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一条骑行自驾路线攻略湖州三天两晚4个历史文化名镇1个首批传统村落详情如下Day1:新市古镇南浔古镇夜景江南市镇多沿河网分布杭州出发可经塘栖古镇继续沿大运河北上建议在中午前抵达新市古镇新市古镇无需门票景区不大但游客也不多给有缘人展现一幅低调温婉小家碧玉的江南水乡景致中午推荐仙潭市场边的黄毛鸭绞面下午可在西市街河边小坐去南浔经过的善琏练市镇也值得一说善琏镇为湖笔原产地练市有粮仓群可稍作停留南浔古镇进景区无需门票头天可游览古镇夜景傍晚在相对僻静的百间楼一带最惬意穿廊过桥吃喝闲坐20块钱一场的苏州评弹也好听得美轮美奂DAY2:南浔古镇震泽古镇双林古镇早餐推荐古街通津桥一带几家早起的老面馆看着都不错酥肉爆鱼等各种浇头小菜看着都好吃此外老街上各种软糯糕点琳琅满目看着也很可口8点后可参观古镇内小莲庄张石铭故居等景点联票80这些都是过去南浔丝商巨贾修建的豪宅巨构中西合璧的建筑特点背后的风云往事似南浔一梦南浔古镇以东10公里有苏州震泽古镇古建爱好者不要错过有师俭堂慈云寺塔均属国保单位D3双林镇的老街风情分散于深巷里弄少一些粉饰多的是平常细碎的市井生活气镇北有双林三桥风情可人傍晚夕阳晖映时更可人DAY3荻港古村菱湖古镇荻港古村是东苕溪畔一座传统渔村村里有一家真正古色古香的老茶馆被人称为一元茶馆已有百余年历史五块钱一杯的茶水身体很久没有喝得这么透菱湖是湖州地区又一座重镇以水产和丝业闻名镇上仍然保存着许多七八十年代的风貌镇上有浙丝二厂为首批国家级工业遗产对近现代历史感兴趣的朋友可以重点了解,9,"新市古镇,低调温婉,小家碧玉,江南水乡景致",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
震泽镇地处太湖南岸属江苏省苏州市吴江区位于苏州南部吴江区的西南部江苏浙江两省交界处震泽镇地理位置优越水陆交通便捷自古以来震泽作为唯一与太湖别称同名的古镇就有吴头越尾之称为物华天宝人杰地灵之地 ,7,"震泽镇,太湖,江苏省,苏州市,吴江区,苏州,江苏,浙江,地理位置,水陆交通,古镇,吴头越尾,物华天宝,人杰地灵",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
