评论,打分,积极评价要素词汇_1,,,,,,,,,,,,
天气晚来秋。新市古镇新开的古装体验馆，189包含妆容妆发造型?拍摄三张精修二十张底片，非常实惠   ,8,"古镇,古装体验馆,妆容妆发造型,拍摄,实惠",,,,,,,,,,,,
"新市古镇是江南七大古镇之一??千百年来居民临河而建??傍桥而市??形成典型的江南风情??河岸的一砖一瓦都在讲述着历史的故事，河边的一枝一叶都摇曳着岁月温润的宁静。	[举手R]2024年8月1日起，新市古镇景区将开设常态化游船游玩项目。	?营业时间：10:00-20:00于新市游客中心码头与假日酒店码头间往返??登船码头：新市古镇游客中心码头、假日酒店码头[向右R]游船路线：1.游客中心码头——万象桥——驾仙桥——会仙桥——永昌桥——假日酒店码头（登船/或返航）2.假日酒店码头——永昌桥——会仙桥——驾仙桥——万象桥——游客中心码头（登船/或返航）[向右R]游船时长：15分钟-20分钟	[一R]乘船攻略第一招：着古装 真出片泛舟河上，若是单纯赏景，则略显寡淡。模仿古时的文人墨客，身着一身古风衣裳，带上拍照的玩伴，缓缓驶入古镇的河道，定格你与江南美景的瞬间??	[二R]乘船攻略第二招：看雨景 真江南雨天的新市古镇更有江南的韵味。油纸伞轻舞，摇橹船悠悠。“连雨不知春去，一晴方觉夏深。”??	[薯券R]乘船的套餐：【漫游手摇船】1.2米（含）以上及成人30元/人（日常票价/单程）50元/人（法定节假日票价）1.2米以下（儿童）15元/人（日常票价/单程）25元/人（法定节假日票价）【至尊电动船】80元/船（日常票价/半小时内）100元/船（单程/法定节假日票价）（至尊电动船：仅限4人乘坐）	      ",1,,,,,,,,,,,,,
今天的行程：新市古镇，这里还完整的保留着明清古宅的风貌，千百年来，这里的人临河而居，依然有着浓浓的烟火味。林家铺子是在这里拍摄的。钱学森的老师钟兆林、清代大画家沈铨、南宋时期的右丞相吴潜的故居都在这里。真是一座低调的千年古镇！,9,"古镇原貌,明清古宅风貌,临河而居,烟火味,林家铺子拍摄地,钱学森老师钟兆林,清代画家沈铨,南宋右丞相吴潜故居,低调,千年古镇",,,,,,,,,,,,
新市古镇位于湖州德清，距今已有数千年之久，建制历史就达1200多年，千百年来民居临河而建；傍桥而市，形成典型的江南风情。设计融合清丽婉约的古镇风貌、深邃的历史底蕴、古朴而浪漫的民俗风情。保留古镇底色、植入现代时尚文化，实现洁化、序化、艺术化。以延续文化历史，实现旧城复兴、水乡复兴。色彩提取自古镇、运河、建筑；结合高品质设计材料、现代化视觉，抒写古老之胜，水乡之美。?????????????????????,10,"古镇原貌,江南风情,清丽婉约,历史底蕴,古朴浪漫,民俗风情,现代时尚文化,洁化,序化,艺术化,色彩,高品质设计材料,现代化视觉,文化历史,旧城复兴,水乡复兴,古老之胜,水乡之美",,,,,,,,,,,,
街角飞奔而来的少年，你是否还记得  ,7,,,,,,,,,,,,,
新市古镇踏入古镇，时光悄然慢下了脚步。脚下，青石板路被岁月打磨得光滑，每一步都似与往昔温柔对话 。街边，木质楼阁错落有致，雕花木窗半掩，露出屋内几缕暖光。河畔，垂柳依依，细长的柳枝垂落在平静河面，泛起丝丝涟漪。古桥横跨两岸，连接着生活的琐碎与诗意。老人坐在桥头，悠闲地晒着太阳，脸上刻满了岁月的故事。在这里，没有车水马龙的喧嚣，只有鸟鸣、水流和邻里的寒暄。找一家临河茶馆，点一盏香茗，看茶叶在水中舒展、沉浮，任阳光洒在身上，满心都是慵懒与惬意。,10,"青石板路,木质楼阁,雕花木窗,暖光,河畔,垂柳,平静河面,古桥,老人,岁月的故事,鸟鸣,水流,邻里的寒暄,临河茶馆,香茗,阳光,慵懒,惬意",,,,,,,,,,,,
       工作日来的，人不多，4月江南天气太舒服嘞～就适合逛逛吃吃～新市古镇不大，全部走完也就五六千步[笑哭R]超适合逛逛吃吃的～这边的古镇生活气息比较浓郁，都是当地居民，商业气息没有那么浓郁。各种美食小吃比较有当地特色，雪饺、梅花糕、麦圆饼、定胜糕等等（见图）。雪饺是酥酥甜甜的，个人觉得比较甜，可以买盒装带走～玲阿娘梅花糕一定要尝一下，甜咸口都有，豆沙馅儿的我吃了两个[笑哭R]太好吃啦！不过注意刚出锅的很烫很烫！不要急着下口（别问我怎么知道的[捂脸R]…）。冬笋鲜肉的梅花糕是第一次看到，也很好吃，很香，甜咸下面都是脆脆的，豆沙感觉像是吃热的蛋卷冰激凌，老板娘说可以打包回去空气炸锅加热～（160度三分钟），好像说学生能打折噢（便宜一块钱），原价是肉的8块/个，豆沙6块/个。和老板开玩笑说自己是大学生，老板也给打折了，不过没好意思还是付了原价[害羞R]茶糕和米糕感觉很像，但是有肉馅儿的，对这种热乎乎糯叽叽的东西没有抵抗力！甜咸都可以尝下！可以打包邮寄～麦圆饼有原味、豆沙、核桃芝麻馅儿的（3.5-4.5/个），有点像煎青团的感觉，但是是冷的，感觉刚煎出来会更好吃～有盒装可以带给家人，也可以邮寄～基本上逛逛吃吃就饱了，很多东西没尝到，还有烧麦、萝卜丝饼、定胜糕因为到处都有就没买，基本上特色点心都可以打包或邮寄，我也打包了带给家人尝尝～,9,"工作日,人不多,4月,江南,天气舒服,逛逛吃吃,新市古镇,不大,五六千步,生活气息浓郁,当地居民,商业气息不浓,美食小吃,当地特色,雪饺,梅花糕,麦圆饼,定胜糕,玲阿娘,甜咸口,豆沙馅,冬笋鲜肉,香脆,甜咸,打折,学生,茶糕,米糕,肉馅儿,热乎糯叽,甜咸均可尝,打包邮寄,原味,豆沙,核桃芝麻,煎青团,盒装,家人,烧麦,萝卜丝饼,特色点心,打包,邮寄",,,,,,,,,,,,
古镇不大 游客很少 大部分都是本地人 周边是街道 随便溜溜还是不错的[自拍R]新的商业区在建 感觉不错 适合顺路休闲游[大笑R]   ,7,,,,,,,,,,,,,
"新市古镇—人家两岸柳阴边，出得门来便入船	下渚湖湿地公园—山气日夕佳，飞鸟相与还——??交通：上海自驾约2.5h，新市古镇距德清市区开车约40min——??行程DAY1. 上海自驾—下渚湖湿地公园—吉祥街DAY2. 百乐街早餐—新市古镇—返程——??下渚湖湿地公园(P1. P8-10)1??国家地理评为“最美湿地”，鸟岛上有国宝朱鹮。虽然冬天绿色少，但天气好，枯黄的芦苇和湛蓝天空的强烈对比还是很好看的。2??路线：游客中心—乐岛—鸟岛—蒹葭岛—游客中心3??门票75r(杭州公园年卡可以打折)船票40r	??新市古镇(P2-7)古镇free开放，比较热闹的茶馆集中在西河口街区。沿河很多茶馆，晒太阳喝茶超级舒服。新市茶糕|元松羊肉面|梅花糕|黄毛鸭绞面——??吉祥街?百乐街美食(P11-12)1??香酥鸡烧饼: 加了炸鸡豆腐的烧饼味道很不错。2??大台北: 招牌柠檬奶有点像加了茶的养乐多。3??哈乐园：老zihao糕饼铺，月饼味道不错。4??陈老伍炸鸡:新鲜出炉的炸鸡hin香，普通的好吃。5??三合鲜虾面：小黄鱼面料多，汤汁浓郁很鲜。——一定要选天气好的时候来玩，晒太阳喝茶坐船看风景放松心情，超级舒服！——        @薯队长",1,,,,,,,,,,,,,
趁着天气晴好，多出门走走。乌龙古道，感觉和宜兴的廿三湾差不多，都是沿着竹林盘旋拾级而上。这条徒步路线是一个环线，包括了乌龙古道、长兴八都岕槿树潭公园和八都岕银杏长廊。现在不是观赏银杏的最佳时间，我想深秋肯定很美。顺路逛一圈新市古镇，古镇无需门票，保留了大量的明清建筑，目前还在开发扩建当中。这里有着一千多年历史，曾经是京杭大运河重要码头之一，有着“千年小上海，江南百老汇”的美誉。如今的古镇没了当初的繁华，却多了一份安静和惬意。房屋临水而建，每走几步就能看到围炉煮茶，非常有烟火气息。,1,,,,,,,,,,,,,
这个古镇不一般，换个角度认识它     @新市古镇景区 @浙江文旅 @美丽浙江 @德清文旅,7,,,,,,,,,,,,,
古镇里我泛舟下江南奈何江南入我心水波涟漪 荡漾一片       ,9,"古镇, 泛舟, 江南, 水波, 涟漪, 荡漾",,,,,,,,,,,,
"??风起紫藤帘，舟摇宋时烟???谁把云木裁作瀑，又把江南绣成诗??濮院的春??是廊桥一梦坠入《千里江山图》的褶皱白墙托起百年香樟??运河载着古寺与银杏的私语??走过雾森??潋滟处才知紫藤??不羡乌篷??春色偏宠寂寥～-??：嘉兴·濮院时尚古镇??：桐乡站，打车15分钟直达-??【8大封神打卡点】1??潄芳禅园：宋风雾森仙阁！站小桥拍水中倒影，汉服+油纸伞=《清平乐》剧照直出2??百丈长廊紫藤瀑：游客中心沿河走！4月顶流花海，低机位仰拍“被紫藤淹没”??3??福善寺：千年南宋银杏×春日樱花暴击！朱墙飞檐+落英，禅意感拉满4??北更楼：登顶俯瞰全景！白墙黛瓦+运河如带，一键get《只此青绿》视角??5??关王庙：水上关帝庙！拍夕阳剪影，红灯笼亮起时秒穿武侠片??6??濮商会馆：土豪必看！满墙金银钱币库房，了解古代“江浙财团”发家史??7??听雨屋：晴天看雨黑科技！白裙+透明伞，拍出“天青色等烟雨”破碎感???8??三花喵喵屋：撸猫党闭眼冲！按按钮唤醒“破窗猫猫”，尾巴挂巷子萌到心化??-??【暴走路线指南】游船码头??北更楼（全景开篇）??潄芳禅园（主C位！）??关王庙→濮商会馆??梅泾剧场（看非遗演出）??蜡烛街（夜景绝）??珍宝馆??翔云观??福善寺??寺湾街（夜游提灯）??福善塔（压轴灯光秀）-	                              ",10,"廊桥,《千里江山图》,白墙,香樟,运河,古寺,银杏,紫藤,乌篷,春色,寂寥,宋风,雾森,仙阁,汉服,油纸伞,清平乐,百丈长廊,紫藤瀑,花海,福善寺,南宋银杏,樱花,朱墙飞檐,禅意,北更楼,白墙黛瓦,只此青绿,关王庙,水上关帝庙,夕阳剪影,红灯笼,武侠片,濮商会馆,江浙财团,听雨屋,天青色等烟雨,三花喵喵屋,撸猫,破窗猫猫,尾巴挂巷子,游船码头,梅泾剧场,非遗演出,蜡烛街,夜景,珍宝馆,翔云观,提灯,福善塔,灯光秀",,,,,,,,,,,,
新市古镇和练市古镇相比，新市完胜。新市古镇规模更大，历史人文更为丰富，景区还在建设完善中，免费这点上性价比加分。羊肉面还不错，春天限定的甜麦圆子（塌饼)糯星人表示喜欢。,1,,,,,,,,,,,,,
今天去德清新市古镇体验了非遗手工茶糕的制作，新市茶糕是新市古镇的著名传统早点，历史悠久，选料考究，味道鲜美，在杭嘉湖水乡平原很有名气。   ,9,"非遗手工茶糕,新市茶糕,著名传统早点,历史悠久,选料考究,味道鲜美,杭嘉湖水乡平原",,,,,,,,,,,,
"德清的春天，是一株梨花点亮的新市古镇，是莫干山的光影竹韵。	     ",9,"春天,梨花,新市古镇,光影竹韵,莫干山",,,,,,,,,,,,
新市古镇的石板路会说话摇橹船推开碧波 白墙黑瓦倒退成诗转角的茶香 屋檐的风铃原来古人的浪漫 藏在一呼一吸间          ,10,"石板路,摇橹船,碧波,白墙黑瓦,茶香,风铃,古人的浪漫",,,,,,,,,,,,
兴趣能量站    ,7,,,,,,,,,,,,,
四月的乌镇是万万次的春和景明??一道水，一条桥，一支橹声木心笔下的枕水人家??在春日的西栅具象化了·清明五一没想好去哪儿玩的可以来乌镇西栅逛逛还有春日限定的好好生活节·以下是本J人去过6次乌镇总结的保姆级旅行攻略??春日版·??第一天?10:00-11:00??定升桥·蚕花仙子水上巡游摇橹船载着蚕花仙子，看完可以逛逛西栅大街·?11:00-12:00??龙形田·花田市集古镇大街背后藏着超大一片油菜花海??巨浪漫，还可以逛逛花田市集·?12:00-13:00??后街酒家穿过油菜花田，就到了后街酒家，现炒的野火饭超香·?13:00-14:30??乌村吃完饭在门口坐摆渡车去乌村，小火车、稻草人、树屋，一切都充满了童趣·?14:30-15:30??龙形田·花伴咖啡屋/早来春茶馆从乌村返回龙形田，在油菜花田间休息一下，吃个美美的下午茶·?15:30-16:30??桥里桥茶楼打卡网红机位，再从旁边的如意桥码头坐摇橹船前往灵水居码头·?16:30-17:30??灵水居逛逛乌镇最大的私家园林，门口还有春意读书会和戏剧表演·?17:30-19:30??灵水居蓝调时刻吃个暖锅夜酒作为晚饭，在容易钟情酒馆来一杯特调，最后逛逛春满夜集·??第二天?8:30-9:30??水上市集·早茶客来乌镇必体验的人间烟火·?9:30-10:00??草木染坊很出片的染坊，可以在这亲手做蓝印花布·?10:00-11:00??木心美术馆展出了木心先生的大部分手稿和绘画作品·??住宿景区内住宿很多，丰俭由人，喜欢现代化的????堤上度假酒店，奢华五星，体验很好，闭园后独享整个乌镇，还能免景区门票·              ,10,"春和景明,水,桥,橹声,枕水人家,春日,西栅,好好生活节,定升桥,蚕花仙子,摇橹船,龙形田,花田市集,油菜花海,后街酒家,野火饭,乌村,小火车,稻草人,树屋,童趣,花伴咖啡屋,早来春茶馆,桥里桥茶楼,灵水居,春意读书会,戏剧表演,蓝调时刻,暖锅夜酒,钟情酒馆,春满夜集,水上市集,早茶客,草木染坊,蓝印花布,木心美术馆,手稿,绘画作品,堤上度假酒店,奢华五星",,,,,,,,,,,,
又到了浙江人疯狂打年糕的季节了冬天老北京吃铜锅、东北有自己的铁锅炖，在湖州，那就是糯叽叽啦-?新市茶糕（图1）??新市古镇从清朝就有的中式糕点也是湖州人自己的早茶外面是糯叽叽，里面是咸香油润的肉馅在河岸小茶馆中，点上一叠，烟火气十足-?定胜糕（图2、3）??徐忠良定胜糕安吉土著老店，但糕点也有很多创新除了传统的流心桂花糕，麦香血糯米糕、爆浆酸奶紫米糕、蛋黄肉松翡翠条头糕、海盐芝士脆脆团…………都超好吃不建议多买，吃新鲜的才好吃-?梅花糕（图4）??各种小镇老店表面是糯糯的糯米浆，里面塞入红豆沙馅，再铺上满满的料，光看就又被馋到不行????黑芝麻和红豆为主料的蕞多新晋网红芋泥和紫薯馅更绝-?子孙糕（图5）??南浔双林镇有着子子孙孙步步高（糕）升之意扶墙安.利东风饭店???70年代的装修风格，小店虽破却很干净店家坚守着，想吃正宗的就去他家一定要早点去哦-??宝藏甜品&糕点铺????麦记牛奶公司??徐忠良传统定胜糕??玲阿姨梅花糕（新市古镇）??红丰早饭一.条.街酱油粢米饭，油条夹猪油膏，肉糕，连城烧麦，辣油馄饨这条路上基本上都有！         ,9,"古镇原貌,传统糕点,烟火气,新鲜好吃,老店,创新口味,糯叽叽,咸香油润,流心桂花糕,麦香血糯米糕,爆浆酸奶紫米糕,蛋黄肉松翡翠条头糕,海盐芝士脆脆团,梅花糕,芋泥和紫薯馅,子孙糕,步步高升,70年代装修风格,干净,正宗,宝藏甜品,早茶文化,酱油粢米饭,油条夹猪油膏,肉糕,连城烧麦,辣油馄饨",,,,,,,,,,,,
"如何立足文化根基，打造特色品牌，让游客流连忘返，是如今不少古镇，共同面临的重要课题??	中国有2800座已开发或者正在开发的古镇，但让人记住的不超过8座??	在古镇旅游的全新竞技场上，新开发的古镇怎样才能“长得不一样”?	??思考方向1.要保护好地方文化的独特性2.要不断推陈出新，注重价值挖掘	??具体思路1.首先是能出片??当下喜爱古镇游的年轻游客，普遍看重打卡体验，满足“晒圈”需求。2.其次是能体验??观古迹、入民俗、尝美食，“体验”已成为游客最为看重的内容之一。3.最后是能尝鲜???一场演唱会、一个电影展、一个新颖好玩的项目，甚至是一款时令美食，都可以成为游客说走就走去“尝鲜”的理由。	???????????@小红书创作助手??@小红书创作学院??@小红书成长笔记??@小红书REDesign",2800,"古镇原貌,独特性,推陈出新,价值挖掘,打卡体验,晒圈,观古迹,入民俗,尝美食,体验,演唱会,电影展,新颖项目,时令美食,尝鲜",,,,,,,,,,,,
"第27届新市蚕花庙会“春来新市轧蚕花 沾得一生好福气”为主题2025年4月4日—6日盛大开幕。	从精彩绝伦的蚕花姑娘表演到万人空巷的花轿大巡游，从蚕娘祈福礼到水上撒蚕花，每一处细节都弥漫着江南水乡的温婉与灵动     ",10,"蚕花姑娘表演,花轿大巡游,蚕娘祈福礼,水上撒蚕花,江南水乡,温婉,灵动",,,,,,,,,,,,
"当魔都高架堵到发红,杭州西湖挤到限流我在德清山涧泡冷泉??吃竹林走地鸡??在百年洋房前穿旗袍摇曳生姿最后钻进新市古镇吃羊肉面配黄酒这才叫真正的「偷得浮生三日闲」！??	——浙江德清3日——Day1：上海-杭州-安吉余村Day2：湖州-民国风情街-莫干山风景区Day3：杭州-新市古镇-返回上海	?必打卡景点??安吉余村被联合国世界旅游组织评为“世界最佳旅游乡村”。漫步于竹林幽径，山上的矿山遗址公园，村中还有老水泥厂改造的图书馆??农场咖啡厅等等都很适合休闲打卡。??莫干山是国家5A景区，享有“江南第一山”之美誉?芦花荡、清幽雅静的武陵村、荡气回肠的剑池飞瀑、清澈不竭的清泉、有“世界近代建筑博物馆”之称的别墅群……处处引人入胜。??新市古镇距今1700多年，水街相依。纵横的溪塘穿街傍市，溪上众桥飞跨，塘畔绿树成荫，河中舟楫不绝，尽显古老之胜，水乡之美。羊肉和茶糕是新市古镇的特色美食，享誉江南！	??住宿推荐??杭州鸬鸟希尔顿花园酒店位于大径山乡村国家公园度假区内，背靠绵延山峰，面朝波光粼粼的湖泊，揽苍翠秀丽美景。	??防坑tips：1??莫干山景交车末班17:00！别错过2??新市古镇下午四点后免门票3??安吉余村建议租电瓶车（30元/h）4??带驱蚊液！所有景点都需要	??旅行目的地持续更新，关??我吧       ",1,,,,,,,,,,,,,
一直想去东钱湖看网红梨花，翻到照片梨树不如往年就做罢了。周五晚上翻到有博主发图被吸引了，赶紧驱车前往，太美了不熟东钱湖的，一棵巨大的梨树和古镇台阶相得益彰，人流也还好能拍到空镜。之前都没有听过这个新市古镇，古色古香，还不用门票停车方便太值了。,9,"古镇原貌,古色古香,门票免费,停车方便",,,,,,,,,,,,
超小众的宝藏古镇——??湖州新市古镇，一个尚未被过度商业化的静谧之地。这里没有熙熙攘攘的人群，有的只是原汁原味的江南水乡风情??。??河道纵横，古桥林立，沿岸的明清建筑保存完好。走在青石板路上，仿佛能听见岁月的回响。??没有喧嚣的酒吧和千篇一律的纪念品店，只有街边的老茶馆和传统的手工作坊。??在新市古镇，时间仿佛慢了下来。你可以坐在河边，看摇橹船缓缓驶过，感受微风拂面的惬意。??一定要尝尝新市的特色美食，茶糕、羊肉面，每一口都是地道的江南味道。  ,10,"古镇原貌,商业水平不高,江南水乡,河道,古桥,明清建筑,青石板路,岁月,老茶馆,手工作坊,静谧,特色美食,茶糕,羊肉面,地道江南味道",,,,,,,,,,,,
?"新市古镇，才是真江南"谁说江南古镇只有乌镇西塘？这座低调了1700年的水乡小镇——新市古镇距离上海高铁仅1h，商业化几乎为0没有拥挤人潮，只有原汁原味的烟火气????交通攻略推荐自驾！上海出发2h直达，古镇停车方便??游玩路线古镇完全免费！分为景区内外两部分：?景区核心（定位"新市古镇游客中心"）觉海禅寺：唐代古寺，飞檐翘角超出片?外围生活区（我的私藏！）粮仓停车场：工业风粮仓超好拍！????住宿安利??新市古镇假日酒店??地理位置绝佳，开窗就是河道??美食暴击1???胡大姐香酥鸡烧饼：现点现炸的香酥鸡+秘制酱料+酥脆烧饼，一口下去超满足！（认准胡大姐招牌）2???广福楼面馆：鳝丝面：现划鳝丝爆炒，浓油赤酱裹着细面牛肉丝面：嫩滑牛肉配上古镇特有碱水面（??上午去！浇头卖完就收摊）3???出了上海怎么能不喝！推荐布蕾脆脆奶芙，古镇逛吃必备解腻神器????Tips??周末人也不多！建议住一晚感受清晨无人的古镇??宠物友好！看到好多带修勾来玩的??粮仓拍照建议上午去，光线最好??古茗建议提前手机点单，避开高峰排队"左手古茗右手烧饼，这才是逛古镇的正确姿势"下次周末逃离上海，就来这个冷门宝藏地吧！????????????????????,1,,,,,,,,,,,,,
新市古镇，一个充满历史韵味的地方，每一步都是穿越时空的旅行。漫步在青石板路上，感受岁月留下的痕迹，每一块石板都仿佛在诉说着古镇的历史。,10,"历史韵味,穿越时空,青石板路,岁月痕迹,古镇历史",,,,,,,,,,,,
"湖州德清县新市镇上有觉海禅寺，要入寺域，需先过一河一桥。此寺于大明隆庆年间镇人胡经出资重建，天启元年“天王殿”失火，住持与镇人胡尔嘉等募众修缮，崇祯三年再修缮 “天王殿”。清同治寺毁，木构部分仅存“天王殿”。	天王殿坐北朝南，重檐歇山顶，副阶进深一椽，主体部分进深六椽分心用三柱；内部梁架气场仍存，梁底有浅浅挖底，梁头较为宽且平直的下刀剜出剥腮样式与宁绍众多圆作明构类似，用睒电窗（图10、16），但明末木构，明显感觉已财力不足，加工多有不够严整之处；四天王为90年代重塑；此外所有檐柱均用石柱，每根石柱都有功德主题刻，远至福建漳州府海澄县。	胡姓大概是本镇大户，镇上另有胡尔慥故居，传仍存一明代三开间小楼，外观实在看不出什么，内部据说圆作。	    @生活薯 @薯队长 @城市情报官@有一说一薯@浙江文旅 @美丽浙江",7,,,,,,,,,,,,,
新市古镇的每块砖都刻着故事站在万安桥上看摇橹船穿梭拐进弄堂吃碗茶糕在时光裂缝里 抓住千年的温柔?         ,9,"古镇,砖,故事,万安桥,摇橹船,弄堂,茶糕,时光,温柔",,,,,,,,,,,,
"??风起紫藤帘，舟摇宋时烟???谁把云木裁作瀑，又把江南绣成诗??濮院的春??是廊桥一梦坠入《千里江山图》的褶皱白墙托起百年香樟??运河载着古寺与银杏的私语??走过雾森??潋滟处才知紫藤??不羡乌篷??春色偏宠寂寥～-??：嘉兴·濮院时尚古镇??：桐乡站，打车15分钟直达-??【8大封神打卡点】1??潄芳禅园：宋风雾森仙阁！站小桥拍水中倒影，汉服+油纸伞=《清平乐》剧照直出2??百丈长廊紫藤瀑：游客中心沿河走！4月顶流花海，低机位仰拍“被紫藤淹没”??3??福善寺：千年南宋银杏×春日樱花暴击！朱墙飞檐+落英，禅意感拉满4??北更楼：登顶俯瞰全景！白墙黛瓦+运河如带，一键get《只此青绿》视角??5??关王庙：水上关帝庙！拍夕阳剪影，红灯笼亮起时秒穿武侠片??6??濮商会馆：土豪必看！满墙金银钱币库房，了解古代“江浙财团”发家史??7??听雨屋：晴天看雨黑科技！白裙+透明伞，拍出“天青色等烟雨”破碎感???8??三花喵喵屋：撸猫党闭眼冲！按按钮唤醒“破窗猫猫”，尾巴挂巷子萌到心化??-??【暴走路线指南】游船码头??北更楼（全景开篇）??潄芳禅园（主C位！）??关王庙→濮商会馆??梅泾剧场（看非遗演出）??蜡烛街（夜景绝）??珍宝馆??翔云观??福善寺??寺湾街（夜游提灯）??福善塔（压轴灯光秀）-	                              ",9,"廊桥,千里江山图,白墙,香樟,运河,古寺,银杏,紫藤,乌篷,春色,寂寥,潄芳禅园,宋风雾森仙阁,汉服,油纸伞,清平乐,百丈长廊紫藤瀑,花海,福善寺,南宋银杏,樱花,朱墙飞檐,禅意,北更楼,白墙黛瓦,只此青绿,关王庙,水上关帝庙,夕阳剪影,红灯笼,武侠片,濮商会馆,江浙财团,听雨屋,天青色等烟雨,三花喵喵屋,撸猫,破窗猫猫,尾巴挂巷子,游船码头,梅泾剧场,非遗演出,蜡烛街,夜景,珍宝馆,翔云观,福善塔,灯光秀",,,,,,,,,,,,
上海建桥学院新闻传播学院时尚传播系国风演出团队的大学生们跟随着@NYLON尼龙  踏入江南水乡的美丽画卷 走进非遗文化的不息传承历程中[郁金香R]这是一场意义非凡的国风体验之旅 我们身着汉服 用歌曲和舞蹈展现国风的魅力[烟花R]感谢@NYLON尼龙 给我们机会和平台将国风与传统文化以新鲜的形式传递给更多人,10,"江南水乡,非遗文化,汉服,歌曲,舞蹈,国风,传统文化",,,,,,,,,,,,
"?本地人比游客多?烟火气十足?有灵气??早上坐在邻水的一家老面馆嗦面?一抬头就是小桥流水和对面的老房子?bgm是面馆里的工作人员们扯着嗓子在聊的我听不懂的八卦?挺好	（出差路过，匆匆一逛，没仔细研究，好像挺小的一个古镇，但给人的感觉很舒服）     ",1,,,,,,,,,,,,,
又到了浙江人疯狂打年糕的季节了冬天老北京吃铜锅、东北有自己的铁锅炖，在湖州，那就是糯叽叽啦-?新市茶糕（图1）??新市古镇从清朝就有的中式糕点也是湖州人自己的早茶外面是糯叽叽，里面是咸香油润的肉馅在河岸小茶馆中，点上一叠，烟火气十足-?定胜糕（图2、3）??徐忠良定胜糕安吉土著老店，但糕点也有很多创新除了传统的流心桂花糕，麦香血糯米糕、爆浆酸奶紫米糕、蛋黄肉松翡翠条头糕、海盐芝士脆脆团…………都超好吃不建议多买，吃新鲜的才好吃-?梅花糕（图4）??各种小镇老店表面是糯糯的糯米浆，里面塞入红豆沙馅，再铺上满满的料，光看就又被馋到不行????黑芝麻和红豆为主料的蕞多新晋网红芋泥和紫薯馅更绝-?子孙糕（图5）??南浔双林镇有着子子孙孙步步高（糕）升之意扶墙安.利东风饭店???70年代的装修风格，小店虽破却很干净店家坚守着，想吃正宗的就去他家一定要早点去哦-??宝藏甜品&糕点铺????麦记牛奶公司??徐忠良传统定胜糕??玲阿姨梅花糕（新市古镇）??红丰早饭一.条.街酱油粢米饭，油条夹猪油膏，肉糕，连城烧麦，辣油馄饨这条路上基本上都有！         ,9,"新市古镇,古镇原貌,中式糕点,早茶,河岸小茶馆,烟火气,定胜糕,创新,新鲜,梅花糕,芋泥,紫薯馅,子孙糕,寓意,东风饭店,70年代,装修风格,干净,坚守,正宗,宝藏甜品,糕点铺,麦记牛奶公司,玲阿姨梅花糕,红丰早饭一条街,酱油粢米饭,油条夹猪油膏,肉糕,连城烧麦,辣油馄饨",,,,,,,,,,,,
"趁着秋天，来一次江南古镇，体验人间烟火，感受宁静与美好。	??廿八都古镇廿八都古镇，位于浙江衢州江山市，处于浙闽赣三省交界，历史悠久，始建于唐末，因仙霞古道而兴，被誉为“枫溪锁钥”。	??慈城古镇?慈城古镇，位于浙江宁波江北区，被誉为“江南小长安”，素有“江南第一古县城”之美誉，其历史可追溯至秦朝，明清时期尤为繁荣，成为文人墨客聚集之地。	??新市古镇新市古镇，坐落于浙江湖州德清县，古镇始建于公元 308 年，距今已有1700多年，古称“仙潭”。这里自古以来便是浙北地区大运河侧的重要商埠，居民傍河而居，依桥而市。	??木渎古镇木渎古镇位于江苏苏州吴中区，别名渎川、胥江，雅称香溪，素有“吴中第一镇”、“秀绝冠江南”之誉，也是乾隆六下江南最爱来的地方。这座古镇已有2500多年历史，与苏州城同龄，是汉族水乡文化的重要代表。	??锦溪古镇锦溪古镇，位于江苏昆山市西南，是一座拥有两千多年历史的江南水乡古镇，素有“中国民间博物馆之乡”的美誉。	江浙沪古镇名单??江苏?苏州：周庄古镇、同里古镇、锦溪古镇、虎丘、木渎古镇、千灯古镇、浏河古镇、沙溪古镇、甪直古镇……?无锡：惠山古镇、梅里古镇……?南通：唐闸古镇、余东古镇?淮安：千年河下古镇?常州：焦溪古镇??浙江?嘉兴：西塘古镇、乌镇、濮院古镇?湖州：南浔古镇?杭州：塘栖古镇 、龙门古镇?建德：梅城/严州古镇、新叶古村?绍兴：安昌古镇 、鲁迅故里、书圣故里、柯桥古镇……?台州：临海台州府城、江南长城、紫阳街?丽水：古堰画乡、松阳老城?衢州：廿八都古镇?宁波：鸣鹤古镇、前童古镇、宁海西门城楼??上海?朱家角古镇、枫泾古镇、金泽古镇、南翔古镇、新场古镇、庄行古镇、青溪古镇、七宝古镇、川沙古镇……?? ?? ?? ?? ??",8,"秋天,江南古镇,人间烟火,宁静,美好,新市古镇,傍河而居,依桥而市,古镇原貌,历史沉淀,水乡文化",,,,,,,,,,,,
