评论,打分,积极评价要素词汇_1,积极评价要素词汇_2,积极评价要素词汇_3,积极评价要素词汇_4,积极评价要素词汇_5,积极评价要素词汇_6,积极评价要素词汇_7,积极评价要素词汇_8,积极评价要素词汇_9,积极评价要素词汇_10,积极评价要素词汇_11,积极评价要素词汇_12,积极评价要素词汇_13,积极评价要素词汇_14,积极评价要素词汇_15,积极评价要素词汇_16,积极评价要素词汇_17,积极评价要素词汇_18,积极评价要素词汇_19,积极评价要素词汇_20,积极评价要素词汇_21,积极评价要素词汇_22,积极评价要素词汇_23
路过吉祥里进去吃了个晚饭没什么新店感觉还有很多关门了碰巧赶上周年庆也没什么人气说实话定位有点尴尬除了吃饭喝茶人气也一般总觉得缺乏停留的理由,3,"吉祥里,晚饭,新店,关门,周年庆,人气,定位,吃饭,喝茶",,,,,,,,,,,,,,,,,,,,,,
绿城的吉祥里真的人少[笑哭R]这个时候来杭州还是长裤长裙吧蚊或虫真的多[笑哭R][笑哭R][笑哭R]虽然不冷不热但是短裤真的不敢穿出去[睡觉R][睡觉R][睡觉R]小河直街可以遛遛水上巴士可以去武林码头坐到拱宸桥体验一下明天游西湖[睡觉R][睡觉R][睡觉R],1,"小河直街,水上巴士,武林码头,拱宸桥,游西湖",,,,,,,,,,,,,,,,,,,,,,
人少好逛还有巡游快来,8,人少,好逛,巡游,,,,,,,,,,,,,,,,,,,,
最近的杭州为何满城飘香你闻到了吗 供稿杭州综合频道?,8,"新市古镇,白墙黑瓦,水泥装饰,新潮业态,烟火气,文化底蕴,独特魅力,热闹非凡,传统文化,现代元素",,,,,,,,,,,,,,,,,,,,,,
吉祥里还是很适合散步的古色古香的商场却有让人安静的力量晚风轻轻吹过脸颊的时候就会暂时忘记生活的烦恼耶河那边的亭子里有一位奶奶咿呀咿呀唱歌一位爷爷在和声真希望时间暂停能不能放假久点啊,9,"吉祥里,古色古香,商场,安静,晚风,烦恼,河,亭子,奶奶,唱歌,爷爷,和声,时间暂停,放假",,,,,,,,,,,,,,,,,,,,,,
吉祥里周末的活动可谓丰富多彩看完了潮汕英歌舞在几何书店的二楼三位古装美女小姐姐天台音乐会正上演着唱的都是耳熟能详的邓丽君的歌曲听着音乐摇曳身姿甚是惬意,9,"丰富多彩,潮汕英歌舞,几何书店,古装美女小姐姐,天台音乐会,邓丽君,歌曲,音乐,摇曳身姿,惬意",,,,,,,,,,,,,,,,,,,,,,
2025年春节申遗中国传统文化又掀起了一波纹样新浪潮这次和杭州宋韵文化地标南宋德寿宫遗址博物馆深度合作了一次新春艺术展陈项目/以屏风开局聚焦纹样之美B.B.S@BBS创意工作室 企划了喜纹乐见 . 屏行世界东方美学系列艺术展首展这也是我们团队推出的文旅IP艺术年全新企划项目/我认为喜纹乐见 . 屏行世界是对传统文化的一个致敬更是一种东方智慧与现代审美的激情碰撞对于选择屏风+纹样作为此次展览美陈部分的创作背景完全取决于团队本身对传统文化再创新的高度认同感/希望今年可以创作更多以新中式纹样为题的作品在已巳年里传递喜巳连连的美好生活[耶R],9,"屏风,纹样,传统文化,东方美学,现代审美,新中式",,,,,,,,,,,,,,,,,,,,,,
"打卡杭州地标绿城吉祥里古色古香环境优美围绕宋韵生活艺术潮流户外自然等主题持续开展国风运动会花神集会游园市集等活动并在近日获评20232024年拱墅区文化创意街区成为文旅消费的新兴聚集地吉祥里是国内为数不多的由古建筑保护旧街区改造和新商业开发组成的一个复合体凝结着杭州的城市情结在规划设计时充分吸纳水""元素在河两岸铺出两条开放式的滨水商业街区适合闲暇时逛吃逛吃拍照打卡??",9,"古色古香,环境优美,宋韵,生活艺术,潮流,户外自然,国风运动会,花神集会,游园市集,文化创意街区,文旅消费,新兴聚集地,古建筑保护,旧街区改造,新商业开发,复合体,城市情结,水元素,滨水商业街区,逛吃逛吃,拍照打卡",,,,,,,,,,,,,,,,,,,,,,
春天到啦祥符桥吉祥里花神活动22号正式开启,8,"春天,祥符桥,吉祥里,花神活动",,,,,,,,,,,,,,,,,,,,,,
来这里吃舟山海鲜面竟然碰到了绿城吉祥里的十二花神巡游运气针不戳啊,9,"舟山海鲜面,绿城吉祥里,十二花神巡游,运气针不戳",,,,,,,,,,,,,,,,,,,,,,
元宵节杭州吉祥里祥符老街爆燃英歌舞下上期说了有所谓不武不英歌潮汕英歌又被誉为中华战舞确实英歌是一种糅合南派武术?地方戏剧等多种元素为一体的民间舞蹈英歌舞流传至今已有300多年的历史它取材与歌颂于中国民间广为流传的梁山好汉的英雄故事英歌即英雄之歌简称英歌舞通过刚劲有力的舞步和锣鼓的节奏展现英雄豪迈之气传递正义与勇气舞的畅快爽朗舞的荡气回肠舞的慷慨激昂本组图片中均是20岁左右的英歌舞者更是荷尔蒙爆棚敲锣打鼓与击棍起舞有使不完的劲你若在现场一定会被英歌舞所感染吉祥里主办者在宣传招贴画中称潮汕英歌热血贺岁最强元宵气氛组一点没说错英歌将元宵气氛直接燃爆本组图片于2025年2月14日元宵节晚拍摄于杭州吉祥里的英歌舞,9,"英歌舞, 南派武术, 地方戏剧, 梁山好汉, 英雄故事, 刚劲有力, 锣鼓, 节奏, 英雄豪迈, 正义, 勇气, 荷尔蒙, 敲锣打鼓, 击棍起舞, 热血贺岁, 元宵气氛组",,,,,,,,,,,,,,,,,,,,,,
杭州市上城区湖滨 in77 西子连廊浙江省文化馆携手众多艺术单位打造 文艺赋美 盲盒音乐会看过现场真的有惊喜,77,"湖滨,in77,西子连廊,浙江省文化馆,文艺赋美,盲盒音乐会",,,,,,,,,,,,,,,,,,,,,,
元宵节杭州吉祥里祥符老街爆燃英歌舞下上期说了有所谓不武不英歌潮汕英歌又被誉为中华战舞确实英歌是一种糅合南派武术?地方戏剧等多种元素为一体的民间舞蹈英歌舞流传至今已有300多年的历史它取材与歌颂于中国民间广为流传的梁山好汉的英雄故事英歌即英雄之歌简称英歌舞通过刚劲有力的舞步和锣鼓的节奏展现英雄豪迈之气传递正义与勇气舞的畅快爽朗舞的荡气回肠舞的慷慨激昂本组图片中均是20岁左右的英歌舞者更是荷尔蒙爆棚敲锣打鼓与击棍起舞有使不完的劲你若在现场一定会被英歌舞所感染吉祥里主办者在宣传招贴画中称潮汕英歌热血贺岁最强元宵气氛组一点没说错英歌将元宵气氛直接燃爆本组图片于2025年2月14日元宵节晚拍摄于杭州吉祥里的英歌舞,9,"元宵节,杭州,吉祥里,祥符老街,英歌舞,南派武术,地方戏剧,民间舞蹈,梁山好汉,英雄故事,英雄豪迈,正义,勇气,舞步,锣鼓,节奏,荷尔蒙,热血贺岁,最强元宵气氛组",,,,,,,,,,,,,,,,,,,,,,
??杭州其实很少有这种非遗的项目所以当知道有这种鱼灯表演的时候便期待上了??活动是在绿城吉祥里我们到的时候就四点多了有不少的圣诞的装饰还有些积印章的活动可惜太火爆了连续两次都没有领到卡片??各个地方都装饰了灯笼之类的东西晚上灯一亮非常有味道五点的时候还有古筝表演喷射了不少的泡沫非常像雪花??鱼灯活动五点半开始真人山人海太多人了前面举牌子的大娘像是赶场子一样跑的贼快和后面部队都脱节了??大鱼灯就两个不过后面跟了一群小鱼挺好玩的总体来说主办方搞的不错各种氛围挺赞的值得一看??地址拱墅区祥符街道祥符路与大吉路交叉口向北30米??交通比较便利2号线三墩站下车??附近拱墅运河体育公园浙大艺术与考古博物馆,8,"非遗,鱼灯表演,绿城吉祥里,圣诞装饰,积印章活动,灯笼,古筝表演,泡沫,雪花,鱼灯活动,大鱼灯,小鱼,主办方,氛围",,,,,,,,,,,,,,,,,,,,,,
绿城吉祥里坐落于杭州祥符路与大吉路交叉口建筑融合传统江南院落与现代元素低密且空间规划合理有几何书店等文艺店老头油爆虾等美食店集文化与商业于一体独特又迷人在这古风庭院与现代设计融合的商区举办了祥符长桌宴让大家相聚于此先来说说菜品杭州卤鸭那浓郁醇厚的卤汁完全沁入鸭肉之中每一口都散发着独特的酱香鸭肉鲜嫩多汁糖醋里脊外酥里嫩酸甜可口的酱汁包裹着里脊肉一口咬下去先是酥脆的外皮在齿间发出声响接着是嫩滑的肉香在舌尖散开猪肉炖粉条粉条吸满了猪肉的香味猪肉肥而不腻入口即化小鲍鱼烧茄子鲍鱼的鲜美与茄子的软糯完美融合鲜香味美金汤酸菜鱼鱼肉鲜嫩爽滑金汤酸辣开胃让人欲罢不能生炒黄牛肉牛肉火候恰到好处嚼劲十足香气四溢等等菜品饮品有精酿啤酒咖啡气泡水等畅饮吉祥里繁华街区却有着闹中取静的惬意古色古香的屋檐与现代的商铺相得益彰在这里既能品尝到美食又能感受独特的地域文化如果你来这座城市一定不要错过吉祥里已入驻品牌老头油爆虾奈雪星巴克觅香火锅人类的明天等等一起city起来,10,"绿城吉祥里,杭州祥符路,大吉路,传统江南院落,现代元素,低密,空间规划合理,几何书店,文艺店,老头油爆虾,美食店,文化,商业,古风庭院,现代设计,祥符长桌宴,杭州卤鸭,卤汁,鸭肉,酱香,糖醋里脊,外酥里嫩,酸甜可口,猪肉炖粉条,鲍鱼烧茄子,金汤酸菜鱼,精酿啤酒,咖啡,气泡水,繁华街区,闹中取静,古色古香屋檐,现代商铺,地域文化,老头油爆虾,奈雪,星巴克,觅香火锅,人类的明天",,,,,,,,,,,,,,,,,,,,,,
元宵节杭州吉祥里祥符老街爆燃英歌舞上杭州现在春节与元宵节与以往相比活动多太多了以前过年通常举办个灯会猜灯迷最多来个舞狮舞龙已经是很喜庆的事了现在除了保留这些传统年俗活动之外这新增添了非遗打铁花风火轮火壶盒子灯舞渔灯变脸傩戏表演与英歌舞等杭州市区这过大年的几乎集全了中国民间年俗的所有传统活动以前说城里过春节没有年味现在年味足的很有些甚至比农村年味还浓热闹的很本组图片于2025年2月14日元宵节晚拍摄于杭州吉祥里的英歌舞非常劲爆有所谓不武不英歌潮汕英歌又被誉为中华战舞如果你亲临现场英歌舞绝对会让你血脉贲张热血沸腾密锣紧鼓与舞者击棍声和吆喝声仿佛回到了韩信点兵的古战场也许是我孤陋寡闻除了陕北大鼓很少有像英歌舞的锣鼓声给人以热血震撼的压迫感那是一种视生死置之度外勇士赴汤滔火奋勇向前的浴血奋战气势何为热血英歌是也为了烘托英歌舞的气氛图片后期作了电影色调的处理杭州吉祥里,9,"元宵节,杭州,吉祥里,祥符老街,英歌舞,春节,活动,灯会,猜灯迷,舞狮,舞龙,传统年俗,非遗打铁花,风火轮,火壶,盒子灯,舞渔灯,变脸,傩戏,表演,过大年,民间年俗,传统活动,年味,热闹,潮汕英歌,中华战舞,密锣紧鼓,击棍声,吆喝声,韩信点兵,古战场,热血震撼,压迫感,勇士,赴汤滔火,浴血奋战,电影色调",,,,,,,,,,,,,,,,,,,,,,
城北老街改造而成的新片区吉祥里羡野美术馆坐落于这个街区趁着近期有新展开幕去逛了下去年住明月松间的时候有认识羡野这个品牌整个美术馆分三层结合了艺术商店展览空间和公共活动区用色和材料大胆前卫螺旋式的金属感楼梯如同任意门原来地下还藏着一个更大的展览空间布拉格红的小房间像是欧洲的小剧场后台光影效果唯美动人忍不住和闺蜜互拍了起来简直戏精上身????? 空间设计利落建造 lialawlab 丽娅?? @教主tips 羡野美术馆??? 展览mundane /小线 张剡锋??展期2024.5.18 (六) - 7.18 (四)?? 时间14:00 - 19:00丨周一闭馆?? 地址杭州市拱墅区祥符南街268号5幢103室,9,"吉祥里,羡野美术馆,艺术商店,展览空间,公共活动区,用色,材料,金属感楼梯,展览空间,布拉格红,小房间,光影效果",,,,,,,,,,,,,,,,,,,,,,
吉祥里不是工作日 就略显清冷当然还是有点雨太热闹 会不能独享一树花这里的花是个人赛当然也有小团队最漂亮的是中心位置诗与远方造型后面两个小巧的月季长廊基本上成人是不能走进去的恰好可以转圈圈可惜几何书店那里还没有月季花攻略公交坐到祥符桥站走到五里塘河边时间早可以看古祥符桥作为全国重点文保包含在大运河遗址里她比拱宸桥还古老,6,"清冷,雨,热闹,独享,花,中心位置,诗与远方,造型,月季长廊,几何书店,祥符桥,五里塘河,古祥符桥,拱宸桥",,,,,,,,,,,,,,,,,,,,,,
2025年4月4日夜杭州市拱墅区祥符桥街区268号绿城吉祥里花开吉祥祥符花朝节之十二花神巡游盛典,2025,"祥符桥街区,绿城吉祥里,花开吉祥,祥符花朝节,十二花神巡游盛典",,,,,,,,,,,,,,,,,,,,,,
一日游路线从湖滨三公园出发沿湖岸步行至柳浪闻莺欣赏湖边柳色与黄莺啼鸣接着前往雷峰塔参观这座标志性建筑并俯瞰西湖景色再乘坐游船前往三潭印月打卡一元人民币背面图案取景地下船后到花港观鱼观赏红鱼在水中畅游然后漫步苏堤感受湖光山色之后前往曲院风荷夏季可赏荷花盛开再到孤山公园参观西泠印社等古迹最后经白堤返回路过断桥残雪- 两日游路线第一天游玩湖滨三公园柳浪闻莺雷峰塔净慈寺南屏晚钟花港观鱼苏堤等景点第二天从断桥残雪出发走过白堤到孤山公园游览平湖秋月西泠印社等接着前往曲院风荷再去岳王庙最后可到杨公堤茅家埠等地欣赏西湖别样风光交通指南- 外部交通外地游客可选择乘坐飞机抵达萧山国际机场再通过机场大巴地铁等方式前往西湖或乘坐火车到杭州站杭州东站杭州站距离西湖较近出站后可步行或乘坐公交前往- 内部交通西湖周边有完善的公交网络可到达大部分景点还可选择地铁龙翔桥站凤起路站等离西湖较近此外景区内有电瓶车招手即停方便快捷住宿推荐- 奢华型杭州西子湖四季酒店隐匿于西湖深处环境优美杭州法云安缦是禅意茶园古村风格充满特色罗莱夏朵杭州紫萱度假村隐迹于林水之间还拥有米其林餐厅- 亲子型绿城杭州玫瑰园度假酒店有孔雀和黑天鹅适合带孩子游览杭州千禧度假酒店亲子设施齐全恒温泳池很赞- 美景型浙江西子宾馆汪庄西湖名园近靠湖边景色宜人杭州西湖国宾馆西湖第一名园窗外湖光山色美不胜收美食推荐- 杭帮菜餐厅杭州酒家的东坡肉知味观味庄的蟹酿橙楼外楼的西湖醋鱼都是经典杭帮菜值得一试- 特色小吃店方老大面的茄汁拌川奎元馆的虾爆鳝面深受当地人及游客喜爱,8,"湖滨三公园,柳浪闻莺,雷峰塔,西湖,三潭印月,花港观鱼,苏堤,曲院风荷,孤山公园,西泠印社,断桥残雪,萧山国际机场,杭州站,杭州东站,杭州西子湖四季酒店,杭州法云安缦,罗莱夏朵杭州紫萱度假村,绿城杭州玫瑰园度假酒店,杭州千禧度假酒店,浙江西子宾馆,杭州西湖国宾馆,杭州酒家,知味观味庄,楼外楼,方老大面,奎元馆",,,,,,,,,,,,,,,,,,,,,,
杭州打卡拍照????运河天地??绿城吉祥里??杭州之门,7,"杭州,打卡,拍照,运河天地,绿城吉祥里,杭州之门",,,,,,,,,,,,,,,,,,,,,,
春水碧于天画船听雨眠专为花朝节打造的花船快闪持续到4月6号赶紧穿上汉服来拍大片4月4日-4月6日还有花神巡游花朝集章芳菲市集现场超级好逛tip:穿汉服加入花神巡游还有伴手礼哦欢迎各位同袍来吉祥里过春天,9,"春水,画船,花船快闪,汉服,花神巡游,花朝集章,芳菲市集,伴手礼,同袍,吉祥里",,,,,,,,,,,,,,,,,,,,,,
经过将近一年的开业时间吉祥里商业街越来越社区化很多人来遛娃也有人来看看书喝杯咖啡交流我们新增了手工制作和花艺也是为了更好的去体验遇上夏季我们还出品了鲜花x咖啡组合围炉缤纷水果茶,8,"社区化, 遛娃, 看书, 喝咖啡, 交流, 手工制作, 花艺, 体验, 鲜花, 咖啡, 围炉, 缤纷水果茶",,,,,,,,,,,,,,,,,,,,,,
城西古荡地铁口的绿植吉祥物继一年的绿兔子开花的兔子??后换新成了跳舞的小熊猫??囧囧憨憨的样子太可爱了,9,"绿植,吉祥物,跳舞,小熊猫,囧囧,憨憨,可爱",,,,,,,,,,,,,,,,,,,,,,
元宵节杭州吉祥里祥符老街爆燃英歌舞下上期说了有所谓不武不英歌潮汕英歌又被誉为中华战舞确实英歌是一种糅合南派武术?地方戏剧等多种元素为一体的民间舞蹈英歌舞流传至今已有300多年的历史它取材与歌颂于中国民间广为流传的梁山好汉的英雄故事英歌即英雄之歌简称英歌舞通过刚劲有力的舞步和锣鼓的节奏展现英雄豪迈之气传递正义与勇气舞的畅快爽朗舞的荡气回肠舞的慷慨激昂本组图片中均是20岁左右的英歌舞者更是荷尔蒙爆棚敲锣打鼓与击棍起舞有使不完的劲你若在现场一定会被英歌舞所感染吉祥里主办者在宣传招贴画中称潮汕英歌热血贺岁最强元宵气氛组一点没说错英歌将元宵气氛直接燃爆本组图片于2025年2月14日元宵节晚拍摄于杭州吉祥里的英歌舞,9,"英歌舞, 英雄之歌, 英雄豪迈之气, 正义, 勇气, 荷尔蒙, 燃爆, 元宵气氛",,,,,,,,,,,,,,,,,,,,,,
昨晚又在鸟檐喝到12点我们几个人每月会在这里聚一次吃闫师傅准备的各种好看的鱼和苏师傅在那扇玻璃后面烤的烧鸟漫长的聊天碰杯子一次次把那个很重的板前椅子拉出来推回去断片儿大声笑也哭刚刚我打开相册发现从一年前开始每隔一段时间就会有在鸟檐的照片然后就会想到哦那天发生了那件事她分享了那个重要的人生时刻她唱了那首歌她为那个人哭就是会想到我第一次去就知道还会有无数次你不得不相信磁场纠缠化学反应这种事我一直都和别人说鸟檐的食物是杭州天花板其实虽然已经去过那么多号称是天花板的餐厅但没有一个地方给过我如此幸福的体验这个幸福包括好吃但不只是好吃我们来这儿不只是吃东西我们来这儿是为了分享我昨天是这么和朋友们说的我好喜欢鸟檐呀因为我觉得他们好尊重小朋友我的女儿是这么和我说的鸟檐的外面有一个露台两棵好看的树一条河一座桥树上挂着一些风铃有一个晚上喝了很多酒之后不知道过了多长时间风铃响起来忽然春雷滚滚很细的雨斜着飞过来我看了一眼手机3:49有一条毯子有一座闪光的银色屋檐有朋友在身边后来没有日出但是天也亮了所以我不知道我能不能把这家餐厅分享给其他人但我祝愿你在你的城市也能遇到这样的餐厅为了鸟檐能长命百岁现在我要把小红书给我提示的所有tag都给他放上,10,"鸟檐,闫师傅,苏师傅,鱼,烧鸟,聊天,板前椅子,相册,照片,磁场,纠缠,化学反应,食物,杭州天花板,餐厅,幸福,分享,小朋友,女儿,露台,树,河,桥,风铃,春雷,雨,毯子,银色屋檐,朋友,日出,小红书,tag",,,,,,,,,,,,,,,,,,,,,,
元宵节杭州吉祥里祥符老街爆燃英歌舞上杭州现在春节与元宵节与以往相比活动多太多了以前过年通常举办个灯会猜灯迷最多来个舞狮舞龙已经是很喜庆的事了现在除了保留这些传统年俗活动之外这新增添了非遗打铁花风火轮火壶盒子灯舞渔灯变脸傩戏表演与英歌舞等杭州市区这过大年的几乎集全了中国民间年俗的所有传统活动以前说城里过春节没有年味现在年味足的很有些甚至比农村年味还浓热闹的很本组图片于2025年2月14日元宵节晚拍摄于杭州吉祥里的英歌舞非常劲爆有所谓不武不英歌潮汕英歌又被誉为中华战舞如果你亲临现场英歌舞绝对会让你血脉贲张热血沸腾密锣紧鼓与舞者击棍声和吆喝声仿佛回到了韩信点兵的古战场也许是我孤陋寡闻除了陕北大鼓很少有像英歌舞的锣鼓声给人以热血震撼的压迫感那是一种视生死置之度外勇士赴汤滔火奋勇向前的浴血奋战气势何为热血英歌是也,9,"元宵节,杭州,吉祥里,祥符老街,英歌舞,春节,活动,传统年俗,灯会,猜灯迷,舞狮,舞龙,非遗,打铁花,风火轮,火壶,盒子灯,舞渔灯,变脸,傩戏表演,过大年,民间年俗,传统活动,年味,热闹,潮汕英歌,中华战舞,血脉贲张,热血沸腾,密锣紧鼓,击棍声,吆喝声,韩信点兵,古战场,视生死置之度外,勇士,赴汤滔火,奋勇向前,浴血奋战,气势,热血英歌",,,,,,,,,,,,,,,,,,,,,,
好久没逛书店了发一个前段时间去逛的书店几何书店在吉祥里街区不大五脏俱全餐饮小店闲坐遛娃都可以实现最意想不到的可能就是这家几何书店了吧在吉祥里的里面有露台的两层小楼乍一看栅栏上好像有字仔细一看是几何书店文艺的味儿有了请原谅散光人士裸眼有时候真的一眼没看到[害羞R]一楼喝咖啡??几张椅子有阳光时随意坐坐晒晒太阳好不惬意走上旋转楼梯便是二楼书店的空间说起这个旋转楼梯就像脱口秀里和女友旅行热衷住loft一样哪个爱拍照的女孩子不热爱楼梯并且还是旋转楼梯简直是要尖叫的节奏这旋转楼梯的扶手是凹凸不平的白色矮墙好像在一步步走进童话里精灵的家在这里穿古灵精怪的衣服肯定很出片二楼书店蛮宽敞的在最显眼的地方摆放着最近热门的书刊往里面走做成拱形的走廊一面墙上装了两排橙黄色透明亚克力隔板摆放着书籍和小物件另一面贴满橙黄色长条瓷砖的半墙上放得一排整齐的外文书至于卖不卖就不知道了或许有些是珍藏的呢再往里面走是书架的地方了经济哲学儿童少年文学艺术和文创还有两张小圆桌走到里面回头一看发现刚走过的那个拱形走廊旁边还有一个拱形走廊这或许就是读者会莫名喜欢上某个地点的原因吧继续转回到旋转楼梯的上来的地方一排书架上摆满了考公的资料也对诗与远方也要先吃饱肚子存在即合理这些书也没什么二楼书店可以去露台露台很长摆了许多桌椅能想象得出天气好的时候和朋友家人在这里喝喝咖啡聊聊天看看旁边追逐的孩子生活的美好就这么脑补出来了即便是自己一个人随手拿一本书看看保不齐就遇到了喜欢的阴天晴天也无所谓了其实几何书店最大的惊喜是在二楼有一间很宽敞的剧场里面有小朋友的桌椅可想这里一直有孩子们的欢乐看到有投影或许这里也有大人的笑声在这样的书店里还有专门的空间去容纳人们对共同喜爱的渴望实属难得趁着初冬阳光??还暖不如去这里重构我们的精神角落,9,"几何书店,吉祥里街区,露台,两层小楼,栅栏,旋转楼梯,白色矮墙,童话,精灵,古灵精怪,橙黄色透明亚克力隔板,书籍,小物件,橙黄色长条瓷砖,半墙,外文书,拱形走廊,书架,经济哲学,儿童少年文学,艺术,文创,小圆桌,考公资料,诗与远方,吃饱肚子,存在即合理,剧场,小朋友桌椅,投影,大人的笑声,初冬阳光",,,,,,,,,,,,,,,,,,,,,,
祥睦桥地铁5/10号线和睦站A出口出站后沿萍水东街向东北方向步行至运河吉如睦祥公寓祥睦桥沿东北方向转入严家桥街位于吉如家园南门旁华祥桥地铁3号线华丰路站出站于西南侧换乘125路或99路公交车在华祥桥站下车沿华中南路往北步行至留石高架路下方长睦家苑地铁3号线丁桥站D出口花园BOX花园岗街花园岗大厦花园岗地铁站地铁10号线花园岗站,6,祥睦桥,地铁,和睦站,萍水东街,运河,吉如睦祥公寓,严家桥街,吉如家园,华祥桥,地铁3号线,华丰路站,125路,99路公交车,华祥桥站,华中南路,留石高架路,长睦家苑,丁桥站,花园BOX,花园岗街,花园岗大厦,花园岗地铁站,地铁10号线
清明假期活动合集来了??快带上你那些平时班味很重的朋友一起来这里玩吧????1??大娃怪市??时间4月4日-4月6日 13:00-22:00??地址杭州湖滨银泰in77E区5F??地铁1号线龙翔桥C口步行300m??19.9起大娃怪市终于又来杭州了让我们在各种奇趣怪异的商品里各种复古风潮流范的穿搭里一起享受这个充满惊喜的奇幻世界??-2??杀青角色only展??时间4月4日??地址杭州市杭州大厦中央商场B2南面策展区??地铁一号线/三号线武林广场D口仅限cos杀青角色或杀青角色亲友入场??微剧本杀集章互动游戏随机舞蹈coser表演等你来玩-3??凤凰里咖啡生活节市集??时间4月4日-4月13日??地址杭州市上城区凤凰里手作达人/独立品牌/文创艺术/轻食咖啡/非遗传承/趣味互动超多有趣的摊位等你来逛??-4??野雀咖啡面包节??时间4月3日-4月7日12:00-20:00??地址杭州玉鸟集????杭州咖啡面包脑袋速来玉鸟集集合??咖啡香浓面包真的太诱人-5??祥符花朝节春日盛宴??时间4月4日-4月6日??地址吉祥里????花神巡游花神走秀百花齐放真的太美了呜呜??还有各种文化活动精彩纷呈让你在赏花的同时也能感受到浓厚的文化氛围-6??太子湾郁金香花展??时间即日起-4月13日??地址太子湾公园????郁金香??真的太美了随便一拍就是出片错过了又要等一年??-7?? 绿野小森林??时间4月4日-6日清明假期4月12日-13日周六周日??杭州长乐林场?? 快来一场治愈系的森林奇遇吧????森林集市??蘑菇屋森林画廊手工工作坊等你来玩??-?,9,"清明假期,大娃怪市,奇趣怪异的商品,复古风潮流范的穿搭,杀青角色only展,微剧本杀,集章互动游戏,随机舞蹈,coser表演,凤凰里咖啡生活节市集,手作达人,独立品牌,文创艺术,轻食咖啡,非遗传承,趣味互动,野雀咖啡面包节,祥符花朝节春日盛宴,花神巡游,花神走秀,太子湾郁金香花展,郁金香,绿野小森林,森林集市,蘑菇屋,森林画廊,手工工作坊",,,,,,,,,,,,,,,,,,,,,,
今晚的吉祥里[派对R]@杭州吉祥里杭州人民热情似火?????好多游客大老远赶来观鱼灯,9,"吉祥里,杭州,热情,游客,鱼灯",,,,,,,,,,,,,,,,,,,,,,
元宵节杭州吉祥里祥符老街爆燃英歌舞上杭州现在春节与元宵节与以往相比活动多太多了以前过年通常举办个灯会猜灯迷最多来个舞狮舞龙已经是很喜庆的事了现在除了保留这些传统年俗活动之外这新增添了非遗打铁花风火轮火壶盒子灯舞渔灯变脸傩戏表演与英歌舞等杭州市区这过大年的几乎集全了中国民间年俗的所有传统活动以前说城里过春节没有年味现在年味足的很有些甚至比农村年味还浓热闹的很本组图片于2025年2月14日元宵节晚拍摄于杭州吉祥里的英歌舞非常劲爆有所谓不武不英歌潮汕英歌又被誉为中华战舞如果你亲临现场英歌舞绝对会让你血脉贲张热血沸腾密锣紧鼓与舞者击棍声和吆喝声仿佛回到了韩信点兵的古战场也许是我孤陋寡闻除了陕北大鼓很少有像英歌舞的锣鼓声给人以热血震撼的压迫感那是一种视生死置之度外勇士赴汤滔火奋勇向前的浴血奋战气势何为热血英歌是也,9,"元宵节,杭州,吉祥里,祥符老街,英歌舞,春节,传统年俗,灯会,猜灯迷,舞狮,舞龙,非遗,打铁花,风火轮,火壶,盒子灯,舞渔灯,变脸,傩戏,英歌,潮汕英歌,中华战舞,密锣紧鼓,击棍声,吆喝声,韩信点兵,热血",,,,,,,,,,,,,,,,,,,,,,
