评论,打分,积极评价要素词汇_1,积极评价要素词汇_2,积极评价要素词汇_3,积极评价要素词汇_4,积极评价要素词汇_5,积极评价要素词汇_6,积极评价要素词汇_7,积极评价要素词汇_8,积极评价要素词汇_9,积极评价要素词汇_10,积极评价要素词汇_11,积极评价要素词汇_12
上海好多古镇我要每个周末玩一个南翔古镇攻略已出-游玩路线游客中心-课植园-和心园-放生桥-北大街-廊桥-漕河街-西湖街-大清邮局-西湖街-西湖大桥-漕平路-漕平路桥-珠湖路-游客中心-景点联票80鹤龙美术馆比较无聊圆津禅院和城隍庙如果没有上香需求的话也不用进去课植园和心园逛一下就够了可以分开买20-美食攻略1银杏树阿婆粽图2上过cctv的老字号人多的时候要排队肉粽超级大肉包的也很多好吃-2角裡朱阿婆小吃馆图3谁说烧麦里只能包糯米试试这里的鲜肉笋丁烧麦和吃小笼包差不多还有豆花馄饨一般-3吴字坊臭豆腐图4又臭又香的感觉谁懂外脆里嫩辣酱和甜酱的都好吃还有油墩子盐焗鹌鹑蛋也不错-4一芽一叶图5新中式茶馆装修好看可以围炉煮茶还有罐罐烤奶逛累了正好坐下来休息一会-@走走薯 @本地薯 @土拨薯 ,1,,,,,,,,,,,,
避坑朱家角古镇本身是免费的但是除了和心园门票30元其他真的没啥好玩的各店铺卖的产品相似度很高,30,"朱家角古镇,免费,心园,门票,店铺,产品相似度",,,,,,,,,,,
作为上海保存最完整的水乡古镇朱家角以传统的江南风貌吸引着日益增加的来访者人文艺术馆位于古镇入口处东邻两棵470年树龄的古银杏这座1 800的小型艺术馆将定期展出与朱家角人文历史有关的绘画作品,7,"上海,保存,完整,水乡,古镇,朱家角,传统,江南风貌,人文艺术馆,古镇入口处,古银杏,小型艺术馆,人文历史,绘画作品",,,,,,,,,,,
上海朱家角古镇地铁17号线朱家角站20元/次进古镇免费入口扫码就行古镇里部分景点收费课植园和心园鹤龙美术馆图二游览地图图三收费景点可在乐游朱家角公众号上购买联票联票价60元图四手摇船码头和票价信息图五美食推荐路线推荐朱家角古镇游客中心课植园和心园过桥(阿婆茶楼)放生桥 鹤龙美术馆圆津禅院 城隍庙大清邮局景点介绍课植园:集结了江南园林之精华拥有中西合璧的庄园式私家花园和心园:面积比课植园要小些但园内的亭台楼阁精致典雅一步一景放生桥: 上海地区现存最大最长的五孔石拱桥被誉为沪上第一桥鹤龙美术馆: 展区面积总800平方米据说是沪上收藏海派大师作品最多的美术馆圆津禅院这里视野开阔可以看游船来来往往在对岸的茶馆点一盏茶很惬意城隍庙: 戏台大算盘和银杏树一定不要错过大清邮局: 清代邮局旧址有一些本子冰箱贴书签之类的小物件有敲章点美食推荐1.角裡朱阿婆小吃館(朱家角东井街127号)2.吴字坊臭豆腐(课植园路555号)3.银杏树阿婆粽( 北大街262号)4.一芽一叶(新风路258弄1号),1,,,,,,,,,,,,
八月份在朱家角拍的几张照片 ,5,,,,,,,,,,,,
再次逛朱家角古镇第一次逛棵植园很意外秋意满园据说马氏家族当时就买下了附近8000亩地是朱家角最大的庄园式私人花园院子里有戏台九曲桥等取名寓意课读之余不忘根植1912年建造当年就如此浩大不得不佩服,8,"朱家角古镇,棵植园,秋意满园,马氏家族,庄园式私人花园,戏台,九曲桥,课读,根植,1912年建造",,,,,,,,,,,
上海最喜欢的 5 家中式美学天花板茶馆 隐世茶亭中式美学组 冬隅茶亭浦东中邦商务园藏在园区深处的三层茶空间落地窗绿意环绕竹椅木桌禅意满满冷萃茶配绿豆酥一秒穿越京都庭院集雅GATHERING武康路137号中国风天花板古董家具+水墨画墙咖啡杯套印着古画故事茉莉拿铁配腐乳蛋糕国潮DNA动了一尺花园朱家角筒仓店朱家角课植园路老粮仓爆改的森系咖啡馆旋转楼梯+顶层江景露台桂花米酿咖啡配战斧牛排古镇与现代的碰撞绝了元古雲境五原路137号 / 马当路245号中式美学顶流从北京胡同火到魔都枯山水庭院+回廊曲径玻璃天窗引入流动光影禅意与摩登共生老洋房里藏着二十四节气的诗意宇宙廷泰茶空间苏虹路顶级东方艺术馆级茶馆 11间私密茶室藏千件古董茶器一茶一席配大师手作茶点商务宴请暗藏王炸,10,"古镇,现代,碰撞",,,,,,,,,,,
朱家角古镇 穿越千年的水乡梦境你绝对不能错过的旅游胜地Hey小仙女们 今天带你们走进一个充满文化底蕴和历史故事的宝藏古镇朱家角 这里不仅是上海的后花园更是江南水乡的缩影绝对是你旅游清单上的必打卡之地 千年古镇的韵味朱家角古镇位于上海市青浦区有着1700多年的历史是江南六大古镇之一 这里的每一块石板每一座桥梁都仿佛在诉说着古老的故事 漫步在古镇的街巷你会感受到浓浓的历史气息仿佛穿越回了那个繁华的明清时代桥与水的浪漫朱家角著名的就是它的桥了 这里有36座古桥每一座都有它独特的故事比如放生桥是古镇的标志性建筑传说在这里放生可以带来好运哦 还有泰安桥据说走过这座桥的人都会平安顺遂 这些桥不仅是交通要道更是古镇的灵魂所在 旅游攻略吃住行全搞定美食推荐朱家角的美食可是不能错过的 一定要尝尝当地的粽子酱鸭和青团味道绝对让你回味无穷住宿推荐古镇内有很多特色民宿推荐住在水边的客栈晚上听着水声入睡别有一番风味交通指南从上海市区出发乘坐地铁17号线到朱家角站再步行10分钟就能到达古镇非常方便 拍照打卡点美照拍不停放生桥这里是朱家角的标志性建筑拍出来的照片绝对能刷爆朋友圈北大街古色古香的街道两旁的店铺和灯笼随便一拍都是大片课植园这是一个典型的江南园林园内的假山池塘和亭台楼阁都是拍照的好背景 你最喜欢朱家角的哪个景点 快来评论区告诉我或者你有什么旅游推荐和旅游咨询都可以留言哦 让我们一起分享旅游的快乐吧关注我解锁更多旅行灵感,9,"朱家角古镇,水乡梦境,文化底蕴,历史故事,上海的后花园,江南水乡,旅游清单,千年古镇,石板,桥梁,历史气息,明清时代,古桥,放生桥,泰安桥,美食,粽子,酱鸭,青团,特色民宿,水边的客栈,地铁17号线,拍照打卡点,北大街,课植园,旅行灵感",,,,,,,,,,,
一路走过去好多韩国人俄罗斯人以及东南亚人刹那间有种在国外的感觉[大笑R] 看来这座有着1700余年历史的古镇还是很吸引外国游客古镇足够大全部逛下来得2-3小时沿河两边比较热闹小店种类丰富一些茶楼咖啡店则相应在幽静的区域正好也适合小坐因为真的蛮大的开车过去的朋友记得时刻对照着地图以停车场为终点去逛不然随便走完发现步行回去取车得再走2公里[叹气R]这里也是扫街古风人像好地方里头就有古装租赁可取景的地方也足够多可以找单独停靠岸边的船夫商量就也不用坐船绕了选茶楼也是不错的地方记得选带二楼的那种伴随着午后暖阳出片绝了[赞R]-建议停1号停车场围着大淀湖逛回来取车也方便,1,,,,,,,,,,,,
乌镇很美但是商业气息较重相比乌镇我更爱上海朱家角古镇景色不输乌镇却更有生活气息街角盆栽屋顶炊烟阳台晾晒的衣物街边美食...难怪上海本地人也常来逛地址上海青浦区课植园路555号交通地铁17号线朱家角站1号出口步行1.5公里或者5号出口乘1510路旅游专线或者地铁1号口出站乘船进入朱家角自驾导航至朱家角古镇1号口2号口两个入口都有停车场门票无需门票全天开放景区内部分小景点收费可买联票60r/人含课植园和心园鹤龙美术馆我的游玩路线朱家角古镇1号口课植园和心园放生桥泰安桥圆津禅院北大街廊桥朱家角城隍庙朱家角大清邮局一路拍照加逛逛吃吃随心的走走大致路线就是这样1课植园原马文卿的私家园林又称马家花园在这里可以欣赏江南园林景观2和心园同样是园林式建筑面积比课植园小点但景色不分伯仲3放生桥上海最长高大的五孔连拱大桥初一十五桥下会举行放生大会4泰安桥古镇内最陡的一座单拱桥5圆津禅院原供奉辰州圣母像俗称娘娘庙登钟楼可眺望朱家角古镇6北大街小镇内最繁华的一条街有各种艺术品商店美食店涵大隆酱园就这条街7廊桥江南水乡古镇的标志性建筑8朱家角城隍庙庙内供奉着城隍老爷和城隍夫人9朱家角大清邮局成立于1903年里面可以买手办盖章手摇船古镇内有多个乘船码头详细信息见图18朱家角古镇美食上海人的童年美食少不了朱家角的身影银杏树阿婆肉粽涵大隆酱园扎肉螺丝酒酿绿豆糕,1,,,,,,,,,,,,
-乌镇固然美丽然而商业气息较为浓厚相较之下我对上海的朱家角古镇更为喜爱这里景色丝毫不输乌镇却更具生活气息街角的盆栽屋顶的炊烟阳台晾晒的衣物街边的美食 怪不得上海本地人也常常前来游玩-地址上海青浦区课植园路 555 号-交通可搭乘地铁 17 号线在朱家角站的 1 号出口下车需步行 1.5 公里或者在 5 号出口乘坐 1510 路旅游专线又或者在地铁 1 号口出站后乘船进入朱家角-自驾导航至朱家角古镇的 1 号口2 号口这两个入口均设有停车场-门票无需门票全天开放景区内的部分小景点需收费可买联票 60 元 / 人包含课植园和心园鹤龙美术馆-我的游玩线路从朱家角古镇 1 号口出发课植园和心园放生桥泰安桥圆津禅院北大街廊桥朱家角城隍庙朱家角大清邮局一路上拍照加上随意逛逛吃吃大致就是按照这样随心地走走课植园原本是马文卿的私家园林亦称 马家花园在此能够欣赏到江南园林的景观和心园同样属于园林式建筑面积比课植园略小但景色可谓不相上下放生桥是上海 蕞 长蕞高蕞大的五孔连拱大桥每逢初一十五在桥下会举行放生大会泰安桥是古镇内蕞为陡峭的一座单拱桥圆津禅院原本供奉辰州圣母像俗称娘娘庙登上钟楼可以眺望朱家角古镇北大街小镇内蕞为繁华的一条街有各类艺术品商店美食店涵大隆酱园就在这条街上廊桥这是江南水乡古镇的标志性建筑朱家角城隍庙庙内供奉着城隍老爷和城隍夫人朱家角大清邮局创建于 1903 年里面可以买手办盖章-手摇船古镇内有多个乘船码头-朱家角古镇美食对于上海人来说童年美食中少不了朱家角的身影比如银杏树阿婆肉粽涵大隆酱园扎肉螺丝酒酿绿豆糕等等-,1,,,,,,,,,,,,
漫步古镇远离繁华,7,"漫步,古镇,远离,繁华",,,,,,,,,,,
免费的古镇不香吗还要什么自行车开放时间古镇全天[二R][四R]小时免费开放景点开放时间为8:30-16:30部分收费关注wx公众号提前查询古镇实时客流及车位信息欢乐出行交通出行地铁地铁17号线朱家角站1号出口1.5公里五号口出可乘坐1510路直达游客中心25分钟一班每次1元自驾自驾导航至朱家角古镇停车场注官方提供7个停车场wx公众号可查看实时车位剩余情况车位分布图详见上图根据游玩路线选择不同的车位哦游玩路线游客中心课植园和心园永安桥阿婆茶楼放生桥北大街江南第一茶楼泰安桥廊桥城隍庙大清邮局游客中心原路返回注路线规划详见上图游船项目收费标准1手摇船单程200300元/船限6人返回出发码头另+100元2游艇及快艇淀山湖02号 600元/航次 来回30分钟 限8人淀山湖03号 400元/航次 来回30分钟 限5人注详细信息辛苦看上图部分景点介绍课植园欣赏江南园林景观20/人去过园林的不建议和心园园林式建筑30/人去过园林的不建议放生桥朱家角古镇的标志性建筑上海最大最长的五孔石拱桥被誉为沪上第一桥历史感十足泰安桥古镇内最陡的一座单拱桥北大街小镇内最繁华的一条街各种艺术品商店美食店在这边涵大隆酱园就这条街廊桥古亭廊桥间江南水乡古镇的标志性建筑也是古镇唯一的木质桥大清邮局旧址成立于1903年目前仍保留邮递书信的功能*以上信息整理自互联网内容不定期更新,1,,,,,,,,,,,,
主要机位有放生桥圆津禅院门口泰安桥 ,5,,,,,,,,,,,,
朱家角古镇位于上海市青浦区是一座有着1700多年历史的江南古镇被誉为江南第一水乡这里保存了大量明清风格的古建筑和历史文化遗产拥有上海威尼斯的美誉著名的景点放生桥上面虽然天气很热但是很多游客冒着酷热前来游览朱家角古镇放生桥是朱家角最大的一座古桥朱家角的平安桥涵大隆酱园前面小桥流水人家原汁原味的古镇老街大清邮局目前华东地区唯一留存的清朝邮局遗址具有很高的历史文化价值在朱家角古镇漫步青石板铺成的街道欣赏精美的砖雕门楼感受这座城市的韵味同时品尝当地特色小吃如酱瓜扎肉粽子等也是不可错过的体验,9,"古镇原貌,古建筑,历史文化遗产,小桥流水人家,老街,砖雕门楼,特色小吃",,,,,,,,,,,
[吧唧R]来了朱家角很多次了都没有去过朱家角里的两个园林这次买了60的联票去了课植园和心园还有鹤龙美术馆[种草R]很喜欢课植园里的后花园里面的假山上的亭子可以很好地欣赏园内风景[种草R]和心园内的室内陈列非常精致有许多老物件和佛像园内的和心亭可以登上二楼远眺旁边的课植园内景[种草R]鹤龙美术馆很小三个展室只有几幅画和容器藏品因为买的联票所以也去了[氛围感R]朱家角古镇位于上海市青浦区紧靠淀山湖风景区是典型的江南水乡古镇是上海境内最大知名度最高的古镇有着上海最长最大最高的石拱桥-放生桥[种草R]古镇内有两座江南园林课植园和心园[私信R] 课植园始建于1912年园主马文卿历时15年耗银30余万两才初步建成园名课植寓有课读之余不忘耕植之意为中西合璧式的江南私家园林[仙女R]朱家角古镇主要打卡景点[打卡R]北大街[打卡R]大清邮局鹤龙美术馆江南第一茶楼[打卡R]城隍庙圆津禅院天主堂[打卡R]放生桥泰安桥廊桥[打卡R]和心园课植园,1,,,,,,,,,,,,
"""繁华外市井处古镇里最人间""藏在魔都里的江南水乡",9,"市井,古镇,人间,魔都,江南水乡",,,,,,,,,,,
你一句春不晚我就来到了真江南行在江南烟雨里淋了一身诗意江南袅袅纵马年少烟波画桥江南仲春天细雨色如烟,10,"春不晚,真江南,江南烟雨,诗意江南,袅袅,纵马年少,烟波画桥,江南仲春天,细雨,色如烟",,,,,,,,,,,
主要是在放生桥上和附近拍摄了上海青浦区朱家角古镇的傍晚景色,6,"放生桥,傍晚景色",,,,,,,,,,,
青浦休闲半日游1报国寺+小渔村导航至报国寺门口一片停车场还有很多骑友在关咖休息报国寺可游览可吃素斋素斋14:00结束报国寺后面的村子就是小渔村外村不可入内村内有鱼货和好吃的海棠糕村子里可以看到淀山湖风光2咖啡+朱家角咖啡在古镇边上顶楼户外可赏湖景很开阔地下停车场6元/小时关键是离朱家角古镇非常近200-300米步行5分钟内可到朱家角1号门逛古镇就没停车烦恼啦,1,,,,,,,,,,,,
朱家角古镇或将变身5A级景区,5,,,,,,,,,,,,
免费的古镇不香吗还要什么自行车开放时间古镇全天[二R][四R]小时免费开放景点开放时间为8:30-16:30部分收费关注wx公众号提前查询古镇实时客流及车位信息欢乐出行交通出行地铁地铁17号线朱家角站1号出口1.5公里五号口出可乘坐1510路直达游客中心25分钟一班每次1元自驾自驾导航至朱家角古镇停车场注官方提供7个停车场wx公众号可查看实时车位剩余情况车位分布图详见上图根据游玩路线选择不同的车位哦游玩路线游客中心课植园和心园永安桥阿婆茶楼放生桥北大街江南第一茶楼泰安桥廊桥城隍庙大清邮局游客中心原路返回注路线规划详见上图游船项目收费标准1手摇船单程200300元/船限6人返回出发码头另+100元2游艇及快艇淀山湖02号 600元/航次 来回30分钟 限8人淀山湖03号 400元/航次 来回30分钟 限5人注详细信息辛苦看上图部分景点介绍课植园欣赏江南园林景观20/人去过园林的不建议和心园园林式建筑30/人去过园林的不建议放生桥朱家角古镇的标志性建筑上海最大最长的五孔石拱桥被誉为沪上第一桥历史感十足泰安桥古镇内最陡的一座单拱桥北大街小镇内最繁华的一条街各种艺术品商店美食店在这边涵大隆酱园就这条街廊桥古亭廊桥间江南水乡古镇的标志性建筑也是古镇唯一的木质桥大清邮局旧址成立于1903年目前仍保留邮递书信的功能*以上信息整理自互联网内容不定期更新,7,"免费,古镇,全天免费开放,实时客流,车位信息,交通出行,地铁,自驾,游玩路线,游船项目,收费标准,景点介绍,江南园林景观,标志性建筑,历史感,繁华,艺术品商店,美食店,木质桥,邮递书信功能",,,,,,,,,,,
周末一游感觉上海就是江南水乡气所包裹的城市位于魔都郊区的朱家角古镇 规模不大 一天就可以逛完虽然是旅游景点 让整个古镇的烟火气 依旧浓郁保留了数百年的明清建筑 老街上的放生桥更是独有特色重点是每个时间段的风景都不一样,8,"江南水乡,规模不大,古镇,烟火气,明清建筑,老街,放生桥,风景",,,,,,,,,,,
朱家角古镇 穿越千年的水乡梦境你绝对不能错过的旅游胜地Hey小仙女们 今天带你们走进一个充满文化底蕴和历史故事的宝藏古镇朱家角 这里不仅是上海的后花园更是江南水乡的缩影绝对是你旅游清单上的必打卡之地 千年古镇的韵味朱家角古镇位于上海市青浦区有着1700多年的历史是江南六大古镇之一 这里的每一块石板每一座桥梁都仿佛在诉说着古老的故事 漫步在古镇的街巷你会感受到浓浓的历史气息仿佛穿越回了那个繁华的明清时代桥与水的浪漫朱家角著名的就是它的桥了 这里有36座古桥每一座都有它独特的故事比如放生桥是古镇的标志性建筑传说在这里放生可以带来好运哦 还有泰安桥据说走过这座桥的人都会平安顺遂 这些桥不仅是交通要道更是古镇的灵魂所在 旅游攻略吃住行全搞定美食推荐朱家角的美食可是不能错过的 一定要尝尝当地的粽子酱鸭和青团味道绝对让你回味无穷住宿推荐古镇内有很多特色民宿推荐住在水边的客栈晚上听着水声入睡别有一番风味交通指南从上海市区出发乘坐地铁17号线到朱家角站再步行10分钟就能到达古镇非常方便 拍照打卡点美照拍不停放生桥这里是朱家角的标志性建筑拍出来的照片绝对能刷爆朋友圈北大街古色古香的街道两旁的店铺和灯笼随便一拍都是大片课植园这是一个典型的江南园林园内的假山池塘和亭台楼阁都是拍照的好背景 你最喜欢朱家角的哪个景点 快来评论区告诉我或者你有什么旅游推荐和旅游咨询都可以留言哦 让我们一起分享旅游的快乐吧关注我解锁更多旅行灵感,10,"水乡梦境,文化底蕴,历史故事,宝藏古镇,后花园,江南水乡,千年古镇,韵味,石板,桥梁,历史气息,明清时代,古桥,放生桥,泰安桥,灵魂,美食,粽子,酱鸭,青团,特色民宿,水边客栈,交通指南,拍照打卡点,标志性建筑,北大街,课植园,江南园林",,,,,,,,,,,
 地址青浦区-朱家角镇课植园路555号 交通地铁17号线朱家角站5号口出乘坐朱家角旅游专线1510路到朱家角游客中心站下或者1号口出步行1.5公里自驾导航至朱家角西南侧地上停车场停车20元一次这里有充电桩新能源车可充电门票朱家角古镇免费里面有收费的小景点可在乐游朱家角服务号上预约5个景点联票80元3个景点联票60元也可在闲鱼上买便宜[星R]游玩路线朱家角古镇游客中心 课植园 和心园 阿婆茶楼放生桥江南第一茶楼鹤龙美术馆 圆津禅院 城隍庙 大清邮局游览地图图2美食推荐1.角裡朱阿婆小吃館朱家角东井街127号2.吴字坊臭豆腐 课植园路555号3.银杏树阿婆粽北大街262号4.古镇饭庄 北大街336号[星R]游船价格游船有三条线AB两条线为三个景点200元一船C线4个景点300元一船每船最多6个人可以拼船或者包船[星R]景点介绍[气球R]放生桥放生桥是朱家角的标志性建筑建于明代是上海地区现存最古老的五孔石拱桥桥身古朴典雅横跨在漕港河上是游客拍照打卡的热门地点[气球R]课植园课植园是一座典型的江南园林园内布局精巧融合了苏州园林的风格园内有假山池塘亭台楼阁景色优美[气球R]城隍庙朱家角的城隍庙始建于明代是当地重要的宗教场所庙内供奉城隍神香火旺盛[气球R]大清邮局大清邮局是中国最早的邮局之一建于清代现为邮政博物馆馆内展示了中国邮政发展的历史保留了许多珍贵的邮政文物[气球R]圆津禅院圆津禅院是一座历史悠久的佛教寺庙始建于元代禅院依山傍水环境清幽寺内供奉着多尊佛像[气球R] 漕港河游船漕港河是朱家角的母亲河乘船游览可以欣赏到两岸的古建筑和水乡风光感受江南水乡的独特魅力[气球R] 涵大隆酱园涵大隆酱园是朱家角著名的老字号酱园已有百年历史[气球R] 朱家角民俗博物馆博物馆展示了朱家角的民俗文化和传统手工艺包括纺织陶艺木雕等,7,"古镇原貌,商业水平不高,童年的梦,课植园,放生桥,江南园林,假山池塘,亭台楼阁,景色优美,城隍庙,大清邮局,圆津禅院,漕港河,古建筑,水乡风光,涵大隆酱园,民俗博物馆,邮政博物馆,宗教场所,标志性建筑,百年历史,纺织陶艺木雕,传统手工艺,佛教寺庙,邮政文物,游船,拼船,包船,免费,联票,阿婆茶楼,角裡朱阿婆小吃館,吴字坊臭豆腐,银杏树阿婆粽,古镇饭庄",,,,,,,,,,,
傍晚的朱家角古镇挺好看的前面几张是站在城隍庙桥附近拍摄的后面几张是站在在放生桥拍摄的放生桥上人挺多的拍的时候要快要注意安全过了放生桥拍了圆津禅院,7,"傍晚,朱家角古镇,好看,城隍庙桥,放生桥,人,快,安全,圆津禅院",,,,,,,,,,,
外国人第一次来上海千万别再只知道东方明珠了这些小众路线玩法玩的才是真上海必去景点1去马勒别墅亲身体验花园洋房的奢华出门右转就能把巨富长三条路逛个遍2在世界zui高书店朵云书院看书发呆俯瞰黄浦江江景3去逛逛1192弄老上海风情街所有老上海的复古元素这里都有4在上海新世界大丸百货坐旋转电梯一边转圈圈一边逛商场5在外滩散步一边是纸醉金迷的万国建筑一边是魔幻耀眼的陆家嘴6去四行仓库了解上海抗战历史亲眼看看弹痕累累的墙面7去北外滩get颠倒三件套的拍照机位8去新天地过海派夜生活环境好bar多晚上听听音乐喝一杯聊聊天如果时间足够还可以远离市区去这些地方1去朱家角古镇打卡繁华之下的江南古镇2去逛上海最大夜市泗泾夜市超多美食烟火气十足3去七宝老街品尝上海地道小食蟹粉小笼葱油饼七宝汤圆糖藕绝对吃到停不下来4去上海动物园看可爱的熊猫歪果仁都非常热爱熊猫,9,"朱家角古镇,江南古镇",,,,,,,,,,,
电影色戒的很多取景地是张爱玲生前喜欢去的场所或是小说中提到过的地方探访12个位于上海的取景地在艺术与现实间穿行上图电影截图下图现实照片[一R],1,,,,,,,,,,,,
朱家角江南古镇的诗意栖息3.5小时轻松打卡从园林到美食一网打尽推荐线路:游客中心  课植园  和心园   清代舒宅角里大院饭店  朱市大集   角裡朱阿婆小吃館  放生桥  吴字坊臭豆腐  奈雪的茶  一芽一葉  银杏树阿婆粽  圆津禅院  涵大隆酱园   城隍庙 大清邮局 城隍庙码头 课植园码头乘船 停车场(游客中心),8,"朱家角,江南古镇,诗意栖息,园林,美食,游客中心,课植园,和心园,清代舒宅,角里大院饭店,朱市大集,角裡朱阿婆小吃館,放生桥,吴字坊臭豆腐,奈雪的茶,一芽一葉,银杏树阿婆粽,圆津禅院,涵大隆酱园,城隍庙,大清邮局,城隍庙码头,课植园码头乘船,停车场",,,,,,,,,,,
有多少人看过周生如故为他们的爱情哭红了眼[哭惹R]今天给大家带来的酒店就是一生一世中周生辰的家打卡剧中同款场景一起做一回剧中人[斜眼R],7,"周生如故,一生一世,周生辰,剧中同款场景",,,,,,,,,,,
来了魔都不知道去哪里玩那不是白来了么江南古镇朱家角快来打卡自己做一张活版印刷明信片留下美好纪念吧,8,"江南古镇,朱家角,活版印刷,明信片,美好纪念",,,,,,,,,,,
"站在桥上看落日余晖等日暮向晚观华灯初上品人间烟火是再好莫属这里是朱家角古镇是上海四大历史文化名镇之一号称上海第一大镇沿街是明清建筑小桥流水青砖黛瓦散发出江南的温婉气质找一个阳光充足的午后走在青石板上游街逛巷感受江南的水乡风情欣赏明清建筑和历史遗迹交通及门票自驾上海市区自驾约1小时左右地铁17号线朱家角站1号口出步行约20分钟门票古镇入口免费部分景点收费收费景点可在乐游朱家角公众号上购买联票联票价60元路线参考朱家角古镇游客中心课植园和心园阿婆茶楼放生桥鹤龙美术馆圆津禅院城隍庙大清邮局课植园原园主马文卿历时15年建成集结了江南园林之精华且将中西文化相融成为中西合璧的庄园式私家花园和心园它是园林和历史文化的博物馆一步一景移步异景里面陈列物均为明清二代的原始物件放生桥是上海最大最长最高的五孔石拱桥被称为沪上第一桥在桥上看落日归山海到傍晚岸边灯火阑珊超级有氛围感因为我去的比较晚天气又冷并没有太仔细逛但桥上的黄昏和夜景真的很迷人游客不太多没有熙熙攘攘商业化也没有太重保留了古镇的一些生活气息不一定要规划路线走走停停,路边各种小店都很好逛我喜欢吃糯叽叽的东西去吃了朱家角忆糕屋藕粉与糯米做的淡淡的甜味挺好吃的",1,,,,,,,,,,,,
朱家角古鎮 | 上海本身以為冇時間嚟依個古鎮因為佢同上海市中心相距個路程都遠好彩臨走前冇嘢做直接過咗嚟朱家角古鎮真係成日聽嚟到發現佢同其他古鎮係有啲分別我會話佢外圍有商業化嘅店舖個內圍都保留咗古鎮應有嘅特色由地鐵站一路行過去古鎮嘅時候好多農民賣士多啤梨係一籃籃咁賣又大粒又甜行過見到靚即買一芽一葉一開始係比佢杯頂個茶壺吸引了飲落發現佢茶味幾出係我幾中意飲嘅唔會太甘太苦佢店入面仲有茶葉可以買成個裝修啱晒打卡一入古鎮就會見到間店榮品啊婆糭好多店都係賣呢隻勁肥豬肉糭重有鹹蛋係入面而依間勁多人排隊買佢有幾間係古鎮到分流又得咗但我望到啲肉咁肥覺得自己搞唔掂冇買嚟試海棠糕呢個小食都係好多店都有我揀咗間有美食推薦嘅我覺得幾好食上面嗰層甜甜地下面有少少糯米香,1,,,,,,,,,,,,
对外乡人来说上海古桥除了豫园的九曲桥放生桥应该是最有名的一座古桥了吧因其在上海最大最长被称为沪上第一桥以下是Deepseek对放生桥的介绍朱家角**放生桥**是上海青浦区朱家角古镇的标志性建筑也是江南地区最大的五孔石拱桥之一它横跨于古镇的漕港河上连接着朱家角的北大街和漕河街是古镇历史与文化的象征**历史背景****建造时间**放生桥始建于明代隆庆五年1571年由慈门寺僧人**性潮**募捐修建距今已有450余年历史**名称由来**因桥畔曾有佛家放生池僧人常在此举行放生仪式倡导戒杀护生故得名放生桥**修缮历史**清代嘉庆年间1812年曾进行大规模修缮至今保存完好是上海地区现存最古老的石拱桥之一**建筑特色**1. **结构设计**全长约**70.8米**宽**5.8米**高7.4米由花岗岩砌筑而成五孔联拱设计中孔最大两侧对称递减既美观又利于泄洪桥墩纤薄仅0.6米厚体现了古代工匠的高超技艺被誉为沪上第一桥2. **细节装饰**桥顶四角雕刻四只石狮憨态可掬桥身镶嵌雕花长系石刻有楹联帆影逐归鸿锁住玉山云一片潮声喧走马平溪珠浦浪千重意境悠远台阶共122级南侧57级北侧65级缓步而上可俯瞰古镇全景**历史与文化意义****交通枢纽**放生桥曾是朱家角通往昆山松江的必经之路促进了古镇商贸繁荣**佛教象征**桥旁的放生亭和石碑记录着佛教放生传统体现古人尊重生命的理念**水乡文化代表**桥与周围粉墙黛瓦漕港河上的摇橹船共同构成典型的江南水乡画卷是摄影和写生的热门地**实用信息****地址**上海市青浦区朱家角镇古镇核心区**门票**进入朱家角古镇免费放生桥无需单独购票**最佳游览时间**清晨或傍晚人流较少可感受静谧的水乡氛围节假日有传统民俗活动,9,"古镇原貌,商业水平不高,童年的梦",,,,,,,,,,,
