评论,打分,积极评价要素词汇_1,积极评价要素词汇_2,积极评价要素词汇_3
烟雨入江南山水如墨染???跟着遇见绍兴短视频大赛二等奖烟雨绍兴??遇见绍兴之美??雨落在书圣故里??如同翻开一幅流动的历史长卷??一草一木都浸润着翰墨书香????雨落在沈园??似一场哀怨??带着无尽的惋惜??叹息一场刻骨铭心的爱情故事????雨落在兰亭???敲打着屋檐??似在诉说古老的故事??应是诗画中的???天青色等烟雨????雨落在安昌古镇???是另一种带有烟火气息的美感??烟雨映衬着黑瓦??美如画卷???烟雨江南四季如诗???冬日的绍兴亦是烟雨绵绵将古镇古巷园林渐次晕染氤氲出如诗如画的意境绍兴不愧是真江南???,9,"烟雨,江南,山水,墨染,书圣故里,翰墨书香,沈园,哀怨,惋惜,爱情故事,兰亭,古老的故事,诗画,天青色,烟雨,安昌古镇,烟火气息,美感,黑瓦,画卷,烟雨江南,四季,诗意,冬日,绍兴,古镇,古巷,园林,意境,真江南",,
你的一句春不晚我就到了真江南这个梗出自苏轼的惠崇春江晚景因为喜欢江南水乡的温婉定居在了苏州一直以为苏州的美没有那座江南城市可以超过直到我来了绍兴突然觉得还是有可以跟苏州媲美的江南水乡的.想把这座小城很真诚地推荐给大家但也怕这里被嘈杂的声音所扰动不管怎样带你看看我眼中的绍兴吧.??绍兴3??天2??夜游玩攻略Day1???苏州自驾出发抵达???东湖 ??十里荷塘????犭央(ang)犭茶(sang)湖????西小路历史街区?????入住绍兴市区Day2???仓桥直街????书圣故里????八字桥????鲁迅故里????兰亭 ???入住安昌古镇Day3??安昌古镇??柯桥古镇??苏州.??推荐必打卡的地方.1??犭央犭茶 湖ang sang建于明代的避风石塘古纤道小众到不能再小众的地方工作日来的话基本没人.2??东湖以崖壁岩洞石桥湖面巧妙结合也是绍兴的一大园林来此乘船进入岩洞仿若进入了桃花源记的世界.3??西小路藏在闹市里的江南水乡建筑层峦叠嶂好像现实版的江南百景图.4??环山路这里阴天晴天都别有一番韵味而且游人稀少街边的绿树配上粉墙黛瓦非常江南.5??兰亭这里有日本琉璃光院的同款天章之寺也有王羲之的真迹还有应景的大白鹅.6??安昌古镇这是非常小众的一个古镇里面有着老绍兴人的回忆不妨来此小住一日吧.7??柯桥古镇傍晚的柯桥古镇随着科技的光影这里成了江南的另一种画面.8??镜湖十里荷塘接天莲叶无穷碧映日荷花别样红在这里得以具像化.9??鲁迅故里做先生书迷访先生故里读了那么多年先生的书总要来次他的家乡吧.??仓桥直街江南烟火气最抚凡人心来这里感受绍兴人的慢生活.??注意现在小红书上线了100天运动打卡挑战活动可以参与领取背包挂件等哦跟我一样带着可爱的包挂一起旅行环游世界吧,9,"犭央犭茶湖, 东湖, 西小路, 环山路, 兰亭, 安昌古镇, 柯桥古镇, 镜湖十里荷塘, 鲁迅故里, 仓桥直街",,
"有骨的江南当看绍兴如果没来过绍兴或许不能称得上真的来过江南绍兴这座被称为""没有围墙的博物馆""的城市也曾被国家地理评选为最具有人气的江南水乡-???绍兴景点推荐1??绍兴兰亭王羲之笔下兰亭序中描绘的绝美秘境茂林修竹曲水流觞一步一景都让人回到永和九年的那场梦2???(ang)犭茶(sang)湖始建于明代是沟通南北两岸交通和船只躲避风浪的通道白鹭展翅水波荡漾沿着河岸散步也很美3??鲁迅故里鲁迅先生的故居从百草园逛到三味书屋看看语文课本里先生在课桌上刻的早字4??书圣故里书圣王羲之的故乡沿着水岸人家感受历史气息蕺坊桥旁的书法墙很出片5??东湖86版西游记的取景地之一坐着乌篷船在湖中穿梭于岩壁石桥下非常惬意6??八字桥中国zui早的立交桥附近有许多原住民是一个充满烟火气的地方可以感受原汁原味的江南水乡生活7??安昌古镇绍兴四大古镇之一老街依河而建这有许多绍兴特产腊鸭腊鱼腐乳等等出售过年本地人采购年货很热闹的地方8??大禹开元宝藏免费景点??????背靠会稽山南依大禹陵本身免费参观可以选择住这里也很方便价格也不贵不仅是酒店也是绝美景区往大部分景点基本在20分钟车程内整个环境位古村落的自然生态环境以白墙墨瓦的明清建筑为主体小桥流水穿插其中祠堂戏台天井古街石巷拍照真的非常出片春天的时候这里蔷薇花开满园现在的凌霄花开的正盛酒店环境真的很美相比书圣故里人挤人这里拍照真的人少景美??-??暑热逐渐褪去不如就去绍兴走一走吧给大家整理了一份3天2夜游快码住??DAY1??书圣故里-八字桥-仓桥直街-府山公园-入住绍兴大禹开元观堂DAY2??大禹陵-鲁迅故里-?(ang)犭茶(sang)湖-东湖DAY3??绍兴兰亭-安昌古镇-返程-??美食推荐黄酒棒冰萝卜丝饼臭豆腐绍兴醉蟹次坞打面等等-",9,"江南,绍兴,兰亭,王羲之,秘境,茂林修竹,曲水流觞,永和九年,犭茶湖,明代,白鹭,水波,河岸,鲁迅故里,百草园,三味书屋,语文课本,书圣故里,水岸人家,历史气息,蕺坊桥,书法墙,东湖,86版西游记,乌篷船,岩壁石桥,八字桥,立交桥,原住民,烟火气,江南水乡生活,安昌古镇,绍兴四大古镇,老街,绍兴特产,腊鸭,腊鱼,腐乳,年货,大禹开元,会稽山,大禹陵,古村落,自然生态环境,白墙墨瓦,明清建筑,小桥流水,祠堂,戏台,天井,古街,石巷,蔷薇花,凌霄花,酒店环境,书圣故里,人少景美",,
如果你厌倦了城市的喧嚣想找个地方放松一下我强烈推荐你来安昌古镇这里不仅有最原始的江南水乡韵味还有满满的烟火气和独特的文化体验安昌古镇的美食绝对能让你大饱口福满街的腊肠酱鸭熏鱼还有热气腾腾的本地臭豆腐无不洋溢着浓浓的年味两岸人家安且昌乌篷俨在画中航腊肠鱼鲞梅干熟黄酒白糖蚕豆香这句诗完美地描绘了安昌的烟火气安昌古镇不仅有美食还有深厚的文化底蕴天下师爷出绍兴绍兴师爷出安昌这里有一个师爷博物馆展示了安昌作为师爷之乡的历史文化??交通高铁到绍兴北站打车20分钟直达古镇地铁乘坐地铁1号线到越州大道再打车15分钟自驾从宁波出发一个半小时直达????游玩攻略门票古镇是免费的但里面有6个景点需要收费可以买联票或者单独购买摇橹船65元/每艘船可以坐3人非常适合和朋友一起体验江南水乡的慢生活??推荐游玩路线 ???正大门进入-清风第一廊-城隍殿-穗康钱庄-石雕馆-绍兴宣卷馆-师爷馆-安昌民俗风情馆-安康寺-仁昌酱园-中国银行旧址环形路线不用走回头路????拍照攻略最佳时间下午3点到5点光线柔和适合拍摄古镇的烟火气乌篷船乘坐乌篷船以两岸的古建筑为背景拍出的照片超有江南韵味腊味一条街满街的腊肠熏鸡很有本地特色是拍照的好地方仁昌酱园可以拍出充满传统酱园文化的照片人文摄影古镇里住着很多本地人可以拍摄到很多有趣的人文照片夜景晚上古镇亮灯后夜景很美适合拍摄夜景照片?,10,"江南水乡韵味,烟火气,文化体验,美食,腊肠,酱鸭,熏鱼,臭豆腐,年味,两岸人家,师爷博物馆,历史文化,免费,摇橹船,慢生活,清风第一廊,城隍殿,穗康钱庄,石雕馆,绍兴宣卷馆,安昌民俗风情馆,安康寺,仁昌酱园,中国银行旧址,光线柔和,乌篷船,古建筑,江南韵味,腊味一条街,本地特色,传统酱园文化,人文摄影,本地人,夜景照片",,
??比起乌镇我更爱这座绍兴小众古镇这里远离尘嚣安静祥和满街的腊肠酱货处处洋溢着江南烟火气 这里游客不多很适合走走停停逛吃逛喝感受最原始的水乡韵味..??地址绍兴安昌古镇??关于安昌古镇 ??免费 全天开放??游玩时间2-3小时??Tips1.古镇免费2.不少展览馆需??50r的联票畅游3.老街沿河道路不宽谨防遛娃掉落 不建议推婴儿车全是石板路和古桥不方便4.推荐夜游沿河台门人家的烟火气更加浓郁别有一番风味,9,"绍兴, 小众, 远离尘嚣, 安静, 祥和, 满街, 腊肠, 酱货, 江南烟火气, 游客不多, 走走停停, 逛吃逛喝, 最原始, 水乡韵味, 免费, 全天开放, 夜游, 烟火气, 台门人家, 别有一番风味",,
.Hi~ 我是江南君~作为一个在杭州生活了7年的人绍兴是我经常去的一座城市无论春夏秋冬还是阴晴雨雪总要隔三差五地去绍兴走一走解压治愈还有慢节奏的生活这些都是我喜欢绍兴的理由作为一个低调的江南小城木心先生也曾说有骨的江南当看绍兴.想把绍兴真诚地推荐给大家但也怕人满为患到处人挤人无论怎样还是分享一下我所喜爱的绍兴吧.?犭央犭茶 湖图1-3即昂桑湖建于明代的避风石塘古纤道有着美丽的传说现在是人少景美的小众打卡地拍照很出片.?古纤道图4-5位于柯桥区的轻纺城大道旁自东而西绵延40余公里是古人行舟背纤的通道至今仍保留完整的将近1公里.?东湖图6-7以崖壁岩洞石桥湖面巧妙结合成为著名园林虽然湖比较小但却是浙江三大名湖湖中之奇.?西小路图8-9仿佛是被绍兴遗忘的江南水乡从飞翼楼山看建筑鳞次栉比宛如现实版的江南百景图.?书圣故里图10-11书圣王羲之的故里记得前几年去的时候这里还很冷清现在已经是人从众了有些机位很难拍到空旷的景色了.?兰亭图12-13书圣王羲之描述的流觞曲水便是在此还有鹅池也是他之字的灵感之源.?安昌古镇图14-15免费开放近几年的游客也越来越多希望能一直保持住它的人间烟火气吧.?八字桥图16古代的水上立交桥历史意义大于风景但旁边的广宁桥直街很有韵味.?府山公园图17可以参观山脚下的绍兴博物馆和越王台府山直街也是一条具有本地烟火气的街巷.?仓桥直街图18沿河而建的古民居是典型的江南水乡风格满大街的臭豆腐奶油小攀和黄酒棒冰是绍兴特色小吃.??我是旅行在路上的江南君~一名旅游博主 & 风光摄影师分享户外生活丨旅游攻略丨摄影打卡主页有更多图文和攻略感谢关注.,1,"慢节奏,解压,治愈,低调,有骨的江南,避风石塘,古纤道,人少景美,小众打卡地,拍照出片,行舟背纤,完整保留,崖壁岩洞石桥湖面巧妙结合,著名园林,湖中之奇,被遗忘的江南水乡,现实版江南百景图,书圣故里,冷清,人从众,流觞曲水,鹅池,灵感之源,人间烟火气,古代水上立交桥,历史意义,韵味,沿河而建的古民居,江南水乡风格,臭豆腐,奶油小攀,黄酒棒冰,绍兴特色小吃",,
就在绍兴这个安昌古镇是典型的江南水乡而且是一个越到冬天冷的时候人就越多越热闹的地方还没到腊月就有了逛市集买年货的感觉了沿街的各种腊货挂起来也成了一道特有的风景.两岸人家安且昌乌篷俨在画中航腊肠鱼鲞梅干熟黄酒白糖蚕豆香形容的就是这里.安昌腊肠扯白糖都远近闻名还有酒酿馒头印糕亲测都非常好吃一定要趁热吃这里的水上婚礼也是别具特色.天下师爷出绍兴绍兴师爷出安昌所以这里还有一个师爷博物馆.??这个古镇是免费的但是里面有6个景点是要收费参观的可以买联票或者单独购买我没有进去看就在外面逛了逛看了看文字介绍??摇橹船是65元/每艘船可以坐3人.??游玩路线整个古镇不大基本都是北街进南街出靠近入口的地方人多越到里面越少我是工作日去的所以整体人不算多周末假日应该很热闹,8,"绍兴, 安昌古镇, 江南水乡, 冬天, 热闹, 腊月, 市集, 年货, 沿街, 腊货, 特有风景, 两岸人家, 乌篷, 画中航, 腊肠, 鱼鲞, 梅干熟, 黄酒, 白糖蚕豆香, 安昌腊肠, 扯白糖, 酒酿馒头, 印糕, 水上婚礼, 别具特色, 绍兴师爷, 师爷博物馆, 免费, 收费景点, 联票, 摇橹船, 北街进, 南街出, 工作日, 周末假日",,
在浙江有座别具一格的千年古镇它口碑超好是绍兴保留最好最原汁原味的古镇国家地理还曾赞它为小桥流水石皮弄白墙黛瓦乌篷船的真水乡它满街都是商品却不会让人觉得过于商业化因为店铺里的商品不是千篇一律的全国同款而是地地道道的当地特产它处处都散发着老绍兴独有的江南书卷气鲁迅笔下不一样的江南水乡以及淳厚古朴的民风在这里体现得淋漓尽致它就是安昌古镇安昌古镇位于浙江绍兴的柯桥区有人说安昌古镇是所有江南古镇里面最有烟火气的一个古镇尤其是春节前后这段时间每年腊月古镇内的家家户户都会挂出各种腊味和酱制品琳琅满目整个古镇显得格外热闹和喜庆?所以如果想去安昌古镇腊月和春节期间是最好的选择安昌一座真正活着的古镇始建于北宋年间的安昌古镇曾在战争中多次被烧毁现存的古镇重建于明清时期沿街的商贩古镇的老街市其实并不长只有不到2公里但就是这么短短的一段路让古镇充满了人间烟火气古镇上的老茶客一座座石拱小桥架起了河两岸的民居和商铺当地人在这里营生满街的酱货臭豆腐扯白糖印糕梅干菜小酥饼是他们的生计也是他们的一辈子绍兴出师爷多半在安昌有人说绍兴最有名的特产不是吃食而是师爷安昌的师爷天下闻名曾经还有一句老俗话叫无绍不成衙而绍兴籍师爷里有大半都出自安昌师爷博物馆有一份不完全的数据统计显示仅仅清朝的最后两百年安昌走出去的师爷就有上万人安昌也因此被称为师爷故里在古镇里就有一座师爷博物馆这是全国独一个以师爷文化为主题的博物馆如果对这个特殊的佐治群体感兴趣可以买个门票进去参观三乌文化原汁原味绍兴有独具特色的三乌文化即乌干菜乌毡帽乌篷船三乌是绍兴乡土文化的象征而在安昌古镇目之所及皆是三乌沿街商铺的菜干这里几乎家家户户都自己晒乌干菜也就是梅干菜一道乌干菜蒸猪肉成为了众多绍兴游子念念不忘的家乡味绍兴人尚黑而乌毡帽就是这种审美下衍生的极具地域特色的文化遗产戴着乌毡帽的乌篷船船夫古时越人以舟为车以楫为马只有绍兴人的乌篷船拥有了姓名乌篷船的摇橹声穿越千年最是江南味,1,"别具一格,千年古镇,口碑超好,保留最好,原汁原味,国家地理,小桥流水,石皮弄,白墙黛瓦,乌篷船,真水乡,地地道道,当地特产,江南书卷气,鲁迅,不一样的江南水乡,淳厚古朴,民风,淋漓尽致,烟火气,腊味,酱制品,琳琅满目,热闹,喜庆,活着的古镇,北宋,战争,烧毁,明清,人间烟火气,老茶客,石拱小桥,民居,商铺,营生,酱货,臭豆腐,扯白糖,印糕,梅干菜,小酥饼,生计,绍兴,师爷,天下闻名,俗话,无绍不成衙,清朝,师爷故里,师爷博物馆,三乌文化,乌干菜,乌毡帽,乌篷船,乡土文化,家乡味,尚黑,文化遗产,摇橹声,江南味",,
绍兴??你嘴真严??这座惊动央视5次的古镇你为何不声张?如果假期只去一座古镇一定要到安昌感受一下原始水乡的烟火气是一座有着烟火气品尝手工晒制的腊肠酱鸭熏鱼静赏小桥流水乌篷船再来一杯黄酒奶茶~ 走走逛逛好不惬意??景点绍兴何桥区安昌古镇??门票免费??高铁绍兴北站打车到古镇20分钟左右??地铁绍兴地铁1号线越州大道打车15分钟~??自驾导航安昌古镇停车场[星R]游玩tips安昌是一个没有很商业的古镇依河而建各式古老的店铺烟火气很浓郁~老街上家家户户门 1者 都挂满腊肠酱鸭酱鱼等还可以看到裹粽子灌腊肠春年糕 扯白糖等传统美食工艺很有烟火气[星R]推荐游玩路线涂山廊水阁桥安昌古戏台安昌文史馆仁 昌酱园中国酱文化博物馆穗康钱庄绍兴宣卷馆石雕展览馆安昌民俗风情馆绍兴师爷博物馆[星R]乌篷船??游船时间800-1630??单程40r/船可坐3人(需提前排队)?游船码头1?古戏台旁2?民俗风情馆旁游船行程大约10分钟左右 船只是老师傅们手滑脚摇船只数量不多人多时候需要排队,9,"安昌,原始水乡,烟火气,手工晒制,腊肠,酱鸭,熏鱼,小桥流水,乌篷船,黄酒奶茶,惬意,门票免费,没有很商业,古老店铺,烟火气浓郁,腊肠,酱鸭,酱鱼,裹粽子,灌腊肠,舂年糕,扯白糖,传统美食工艺,烟火气,涂山廊,水阁桥,安昌古戏台,安昌文史馆,仁昌酱园,中国酱文化博物馆,穗康钱庄,绍兴宣卷馆,石雕展览馆,安昌民俗风情馆,绍兴师爷博物馆,老师傅,手滑脚摇",,
我去过很多江南的古镇景德镇的瑶里古镇苏州的甪直古镇周庄同里还有苏州大大小小的古街区唯有绍兴的古镇是我最喜欢的感觉??读先生的书探先生的故里这句话大概很多人都知道说的是谁了这里是鲁迅周树人的故乡也是王羲之兰亭集序的出自地更是名副其实的文物之邦和鱼米之乡绍兴的古街区到处都是文人墨客的痕迹从百草园到三味书屋从书圣故里到鲁迅故里从仓桥直街到安昌古镇绍兴的春天没有人可以拒绝,10,"古镇原貌,商业水平不高,童年的梦,文人墨客,百草园,三味书屋,书圣故里,鲁迅故里,仓桥直街,安昌古镇,春天",,
?? 乌篷轻摇桥影横斜梦回旧时越城若江南有诗意那一定藏在绍兴的水巷深处?? 必打卡绍兴古韵之地??? 乌篷船烟雨江南摇橹声声水巷幽深仿佛穿越千年旧梦?? 鲁迅故里青砖黛瓦间走进少年闰土与阿Q的故事里?? 东浦黄酒小镇酒香扑鼻尝一口绍兴黄酒微醺入梦?? 安昌古镇石板桥白墙黑瓦最原汁原味的江南风情?? 绍兴的浪漫藏在细节里?? 微雨拂袖乌篷船载着旧时光轻晃?? 在沈园读一首陆游写给唐婉的钗头凤?? 暖一壶黄酒与故人共话任岁月缓缓流淌? 绍兴不只是江南它是时光深处的温柔梦境?? ??收藏+点赞带TA一起游绍兴,10,"乌篷船,水巷,旧梦,鲁迅故里,青砖黛瓦,少年闰土,阿Q,黄酒小镇,酒香,安昌古镇,石板桥,白墙黑瓦,江南风情,沈园,钗头凤,黄酒,温柔梦境",,
阴雨天的安昌古镇烟火气满满,8,"阴雨天,安昌古镇,烟火气",,
杭州地铁直达自驾50分钟左右 周末游绍兴安昌古镇攻略想要逃离城市的喧嚣寻找一片宁静的天地吗那就不要错过绍兴的安昌古镇啦?? 从杭州出发只需乘坐地铁再换乘绍兴轨道交通1号线就能轻松抵达这个充满历史韵味的古镇自驾杭州出发走空港高架彩虹快速路104国道55分钟左右免费走高速45分钟左右?? 交通指南从杭州地铁出发先到姑娘桥站然后换乘绍兴轨道交通1号线至越州大道站之后你可以选择乘坐公交或打车前往安昌古镇打车费10元左右?? 门票信息安昌古镇免票有8个景点是需要收费的师爷馆城隍殿民俗风情馆穗康钱庄石雕馆安康寺宣卷馆中国银行旧址价格是50元/人另外船票是50元/船可以坐三个人从古镇的一端到另一端? 推荐游览时间建议预留2-3小时慢慢品味这个古镇的独特魅力?? 拍照打卡古镇内有许多免费的好拍地点无论是古色古香的建筑还是热闹的市井风情都能成为你相机中的美景?? 美食推荐安昌古镇的美食也是一大亮点这里有各种腊肉腊肠酱鸭酱鱼还有绍兴黄酒女儿红米酒酒酿馒头特别是萝卜丝饼一定要尝一尝超级好吃还有臭豆腐木莲豆腐扯白糖清朝馄饨安昌印糕等等各种小吃让你流连忘返,1,"逃离城市的喧嚣,宁静,历史韵味,古色古香,建筑,市井风情,美景,腊肉,腊肠,酱鸭,酱鱼,绍兴黄酒,女儿红,米酒,酒酿馒头,萝卜丝饼,臭豆腐,木莲豆腐,扯白糖,清朝馄饨,安昌印糕",,
首先请将照片向右旋转90度观看先来打个卡适合春天来拍的机位特色的苦楝树搭配乌篷船或者烟雨季找寻一种慢节奏的生活方式图1图2:安昌古镇图3图4:东湖景区拍摄器材御3pro,7,"打卡,春天,机位,苦楝树,乌篷船,烟雨季,慢节奏,生活,安昌古镇,东湖景区",,
桥下流水皱屋前桐叶黄今天带来的是安昌古镇的第七期安昌古镇不只有白天还有夜景的也别有一番风味可惜傍晚回去了有机会以后再拍??地点浙江省绍兴市柯桥区安昌古镇??相机佳能R6II镜头为24105构图思路仅供参考感谢观看 ??,9,"桥下流水,屋前桐叶,安昌古镇,夜景,别有一番风味",,
?? **绍兴2天1晚详细攻略**,2,古镇原貌,商业水平不高,童年的梦
绍兴文房琪 摘姜姜同学绍兴雨下一整晚于是我就见到了真江南撑竹筏划过溪上人家追清风秋千过水涟漪会荡出这座水乡的前世今生沈园刻下的钗头凤碑在纪念陆游唐婉红酥手握不住期盼黄藤酒怎饮得尽悲欢水枕江南安昌古镇便是那梦里水乡畔这红灯忽明忽暗水波或急或缓怪不得身在江南便总叹这姻缘婉转它曾是会稽山阴有西施更有兰亭放不下这一场江南梦啊不如就留在绍兴,10,"江南,竹筏,溪上人家,清风,秋千,水涟漪,水乡,前世今生,沈园,钗头凤,碑,陆游,唐婉,红酥手,黄藤酒,悲欢,水枕,梦里水乡,红灯,水波,姻缘,西施,兰亭,江南梦,绍兴",,
除了体验安昌古镇的水乡风情也少不了要尝尝当地特色美食安昌古镇地道小吃真不少边逛边吃惬意的很有哪些特色小吃?怎么吃不踩雷?这篇就来好好唠一下安昌古镇的美食附?美食攻略 ?避坑指南????????孝店王酒酿馒头 P6推荐指数??????????不愧是被纳入非物质文化遗产的宝藏美食馒头蓬松很有嚼劲家里人都赞不绝口不枉排了一小时的队馒头有限购1人只能买??个根本不够吃同行的小伙伴可分开来购买强烈推荐酒酿馒头夹笋干肉绍兴枕头粽(经典鲜肉粽梅干菜肉粽安昌香肠粽)原味酒酿馒头好吃到流连忘返??粽子不仅个头大馅料也很足物超所值价格在P7??功夫醉鹅推荐指数??????????鹅身?鹅各个部位半只鹅挺大的差不多80+??外表看着清淡却格外入味肉质鲜美鹅皮很肥很油不喜欢吃油腻的不推荐??安昌印糕 P9-10推荐指数??????现做现蒸的印糕有四种口味可混合装吸引人的是印有安昌古镇的图案可以打卡拍照??一定要趁热吃凉了就变硬了口感没那么好每一种口味吃起来感觉有一股淡淡的薄荷味条街上有好几家每家的地理位置不同价格也有些差异20??/盒??师爷馄饨 P11-13推荐指数????手工现包的小馄饨卖相和味道都很普通不知道为什么这么一碗馄饨价格卖这么高吃的人非常多不如平时随便在街边吃的馄饨拔草了吃完才发现隔壁是清朝馄饨不晓得味道如何价格在P13??南瓜花推荐指数????很像南京的梅花糕形状像甜筒外角脆脆的面皮糯糯的里面是南瓜馅味道一般5??/个??臭豆腐 P15推荐指数??刚到景区大门口买了一份特别容易踩雷很难买到好吃的10??/份只要步入安昌古镇家家户户几乎都晒着腊肉肠酱鸭鱼干除此之外还有扯白糖龙须糖黄酒棒冰......除了小吃街边喝咖啡??的地方也不少像柿夏庭院绍小馆十九平......每家各有各的特色逛累了可以歇歇脚河道边还能围炉煮茶??可以看乌篷船??缓缓划过放慢脚步享受当下总的来说安昌古镇各类美食很有地方特色值得去一探究竟??,1,"安昌古镇,水乡风情,特色美食,地道小吃,逛,吃,惬意,酒酿馒头,非物质文化遗产,嚼劲,赞不绝口,排队长,限购,分开购买,强烈推荐,绍兴枕头粽,鲜肉粽,梅干菜肉粽,安昌香肠粽,原味酒酿馒头,流连忘返,个头大,馅料足,物超所值,功夫醉鹅,鹅身,鹅各个部位,半只鹅,入味,肉质鲜美,鹅皮,肥,油,安昌印糕,现做现蒸,混合装,安昌古镇图案,打卡拍照,趁热吃,凉了变硬,薄荷味,条街,地理位置,价格差异,师爷馄饨,手工现包,小馄饨,卖相,味道普通,价格高,拔草,清朝馄饨,南瓜花,梅花糕,甜筒,外角脆脆,面皮糯糯,南瓜馅,味道一般,臭豆腐,踩雷,景区大门口,腊肉肠,酱鸭鱼干,扯白糖,龙须糖,黄酒棒冰,喝咖啡,柿夏庭院,绍小馆,十九平,特色,歇歇脚,河道边,围炉煮茶,乌篷船,划过,放慢脚步,地方特色,值得",,
安昌古镇是去年过年就很想骑车来的地方但看新闻说过年多人就没有骑过来这次过来觉得也是很惊喜没有其他古镇的那种喧嚣没有全国古镇统一的长沙臭豆腐大肉串和老酸奶[笑哭R][笑哭R][笑哭R]都是当地特色的食物古镇就沿着河道两旁河流多长古镇也就多长有当地居民住着傍晚会有阿嬷在河里洗东西商家都说着本地口音但是又不会过于冷清不是世外桃源是世俗的适合居住的地方是大隐隐于市的市往里走可以独处往街上走也可以市井逛的时候看到卖当地卤味的人家一家人围在中庭吃饭感觉这种场景是20年前了就让我想起来去年看的电影乘船而去江浙的船船下的河河边的人人聚集在一起吃饭后面去吃了一口味食物也是当地口味但对于我来说甜了一点如果你喜欢这种场景放心来?,1,"惊喜,喧嚣,当地特色的食物,河道,河流,当地居民,阿嬷,河里洗东西,商家,本地口音,世俗,适合居住,大隐隐于市,独处,市井,当地卤味,中庭吃饭,场景,20年前,乘船而去,江浙,船,河,河边的人,人聚集在一起吃饭,口味食物,当地口味",,
.看够了繁华的苏州和杭州或许低调小众的绍兴才是我心目中的真江南木心先生也曾说无骨的江南不只苏州有骨的江南当看绍兴绍兴真的是一座宝藏级的江南小城.1??东湖以崖壁岩洞石桥湖面巧妙结合成为著名园林虽然湖比较小但却是浙江三大名湖湖中之奇.2??兰亭绍兴的小众秘境书圣王羲之描述的流觞曲水便是在此还有鹅池也是他之字的灵感之源.3??安昌古镇免费开放近几年的游客也越来越多希望能一直保持住它的人间烟火气吧.4??书圣故里书圣王羲之的故里记得前几年去的时候这里还很冷清现在已经是人从众了有些机位很难拍到空旷的景色了.5??西小路仿佛是被绍兴遗忘的江南水乡从飞翼楼山看建筑鳞次栉比宛如现实版的江南百景图.6??府山公园可以参观山脚下的绍兴博物馆和越王台府山直街也是一条具有本地烟火气的街巷.??我是热爱旅行的江南君~一名旅游博主 & 风光摄影师分享户外生活丨旅游攻略丨摄影打卡主页有更多图文和攻略感谢关注.,9,"低调,小众,真江南,无骨的江南,有骨的江南,宝藏级,东湖,崖壁,岩洞,石桥,湖面,巧妙结合,兰亭,小众秘境,流觞曲水,鹅池,安昌古镇,免费开放,人间烟火气,书圣故里,冷清,西小路,被遗忘的江南水乡,飞翼楼,建筑鳞次栉比,江南百景图,府山公园,绍兴博物馆,越王台,府山直街,本地烟火气",,
绍兴??你嘴真严??这座惊动央视5次的古镇你为何不声张?如果假期只去一座古镇一定要到安昌感受一下原始水乡的烟火气是一座有着烟火气品尝手工晒制的腊肠酱鸭熏鱼静赏小桥流水乌篷船再来一杯黄酒奶茶~ 走走逛逛好不惬意??景点绍兴何桥区安昌古镇??门票免费??高铁绍兴北站打车到古镇20分钟左右??地铁绍兴地铁1号线越州大道打车15分钟~??自驾导航安昌古镇停车场[星R]游玩tips安昌是一个没有很商业的古镇依河而建各式古老的店铺烟火气很浓郁~老街上家家户户门 1者 都挂满腊肠酱鸭酱鱼等还可以看到裹粽子灌腊肠春年糕 扯白糖等传统美食工艺很有烟火气[星R]推荐游玩路线涂山廊水阁桥安昌古戏台安昌文史馆仁 昌酱园中国酱文化博物馆穗康钱庄绍兴宣卷馆石雕展览馆安昌民俗风情馆绍兴师爷博物馆[星R]乌篷船??游船时间800-1630??单程40r/船可坐3人(需提前排队)?游船码头1?古戏台旁2?民俗风情馆旁游船行程大约10分钟左右 船只是老师傅们手滑脚摇船只数量不多人多时候需要排队,9,"原始水乡,烟火气,手工晒制,腊肠,酱鸭,熏鱼,小桥,流水,乌篷船,黄酒奶茶,惬意,门票免费,没有很商业,古老店铺,烟火气浓郁,腊肠,酱鸭,酱鱼,裹粽子,灌腊肠,舂年糕,扯白糖,传统美食工艺,烟火气,涂山廊,水阁桥,安昌古戏台,安昌文史馆,仁昌酱园,中国酱文化博物馆,穗康钱庄,绍兴宣卷馆,石雕展览馆,安昌民俗风情馆,绍兴师爷博物馆,乌篷船,老师傅,手滑脚摇",,
踏入古镇那沿着河岸边密密麻麻挂起的酱鸭香肠和鱼干便直截了当地宣告着这里浓郁的生活气息酱鸭在冬日暖阳下泛着诱人的光泽仿佛被时间与香料精心雕琢香肠饱满圆润肠衣包裹着的是岁月沉淀的醇厚风味鱼干则带着水乡特有的鲜美在风中微微晃动似在诉说着水乡的故事,10,"古镇,河岸边,酱鸭,香肠,鱼干,生活气息,冬日暖阳,光泽,时间,香料,雕琢,饱满圆润,肠衣,岁月沉淀,醇厚风味,水乡,鲜美,风中,晃动,故事",,
