原词,大类,小类
特色餐厅,2,1
就餐消费,2,1
风格多样,3,2
游人歇息,2,2
河水清绿,3,1
微风拂面,5,2
柳枝轻舞,3,1
时间静止,5,2
江南水乡韵味,3,2
高塔,3,2
古街,3,2
围炉煮茶,2,1
温馨酒店,2,1
农家风景,3,1
地道美食,3,4
温泉私汤,2,3
古镇沉浸式剧本杀,4,1
游玩体验,5,2
住宿客人,2,3
出发时间,4,1
服务中心,2,1
下午,4,1
人流量,5,1
贝多芬特展,3,3
江南婚俗展馆,2,1
徐昌酩画院,2,1
体验项目,4,1
灵水居花园,2,1
画室DIY,2,1
射箭馆,2,1
乌镇特色饮品,3,4
评书场,2,1
杂耍表演,4,1
运河边,3,1
集市,2,1
活动时间表,4,1
错峰坐船,4,1
游船码头,2,3
购票点,2,3
如意桥码头,2,2
排队,4,1
错峰吃饭,4,1
餐馆,2,1
用餐服务,2,3
餐饮统一管理,2,3
质量和口味,3,4
夜晚,5,2
住在景区里,5,2
看到,5,2
素一不二扎染,3,4
好好看,5,3
实惠,5,1
布料,3,4
舒服,5,2
嬢嬢,5,2
热情,5,3
好爱,5,3
长街宴,3,4
细雨绵绵,3,1
乌陶作坊,2,1
国乐剧院,2,1
关帝庙,3,2
益大丝号,3,2
诗画梦境,5,3
岁月沉淀,5,3
诗韵,3,3
江南水镇,3,1
绝美,5,2
青蛇汉服写真,4,1
雨幕,3,1
细雨,3,1
暮色,3,1
水墨残影,3,2
烟雨江南,3,2
古树,3,1
登高望远,4,1
风光,3,1
没火,5,2
江南浪漫,5,2
落日黄昏,3,1
水影斑驳,3,1
华灯初上,5,2
时尚,5,2
古银杏,3,1
壮观,5,2
福善塔,3,2
进塔参观,4,1
电梯,2,3
视野,5,2
寺湾街,2,1
花灯,3,3
福善塔同框,3,2
漱芳禅园,2,1
四面环水,3,1
茶园戏楼,2,1
北更楼,3,2
楼顶,2,2
紫薇花,3,1
新中式,3,2
铃兰咖啡,2,1
幸福感,5,3
闲逛,4,1
蟹黄面,3,4
原住民,3,3
小店,2,1
商业氛围,5,1
临水而居,3,2
快乐,5,3
古街小巷,3,2
神秘,5,3
摇动的船橹,4,1
波动的粼光,3,1
空有无所依的小鱼,5,2
夕阳,3,1
微红,3,1
船夫,4,1
菜品味道,3,4
老字号,3,4
土菜馆,2,1
赞,5,3
点评,5,1
老字号餐厅,2,1
差评,5,1
土著朋友,5,2
回头客,5,2
锅气满满,5,2
分量十足,5,3
店员大姨,2,1
热情好客,5,2
功夫笋尖,3,4
脆爽可口,3,4
新鲜,5,2
五花肉,3,4
无敌下饭,3,4
浓油赤酱,3,4
鸭肉紧实,3,4
鲜嫩,3,4
不柴不腻,3,4
咸香入味,3,4
甜品,3,4
预制菜,3,4
酸菜鱼,3,4
鱼片,3,4
新鲜滑嫩,3,4
鲜美入味,3,4
酸溜溜,3,4
配菜丰富,3,4
土豆粉,3,4
戏剧节,4,1
搭子,4,1
游玩攻略,4,1
诗词的平仄,3,3
春天好好生活节,4,1
水上集市早茶客,4,1
锦记糕点,3,4
石板缝,3,2
厕所,2,3
民宿炒蛋,3,4
晚霞,3,1
春满夜集,4,1
特调,2,1
月明,3,1
梦里,5,3
烟火,5,2
古城,3,2
灰瓦,3,2
风与月,5,3
乌瓦白墙,3,2
画船听雨眠,4,1
议江南,5,3
傩舞,3,3
火舞,4,1
竹鼠热浪乐园小镇夜景,3,1
小丑表演,4,1
狂欢派对,4,1
热闹巡游,4,1
情绪价值,5,3
宫崎骏漫画,3,3
童话火车,2,3
赛博朋克,3,3
白墙黛瓦绿石青阶,3,2
水乡生活画卷,5,2
傩舞火把舞,3,3
火裙舞,4,1
火壶有凤来仪,3,4
空中飞人,4,1
户外livehouse,2,1
窑火狂欢,4,1
开龙窑仪式,3,3
寻味窑工宴,3,4
薪火窑光巡游,4,1
鱼头花灯,3,4
风水池,3,1
湖畔栈桥,3,2
紫砂塔,3,2
龙窑,3,2
茗岭街,2,1
窑湖三宝紫砂糕,3,4
窑湖竹笋汤,3,4
蜜汁炖猪蹄,3,4
宜兴乌米饭,3,4
和桥团子,3,4
古镇文化,3,3
恬适,5,2
景区入口,2,1
引导不规范,5,1
工作人员态度,5,1
商业化严重,5,1
春雨,3,1
江南氛围,5,2
宫崎骏,3,3
花伴旅咖,2,1
玉兰花,3,1
海棠花,3,1
馄饨,3,4
水乡氛围,5,2
画,3,2
乡野气息,5,2
美食派对,3,4
咖啡市集,2,1
人家,3,2
心灵,5,3
归宿,5,3
思绪,5,3
夜,4,1
诗篇,5,3
旅人,4,1
茶食文化,3,4
江南水墨,3,2
百年传承,3,3
非遗,3,3
城市的喧嚣,5,2
现蒸糕点,3,4
江南的晚风,5,2
一壶茶,2,1
一笼糕点,3,4
中国水墨画气息,3,2
石像,3,2
老屋,3,2
文人墨客,3,3
故乡,5,3
交通重镇,3,3
吴越古镇,3,5
地方文化,3,3
完整保留,5,2
高品质服务,5,1
恬淡气质,5,2
江南小巷,3,2
酒店大床,2,1
水乡漫步,4,1
美食暴击,5,2
古街景区,3,2
跨界料理实验室,2,1
江南味蕾地图,3,4
极简光影,5,2
氛围大片,5,2
宝藏餐厅,2,1
牛骨髓蟹黄拌饭,3,4
茶壶奶茶,3,4
南栅老巷,3,2
烟熏牛肉芝士瀑布面,3,4
漂亮酸奶碗,2,3
彩椒芝士汉堡,3,4
特调鸡尾酒,2,3
人潮,5,1
出片玄机,5,2
筷子,3,4
牛骨髓,3,4
舌尖,3,4
时空,5,2
双重穿越,4,1
灵魂,5,3
千百年来的故事,3,3
规模最大,3,2
全面,5,1
三寸金莲鞋,3,4
裹脚,3,3
落泪,5,3
时机,5,2
邂逅,5,3
不真实,5,3
河中,3,1
白墙黑瓦,3,2
隐藏的轮廓,5,3
独特,5,2
诠释,5,3
淋漓尽致,5,3
满满的感动,5,3
大剧院,2,1
年市,3,4
春卷,3,4
宝藏古镇,3,5
唐宋楼阁,3,2
紫藤花海,3,1
人少花多,5,2
时尚古镇,5,2
彩色油纸伞,3,3
宋韵集市,3,4
日系抓拍,4,1
千年银杏,3,1
红墙光影,3,2
禅意,3,3
听雨屋,2,1
传统刺绣,3,3
高定服装,3,4
跨界展览,4,1
春日限定穿搭,5,2
傍晚蓝调时刻,5,2
亭台倒影,3,1
烟气飘飘,5,2
城墙,3,2
俯瞰花海,3,1
紫藤客栈,2,1
珍宝馆,2,1
濮氏,3,3
珍品展品,2,3
濮商会馆,2,1
钱币隧道,2,3
濮绸展品,3,4
银元宝,3,4
舟游濮院,4,1
两岸风景,3,1
私藏江南,5,3
乌镇江南小镇,3,2
悠闲自在,5,2
船,2,3
江南小镇,3,2
南栅老街,3,2
老街道,3,2
车骑人,2,3
快落,5,3
古镇街道,3,2
绿色郊野,3,1
乌镇人少,5,1
满眼绿色,3,1
稻田,3,1
树林,3,1
江浙乡村风情,3,3
幸运,5,3
老牌土菜馆,3,4
老弄堂,3,2
土菜,3,4
色香味俱全,3,4
分量实在,5,1
服务员大姨,2,3
现点现做,3,4
锅气十足,5,2
人均几十块,5,1
东坡肉,3,4
软糯可口,3,4
咸甜入味,3,4
吃不腻,5,2
分量足,3,4
下饭,3,4
肥瘦相间,3,4
层次感,3,2
西红柿蛋汤,3,4
浓郁,5,2
滑嫩,3,4
鸡蛋,3,4
酸甜可口,3,4
西红柿,3,4
简简单单的幸福,5,3
河虾,3,4
野生河虾,3,4
品质很好,5,2
个头,5,2
肉质紧实,3,4
饱满,5,2
鲜甜可口,3,4
适配度,5,1
老宅,3,2
博物馆,2,1
王大妈面馆,2,1
隐藏版美食,3,4
阳台,2,2
江南气息,5,2
欢迎礼盒,2,3
早餐,3,4
夜游乌镇,4,1
原创,5,3
客片,4,1
风格,3,2
姿势,4,1
水乡灵魂,3,5
东栅晨光,3,1
江南烟火气,5,2
极简建筑,3,2
芦苇荡,3,1
蓝染布,3,4
古镇专属邮戳,3,3
南栅慢生活,5,2
烟雨江南咖啡,2,1
手艺人作坊,2,1
蚕丝被制作,3,4
自制方巾,3,4
西栅包摇橹船,2,3
提灯夜游,4,1
灯火星河,3,1
免费纸灯笼,2,3
露天电影,4,1
北斗湾,3,1
水边观影氛围感,5,2
戏剧表演,4,1
妈妈的故事,5,3
倾情演绎,4,1
感人,5,3
值得一看,5,3
意境,5,3
演员,4,1
茶咖,2,1
江南慢生活,5,2
临河,2,2
饭馆,2,1
竹蜻蜓,3,4
调酒,2,1
调酒师,2,1
骨髓松茸饭,3,4
三白,3,4
驻唱,4,1
二次方咖啡吧,2,1
遗迹,3,2
守护神,3,3
银杏树,3,1
