原词,大类,小类
文艺与商业融合,5,1
亲子友好体验,5,2
撑船,4,1
划行,4,1
船,2,3
五彩缤纷,5,2
好天气,5,2
天气很好,5,2
水上表演,4,1
歌剧,3,3
潜水员,4,1
装扮,5,2
小玩意,3,4
夏天夜晚,5,2
躲避炎热,5,2
饭后散步,4,1
帐篷,2,3
绿植,3,1
露营灯,2,3
户外,2,2
空间,2,2
宽敞,2,2
大长桌,2,2
团建,4,1
温馨,5,2
烤肉,3,4
种类繁多,3,4
新鲜,5,2
牛肉,3,4
羊肉,3,4
五花肉,3,4
色泽诱人,3,4
纹理清晰,3,2
烤盘,2,3
滋滋冒油,3,4
香气扑鼻,5,2
热情,5,2
周到,5,1
细心,5,2
用餐感受,5,2
响应,4,1
露天,2,2
连锁,2,1
围炉烧烤,4,1
小朋友,5,3
寺庙,2,1
学骑马,4,1
猫咖,2,1
狗咖,2,1
便利店,2,3
卫生间,2,3
传统江南水乡,3,2
新中式古典美,3,2
小资浪漫情调,5,2
所有年龄段,5,1
溜达,4,1
节假日,5,1
集市活动,4,1
城市的记忆,5,3
高颜菜场,2,1
灵气所在,5,2
老字号,3,4
品质网红,5,1
口碑名店,2,1
菜场茶馆夜宵,2,1
麻辣烫,3,4
葱油饼,3,4
黄泥螺,3,4
烧腊,3,4
大壶春生煎,3,4
艺术品,3,3
油条,3,4
蒸屉,3,4
竹簸箩,2,3
精致烟火气,5,2
落日,3,1
水域视野开阔,3,1
芒草,3,1
粉黛,3,1
画面,5,2
闪闪发光,5,2
世纪落日,3,1
木屋,2,1
洞穴,3,1
白橡木,2,1
手工陶砖,3,2
木纹混凝土,3,2
自然朴素之美,5,2
养宠人的天堂,5,2
天气好,5,2
骑马,4,1
宠物巡游,4,1
打工怨气,5,2
松弛游乐场,2,1
套圈圈,4,1
写对联,4,1
拓印,4,1
糖画,3,4
打钱眼,3,3
飞镖,2,3
打年糕,3,4
滑滑梯,2,3
跷跷板,2,3
沙坑,2,3
洞洞屋,2,1
床,2,3
弹簧网,2,3
独木桥,3,2
攀爬支柱,4,1
转转床,2,3
平衡弹力桥,2,3
小喷泉,2,3
狗狗乐园,2,1
铁艺造型,2,3
面包界的爱马仕刺客生吐司,3,4
软糯,3,4
羡慕哭了,5,3
爱,5,3
一叠纸片,2,3
错峰时段,5,1
石桥石板路,3,2
四叶草酒店,2,1
旅行团略多,5,1
大厅有一点点嘈杂,5,2
熟悉地形,4,1
看夕阳花灯夜景,4,1
人流量尚可,5,1
奥乐齐买点,2,1
避开人流高峰,5,1
古镇风情,3,2
排泄物收集袋,2,3
过滤水装置,2,3
露营,4,1
同心乐园,2,1
棒球场,2,1
滑板公园,2,1
运动乐园,2,1
游船体验,4,1
非遗编织技艺,3,3
江南游船,4,1
水乡人家生活,5,2
天气,5,2
高处,3,1
风味,3,4
乌篷船,2,3
传统游戏,4,1
撸狗,4,1
喂羊驼,4,1
喂小鹿,4,1
喝奶茶,4,1
发会呆,5,2
拍照打卡点,4,1
节目,4,1
送小礼物,5,1
狗狗聚会,4,1
玩,4,1
古与今,5,2
复古,3,2
洋气,5,2
光线柔和,5,2
室外拍照,4,1
微风拂面,5,2
人少,5,2
家,2,1
住在,4,1
出门,4,1
即是,5,2
家乡的味道,5,3
头牌菜,3,4
鲜嫩多汁,3,4
葱香浓郁,3,4
经典,5,3
蒜瓣状,3,4
嫩滑Q弹,3,4
古法腌制,3,4
手工制作,3,4
鲜掉眉毛,3,4
鲜上加鲜,3,4
酸汤开胃,3,4
牛肉嫩滑,3,4
醇厚鲜香,3,4
酥脆掉渣,3,4
色泽红亮,3,4
酱香浓郁,3,4
紧实有嚼劲,3,4
拍照打卡,4,1
热情周到,5,2
体验感拉满,5,3
感慨,5,3
忒吧,5,3
拥抱春天,5,3
桥中,3,2
仙境,3,1
夜晚,5,2
暖意,5,2
入口处,2,3
自然气息,5,2
欢快叫声,5,2
文创,3,4
逛到停不下来,5,2
活动,4,1
闺蜜,5,3
随手一拍,4,1
大片,5,2
雕塑艺术作品,3,2
